auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,tool
0.9978548046089034,0.9929060118782584,0.3348,0.5817404426559356,0.2354022988505747,1.0,0.3810941570524749,650,3326,0,1024,0.05,Uncalled4
0.9978548046089034,0.9929060118782584,0.4108,0.6295271629778671,0.2579345088161209,1.0,0.41009211053263916,1030,2946,0,1024,0.1,Uncalled4
0.9978548046089034,0.9929060118782584,0.5072,0.6901408450704225,0.29357798165137616,1.0,0.45390070921985815,1512,2464,0,1024,0.15,Uncalled4
0.9978548046089034,0.9929060118782584,0.6128,0.7565392354124749,0.34594594594594597,1.0,0.5140562248995983,2040,1936,0,1024,0.2,Uncalled4
0.9978548046089034,0.9929060118782584,0.717,0.8220573440643864,0.4198441984419844,1.0,0.591394744441236,2561,1415,0,1024,0.25,Uncalled4
0.9978548046089034,0.9929060118782584,0.8034,0.8760207730759557,0.5102244389027432,0.9990234375,0.6754704522944867,2994,982,1,1023,0.3,Uncalled4
0.9978548046089034,0.9929060118782584,0.881,0.9248135296151911,0.6326530612244898,0.9990234375,0.7747065505490345,3382,594,1,1023,0.35,Uncalled4
0.9978548046089034,0.9929060118782584,0.9268,0.952523736167002,0.7380607814761215,0.99609375,0.8478802992518704,3614,362,4,1020,0.39999999999999997,Uncalled4
0.9978548046089034,0.9929060118782584,0.9598,0.9707355460890342,0.8420615128844555,0.9892578125,0.9097440502918724,3786,190,11,1013,0.44999999999999996,Uncalled4
0.9978548046089034,0.9929060118782584,0.9806,0.9801887496856136,0.9295644114921223,0.9794921875,0.9538754160722777,3900,76,21,1003,0.49999999999999994,Uncalled4
0.9978548046089034,0.9929060118782584,0.9838,0.9724126006036218,0.9672943508424182,0.953125,0.9601574028529267,3943,33,48,976,0.5499999999999999,Uncalled4
0.9978548046089034,0.9929060118782584,0.976,0.9468441508425554,0.9839400428265525,0.8974609375,0.9387129724208376,3961,15,105,919,0.6,Uncalled4
0.9978548046089034,0.9929060118782584,0.9672,0.9224595620598591,0.9919908466819222,0.8466796875,0.9135932560590094,3969,7,157,867,0.65,Uncalled4
0.9978548046089034,0.9929060118782584,0.9466,0.86962890625,1.0,0.7392578125,0.8500842223469961,3976,0,267,757,0.7,Uncalled4
0.9978548046089034,0.9929060118782584,0.924,0.814453125,1.0,0.62890625,0.7721822541966427,3976,0,380,644,0.75,Uncalled4
0.9978548046089034,0.9929060118782584,0.8994,0.75439453125,1.0,0.5087890625,0.6744336569579288,3976,0,503,521,0.7999999999999999,Uncalled4
0.9978548046089034,0.9929060118782584,0.8712,0.685546875,1.0,0.37109375,0.5413105413105413,3976,0,644,380,0.85,Uncalled4
0.9978548046089034,0.9929060118782584,0.8472,0.626953125,1.0,0.25390625,0.40498442367601245,3976,0,764,260,0.9,Uncalled4
0.9978548046089034,0.9929060118782584,0.823,0.56787109375,1.0,0.1357421875,0.23903697334479793,3976,0,885,139,0.95,Uncalled4
0.9011765907947686,0.7784035914122032,0.3058,0.5627809827716298,0.22756624359830774,0.998046875,0.3706255666364461,507,3469,2,1022,0.05,Nanopolish
0.9011765907947686,0.7784035914122032,0.3572,0.5940123160840041,0.24101229895931883,0.9951171875,0.388042650418888,767,3209,5,1019,0.1,Nanopolish
0.9011765907947686,0.7784035914122032,0.43,0.6376118036343058,0.26298026998961577,0.9892578125,0.4155045118949959,1137,2839,11,1013,0.15,Nanopolish
0.9011765907947686,0.7784035914122032,0.504,0.6783405511192153,0.28898550724637684,0.9736328125,0.4456861868573983,1523,2453,27,997,0.2,Nanopolish
0.9011765907947686,0.7784035914122032,0.5818,0.7214586346202213,0.3238692637834269,0.9580078125,0.4840858623242043,1928,2048,43,981,0.25,Nanopolish
0.9011765907947686,0.7784035914122032,0.6632,0.7606773453219315,0.37089201877934275,0.92578125,0.529608938547486,2368,1608,76,948,0.3,Nanopolish
0.9011765907947686,0.7784035914122032,0.7364,0.7907523264587526,0.4300666032350143,0.8828125,0.5783749200255918,2778,1198,120,904,0.35,Nanopolish
0.9011765907947686,0.7784035914122032,0.8012,0.8133704571177063,0.5089392133492253,0.833984375,0.6321243523316062,3152,824,170,854,0.39999999999999997,Nanopolish
0.9011765907947686,0.7784035914122032,0.8528,0.8218883614185111,0.6118012422360248,0.76953125,0.6816608996539792,3476,500,236,788,0.44999999999999996,Nanopolish
0.9011765907947686,0.7784035914122032,0.877,0.8066524144869216,0.7047047047047047,0.6875,0.6959960454770143,3681,295,320,704,0.49999999999999994,Nanopolish
0.9011765907947686,0.7784035914122032,0.8846,0.7809788418008048,0.7818411097099621,0.60546875,0.682443588332416,3803,173,404,620,0.5499999999999999,Nanopolish
0.9011765907947686,0.7784035914122032,0.8828,0.7483072261695172,0.8487261146496815,0.5205078125,0.6452784503631961,3881,95,491,533,0.6,Nanopolish
0.9011765907947686,0.7784035914122032,0.8718,0.7033254212776661,0.904862579281184,0.41796875,0.571810287241149,3931,45,596,428,0.65,Nanopolish
0.9011765907947686,0.7784035914122032,0.8596,0.6630269900653923,0.9548022598870056,0.330078125,0.49056603773584906,3960,16,686,338,0.7,Nanopolish
0.9011765907947686,0.7784035914122032,0.8444,0.6226548745598591,0.9730769230769231,0.2470703125,0.3940809968847352,3969,7,771,253,0.75,Nanopolish
0.9011765907947686,0.7784035914122032,0.826,0.577007946114185,0.9695121951219512,0.1552734375,0.2676767676767677,3971,5,865,159,0.7999999999999999,Nanopolish
0.9011765907947686,0.7784035914122032,0.8162,0.5523571114185111,0.972972972972973,0.10546875,0.19030837004405288,3973,3,916,108,0.85,Nanopolish
0.9011765907947686,0.7784035914122032,0.8098,0.5360070579728371,0.9866666666666667,0.072265625,0.13466787989080983,3975,1,950,74,0.9,Nanopolish
0.9011765907947686,0.7784035914122032,0.8044,0.5224609375,1.0,0.044921875,0.08598130841121496,3976,0,978,46,0.95,Nanopolish
