step,alpha,beta,sqrt_alpha,sqrt_one_minus_alpha
0.000000000000000000e+00,9.998445510864257812e-01,0.000000000000000000e+00,9.999222755432128906e-01,1.246791519224643707e-02
1.000000000000000000e+00,9.998033046722412109e-01,4.124641418457031250e-05,9.999016523361206055e-01,1.402481086552143097e-02
2.000000000000000000e+00,9.997571706771850586e-01,4.613399505615234375e-05,9.998785853385925293e-01,1.558298151940107346e-02
3.000000000000000000e+00,9.997061491012573242e-01,5.102157592773437500e-05,9.998530745506286621e-01,1.714207977056503296e-02
4.000000000000000000e+00,9.996504187583923340e-01,5.573034286499023438e-05,9.998251795768737793e-01,1.869709230959415436e-02
5.000000000000000000e+00,9.995896220207214355e-01,6.079673767089843750e-05,9.997947812080383301e-01,2.025778777897357941e-02
6.000000000000000000e+00,9.995240569114685059e-01,6.556510925292968750e-05,9.997619986534118652e-01,2.181611955165863037e-02
7.000000000000000000e+00,9.994537234306335449e-01,7.039308547973632812e-05,9.997268319129943848e-01,2.337256073951721191e-02
8.000000000000000000e+00,9.993784427642822266e-01,7.534027099609375000e-05,9.996891617774963379e-01,2.493104897439479828e-02
9.000000000000000000e+00,9.992983341217041016e-01,8.016824722290039062e-05,9.996491074562072754e-01,2.648897655308246613e-02
1.000000000000000000e+01,9.992133975028991699e-01,8.499622344970703125e-05,9.996066093444824219e-01,2.804643474519252777e-02
1.100000000000000000e+01,9.991236329078674316e-01,8.982419967651367188e-05,9.995617270469665527e-01,2.960349805653095245e-02
1.200000000000000000e+01,9.990289211273193359e-01,9.477138519287109375e-05,9.995143413543701172e-01,3.116213902831077576e-02
1.300000000000000000e+01,9.989294409751892090e-01,9.959936141967773438e-05,9.994645714759826660e-01,3.271939978003501892e-02
1.400000000000000000e+01,9.988250732421875000e-01,1.044869422912597656e-04,9.994123578071594238e-01,3.427720442414283752e-02
1.500000000000000000e+01,9.987159371376037598e-01,1.092553138732910156e-04,9.993577599525451660e-01,3.583382442593574524e-02
1.600000000000000000e+01,9.986019134521484375e-01,1.141428947448730469e-04,9.993007183074951172e-01,3.739099577069282532e-02
1.700000000000000000e+01,9.984830617904663086e-01,1.190304756164550781e-04,9.992412328720092773e-01,3.894789144396781921e-02
1.800000000000000000e+01,9.983592629432678223e-01,1.239776611328125000e-04,9.991793036460876465e-01,4.050601273775100708e-02
1.900000000000000000e+01,9.982307553291320801e-01,1.287460327148437500e-04,9.991149902343750000e-01,4.206239059567451477e-02
2.000000000000000000e+01,9.980973601341247559e-01,1.336336135864257812e-04,9.990482330322265625e-01,4.361926019191741943e-02
2.100000000000000000e+01,9.979590773582458496e-01,1.385211944580078125e-04,9.989790320396423340e-01,4.517657309770584106e-02
2.200000000000000000e+01,9.978160858154296875e-01,1.432895660400390625e-04,9.989074468612670898e-01,4.673236608505249023e-02
2.300000000000000000e+01,9.976680874824523926e-01,1.482963562011718750e-04,9.988333582878112793e-01,4.828988015651702881e-02
2.400000000000000000e+01,9.975154399871826172e-01,1.530051231384277344e-04,9.987569451332092285e-01,4.984536021947860718e-02
2.500000000000000000e+01,9.973577857017517090e-01,1.580715179443359375e-04,9.986780285835266113e-01,5.140247195959091187e-02
2.600000000000000000e+01,9.971954226493835449e-01,1.627802848815917969e-04,9.985967278480529785e-01,5.295826122164726257e-02
