rep,mean_p_response,median_p_response,min_p_response,max_p_response
0,0.9426851051143266,0.961974518019542,1.7999838891502584e-05,0.9999999810166904
1,0.9321466295897786,0.948915887213367,1.7999838891502584e-05,0.9999999765375406
2,0.8927035099236038,0.9102584353546734,0.1479439762004031,0.9999999834325788
3,0.9260332978362632,0.9465919295128284,0.1735682478069135,0.9999999954865018
4,0.9764399539697292,0.9851990856136397,0.8377150029201976,0.999999998265884
5,0.9372315856376983,0.9635603180074399,1.7999838891502584e-05,0.9999999969254016
6,0.9669038206238555,0.9758442156458653,0.568395800465879,0.9999999982516012
7,0.9726328255454676,0.9777007034796884,0.91850005231169,0.9999999941058088
8,0.9141367089439814,0.9403493830339884,1.7999838891502584e-05,0.999999993931855
9,0.9665568629318829,0.9759426859200078,0.5144453787044814,0.9999999935532284
