vaccine_element,mean_p_response_mean,mean_p_response_sd,median_p_response_mean,median_p_response_sd,max_p_response_mean,max_p_response_sd,selection_frequency,selected,presentation_count,presentation_fraction
mut28,0.43596384941649163,0.056197519596525296,0.5460189195260567,0.07826512303095837,0.9935342228373749,0.01533651234963882,10,True,6708,0.23899102180418982
mut19,0.3983382349978337,0.05109294013109572,0.4729725153748879,0.10283161296802167,0.9648615570765615,0.04645633947874612,10,True,6071,0.2162961379506912
mut15,0.363239910997697,0.035871077064846525,0.4195257669848834,0.11165049856992071,0.9280492984718333,0.0355418042195791,10,True,5688,0.2026507054296708
mut33,0.2372005104692123,0.026455678332272643,0.13706854542735963,0.10158921354287773,0.9229034941241666,0.04076787232506696,10,True,3230,0.11507766851931024
mut20,0.16511705678359892,0.033516768402252685,1.7999984690542092e-06,0.0,0.8178092142869048,0.08990482203177151,10,True,2168,0.07724098617642867
mut11,0.1584793201538309,0.036368629842005944,1.7999984690542092e-06,0.0,0.8791057460905589,0.08884448307329215,10,True,2113,0.07528145931309677
mut12,0.07507613330574107,0.014314437257420518,1.7999984690542092e-06,0.0,0.4940630616979863,0.09097475273426969,10,True,827,0.029464158472281603
mut39,0.06932710874073614,0.0211052418302142,1.7999984690542092e-06,0.0,0.6252739212325352,0.09292476118411849,10,True,821,0.029250391905372666
mut26,0.031682553195766114,0.007684948175270224,1.7999984690542092e-06,0.0,0.30647291798307946,0.06969924035148307,10,True,325,0.011579022374234003
mut44,0.009932248668567376,0.004623954699671619,1.7999984690542092e-06,0.0,0.19197588732390297,0.04220236420973939,10,True,100,0.003562776115148924
mut8,0.0017112659861693337,0.0010547387601674513,9.999999994736444e-08,0.0,0.10079826829836824,0.014021708225176035,0,False,17,0.0006056719395753171
mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,0.0,1.7999984690542092e-06,0.0,0,False,0,0.0
