threshold,precision,recall,f1
0.05,0.043,1.0,0.08245445829338446
0.1,0.043,1.0,0.08245445829338446
0.15,0.043,1.0,0.08245445829338446
0.2,0.043,1.0,0.08245445829338446
0.25,0.043,1.0,0.08245445829338446
0.3,0.043,1.0,0.08245445829338446
0.35,0.043,1.0,0.08245445829338446
0.39999999999999997,0.043,1.0,0.08245445829338446
0.44999999999999996,0.043,1.0,0.08245445829338446
0.49999999999999994,0.0,0.0,0.0
0.5499999999999999,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
