hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,lcoh_high_risk,lcoh_baseline,lcoh_derisked,lcoh_delivered_high_risk,premium_vs_eu_high_risk,lcoh_delivered_baseline,premium_vs_eu_baseline,lcoh_delivered_derisked,premium_vs_eu_derisked
hex_000,-19.71252741732844,21.42667018270944,0.6634168884306757,0.6221119988358864,148.1040023836202,99.3287389791286,401.9486959865509,209.80741851465152,5.897689441915856,4.936898115369855,4.070055538189181,8.431490881752765,5.431490881752765,7.470699555206765,4.470699555206765,6.603856978026091,3.6038569780260907
hex_001,-23.73345872297537,24.54513625407894,0.8468278354591481,0.6169796764044917,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662,5.2704666552202575,4.411856058806665,3.637202706277505,7.804268095057167,4.804268095057167,6.945657498643574,3.945657498643574,6.171004146114415,3.1710041461144147
hex_002,-18.69682496106341,15.561555013934129,0.5817130228384195,0.649807766345918,25.688858679272823,17.689641590834682,238.2976785700376,63.933817239716994,4.980931579152022,4.169489080102137,3.437391602037887,7.514733018988932,4.514733018988932,6.7032905199390465,3.7032905199390465,5.9711930418747965,2.9711930418747965
hex_003,-20.631583651287634,16.186435884488162,0.7165114970014225,0.5352271773235865,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675,5.533381987014749,4.631939910087991,3.8186432539333,8.06718342685166,5.06718342685166,7.1657413499249,4.1657413499249,6.3524446937702095,3.3524446937702095
hex_004,-27.86987182534821,17.57378135786131,0.7662753065105006,0.486505253193377,15.195472596163658,13.920513195117785,349.6854701288347,216.0451032366615,5.665405965572464,4.742455890514638,3.909754345894771,8.199207405409373,5.199207405409373,7.276257330351547,4.276257330351547,6.4435557857316805,3.4435557857316805
hex_005,-17.292531780358928,13.65259902718,0.8086222331359278,0.5380422683640402,126.02775071490714,80.99657107173759,301.13095579381485,223.0002811550848,5.526898661675382,4.626512781894064,3.814169045098933,8.060700101512293,5.0607001015122925,7.160314221730974,4.160314221730974,6.347970484935843,3.3479704849358427
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,5.9620607561308745,4.99078271254335,4.114478837601881,8.495862195967785,5.495862195967785,7.5245841523802595,4.5245841523802595,6.648280277438791,3.648280277438791
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,5.388855288383641,4.510958025043064,3.7189039075378996,7.9226567282205504,4.9226567282205504,7.044759464879974,4.044759464879974,6.2527053473748095,3.2527053473748095
hex_008,-27.46263640789345,14.176730886712376,0.7151274927751562,0.3515950581468396,30.333727092025157,87.51235910013904,338.58742899357145,278.63095254691973,7.151569212342948,5.986508600372096,4.935370735625611,9.685370652179857,6.6853706521798575,8.520310040209006,5.520310040209006,7.46917217546252,4.46917217546252
hex_009,-23.5953687452532,20.377395925555145,0.7037648207335433,0.4004129758597777,148.97292018353946,92.4690515382012,125.48262700606044,122.28556717835748,6.218884206584609,5.2057671095712035,4.291715315912703,8.752685646421519,5.752685646421519,7.739568549408113,4.739568549408113,6.825516755749613,3.8255167557496126
hex_010,-24.550423709209024,17.12012686421263,0.8357975881257154,0.6099661340085155,46.7952772915371,13.82117256875169,422.19778623486286,93.77986407537722,4.821313858318259,4.03587464805638,3.327237787553285,7.355115298155169,4.355115298155169,6.569676087893289,3.5696760878932894,5.861039227390195,2.8610392273901946
