track_id,start_frame,end_frame,observed_length,dense_length,mean_score,mean_depth
6,0,99,98,100,0.25437041346675143,0.6141375232482188
5,0,99,97,100,0.2788212229844762,0.7084340515677657
86,0,99,100,100,0.25271925158713393,0.7122472103988681
72,0,99,99,100,0.2648439235858833,0.7158514858378993
88,0,99,100,100,0.2348504983631965,0.6947742747944369
35,0,99,100,100,0.27358219227170105,0.6518457883852483
41,0,99,100,100,0.25020733973244147,0.6487194795122828
42,0,99,100,100,0.23821113100460997,0.7185747296344155
111,0,99,100,100,0.26999369344893187,0.7166317658793346
103,0,99,99,100,0.3161954562912338,0.7559909044312944
56,0,99,100,100,0.25452101751139017,0.7872447488504035
0,0,99,98,100,0.3873604296235757,0.7920869784272909
61,0,99,100,100,0.2471012857269374,0.6184976947103745
27,0,99,99,100,0.26457361232005716,0.7441391001000538
14,0,99,99,100,0.26966008350808107,0.6918112790640671
142,1,99,98,99,0.24900268900733985,0.6532107458996066
92,0,98,98,99,0.2645593411716165,0.7136251845335566
136,1,99,96,99,0.2610170934668727,0.5806922922816327
148,1,99,99,99,0.25190149674442325,0.6301033595482076
128,1,99,99,99,0.2734134396193065,0.7405120569222599
135,1,99,99,99,0.2634875991502066,0.6943980940627489
147,1,99,96,99,0.2974504140869076,0.6605993249007875
141,1,99,97,99,0.2452273876261805,0.8117127194647348
123,1,99,98,99,0.2535622621721351,0.7031807954780366
159,2,99,98,98,0.2741523796340847,0.751339342844596
155,2,99,97,98,0.2696126814721944,0.7779937495279584
150,2,99,97,98,0.271765773774401,0.7301612557420778
160,3,99,96,97,0.28864735710585615,0.8209410608280724
118,0,96,95,97,0.264131952679009,0.6790090571237806
22,0,94,92,95,0.26200877944745027,0.6137166152129396
166,5,99,95,95,0.25232310126697005,0.6361492699422435
154,2,95,92,94,0.3379240536300315,0.7523959595617088
106,0,93,91,94,0.32408887866682834,0.7584388623334906
172,7,99,93,93,0.2528967161424243,0.721538484441435
110,0,92,93,93,0.26192849789390615,0.6663030558413114
157,2,93,92,92,0.2837008024760337,0.7289301034859873
138,1,91,91,91,0.25492004434530013,0.6549804965883393
29,0,90,89,91,0.27122863151315413,0.7423280864437772
102,0,87,87,88,0.29512350087648226,0.7855243502469071
140,1,87,85,87,0.25221744083542863,0.5910910179786715
164,3,89,86,87,0.2993261077890904,0.7850358873892641
77,0,85,85,86,0.26762927749495236,0.6423333518652058
112,0,85,84,86,0.24361280799466284,0.6589936289982136
116,0,85,86,86,0.3160149113088828,0.6220966312482477
24,0,81,81,82,0.27225056475585613,0.7646857186249768
167,5,85,81,81,0.23115093417500546,0.5730920708024971
81,0,79,77,80,0.26212141347685425,0.6653198272900099
184,20,99,79,80,0.24393484385240566,0.5425945226489617
33,0,79,80,80,0.2479174433540457,0.6852510585731687
47,0,78,79,79,0.23833278390075438,0.6742118896009788
162,3,81,79,79,0.2517016021751252,0.694087772179368
97,0,78,79,79,0.25488330489677563,0.6212716154459725
127,1,78,78,78,0.32169447710444543,0.7977943628038628
199,25,99,75,75,0.29426174549315276,0.7857482607059625
192,22,95,73,74,0.2648725805925559,0.7434829230903299
125,1,73,73,73,0.257156493583999,0.7022744216298007
62,0,72,73,73,0.24746462715777154,0.6540445547702767
182,18,89,72,72,0.27313555822333413,0.63965297464023
89,0,71,71,72,0.2676928308363729,0.8024244156858057
175,8,79,72,72,0.26344867793832905,0.6710380454905395
194,23,93,69,71,0.26034096515817323,0.7220512430376377
16,0,70,70,71,0.26424517903887546,0.6816480946498066
28,0,70,71,71,0.2440671965509793,0.758870598697104
25,0,70,70,71,0.24151826404641966,0.7041752289209106
55,0,67,68,68,0.26328875371250954,0.6354950828272858
206,32,99,68,68,0.2585301574996297,0.6179960539864532
208,33,99,67,67,0.35574646050618286,0.916704127396032
216,33,99,67,67,0.2506322150372909,0.5752385037657647
209,33,99,67,67,0.23352521064388898,0.7049233800895429
211,33,99,67,67,0.2901029997904674,0.6817777113638501
213,33,99,67,67,0.2481219339202718,0.6992339510387083
39,0,65,66,66,0.2401295325531663,0.557152429996028
218,34,99,66,66,0.2487938880976364,0.6561262977169398
70,0,63,64,64,0.27446835900512445,0.7506155242843304
84,0,62,63,63,0.2636149927896787,0.706034471656122
227,37,99,63,63,0.26140878011986207,0.6745813910591514
226,37,99,63,63,0.24479799575270783,0.7374223248098549
225,37,99,62,63,0.2709394410451268,0.72851367941274
229,37,99,62,63,0.24351899223831663,0.7283510040929138
3,0,62,63,63,0.31784242665397094,0.8771472131872143
66,0,62,62,63,0.261276661758465,0.5787525591414947
215,33,94,61,62,0.23877258015259245,0.5900159201484214
237,38,99,60,62,0.24629470776330478,0.6661909545187602
75,0,60,61,61,0.24201523554158977,0.557020784789995
49,0,60,61,61,0.24807504433116695,0.7055286375161054
238,38,97,60,60,0.24890119964537283,0.6486428686966903
105,0,59,60,60,0.22153529671403502,0.6679828221800805
73,0,59,60,60,0.2622328577738002,0.6166201446291034
