track_id,start_frame,end_frame,observed_length,dense_length,mean_score,mean_depth
59,0,99,100,100,0.2627876407763988,0.7068633092696818
52,0,99,99,100,0.2846615186970739,0.7482812956273677
61,0,99,98,100,0.31061658647025475,0.7850031333322994
60,0,99,98,100,0.3885650419749555,0.7528929972894848
1,0,99,99,100,0.3304452850458543,0.6420718791194469
21,0,99,99,100,0.24940528525103334,0.6319021882773311
11,0,99,98,100,0.2900819140900817,0.6860588394502054
55,0,99,99,100,0.2454222795410858,0.6374013503408765
40,0,99,99,100,0.26343633107862974,0.5961229086531051
41,0,99,98,100,0.3297314982918489,0.8253742745751217
44,0,99,100,100,0.23726316324131894,0.6034571316189946
47,0,99,99,100,0.25028479861144787,0.5502877904594948
36,0,99,98,100,0.2574618673037874,0.8502689702304874
33,0,99,98,100,0.24977527346409034,0.5881881072336825
34,0,99,98,100,0.2641022990028538,0.6656392909852512
94,0,99,100,100,0.3392012290071646,0.7838434945129455
89,0,99,100,100,0.24711614076091123,0.669548866669448
93,0,99,100,100,0.2467872070176109,0.7808463300651858
15,0,99,99,100,0.2611508940534333,0.6585973328080185
13,0,99,99,100,0.3522857860213875,0.8239633845676765
99,0,99,99,100,0.2662262094779186,0.656184841998097
100,0,99,99,100,0.2589917621278188,0.714121296960605
25,0,99,98,100,0.25474383248299953,0.6040676635631111
26,0,99,99,100,0.248633313881257,0.762069824526634
20,0,99,98,100,0.25449620369374937,0.6948614947660635
18,0,99,100,100,0.2796337330798339,0.7518208619460834
96,0,99,97,100,0.23340448021134944,0.5696658255743208
108,0,99,100,100,0.2423979230676631,0.7094528128943616
112,0,99,95,100,0.2616027927757469,0.6405287672977714
71,0,99,99,100,0.24986669487698607,0.7064870112246697
77,0,99,98,100,0.2681842959300282,0.5327794868054192
73,0,99,99,100,0.2465703083392577,0.5948877093560363
85,0,99,98,100,0.2931754190615315,0.7378133900821733
84,0,99,98,100,0.24693009968114224,0.6800305641266264
80,0,99,99,100,0.29390552421795113,0.7643452413440924
95,0,99,100,100,0.23661865321876138,0.7115165689358757
8,0,99,99,100,0.25947207488011326,0.6066802721929243
12,0,99,98,100,0.2630526564281112,0.6587328762610326
139,1,99,99,99,0.28386838015325133,0.7019570584908083
106,0,98,99,99,0.2543610533191474,0.585060026482775
121,1,99,97,99,0.2877011264199388,0.7881617720677389
136,1,99,98,99,0.25040584347025946,0.6052953647257334
130,1,99,99,99,0.23431360701201098,0.7183787025171073
113,1,99,98,99,0.2625558423219164,0.8025222781901001
120,1,99,97,99,0.25241951735122525,0.6753919544576563
115,1,99,97,99,0.30677059102787957,0.7535644864011225
132,1,99,97,99,0.2610828430060111,0.6840636255813523
143,1,99,99,99,0.24931258844971907,0.5749245570419849
133,1,99,99,99,0.2989285980295752,0.7645533168811406
135,1,99,98,99,0.2711409791262542,0.730603495693688
131,1,99,99,99,0.24299171169629047,0.6175692599228709
145,2,99,97,98,0.2576089441325035,0.5241119340853063
147,2,99,95,98,0.25480254820676856,0.5326831591612212
153,2,99,95,98,0.2495352735855619,0.6854716806760481
159,3,99,97,97,0.24715988669974376,0.6714811125068271
5,0,96,96,97,0.24596041536637894,0.6216687046031293
30,0,96,95,97,0.24554961114429052,0.6332896172951127
158,3,99,97,97,0.2660986083349904,0.7424344870925065
163,5,99,95,95,0.25107601756746856,0.6628897705671905
140,1,95,95,95,0.24026065049154866,0.771639231707027
128,1,94,92,94,0.24849321796563037,0.7065915959601685
169,7,99,93,93,0.23551854696020078,0.6145340307144854
32,0,91,91,92,0.2589709859123235,0.7453808418905438
42,0,91,92,92,0.31483638491041394,0.7583293435043962
103,0,87,85,88,0.262021506393634,0.730437643476294
76,0,87,87,88,0.2349835044299749,0.7063214500111435
170,7,93,85,87,0.2607418447552399,0.7107038436544918
46,0,86,84,87,0.34685221250888965,0.8396700505763603
134,1,86,85,86,0.2601871948929067,0.7413213489216917
10,0,85,86,86,0.2566696098755372,0.754293437771676
152,2,86,84,85,0.32160536935674444,0.8154021235886619
118,1,85,84,85,0.26128676874522183,0.6331421039704235
