mode,frame,gt_count,pred_count,matched_gt_iou50,frame_precision_iou50,frame_recall_iou50
baseline_global,0,200,113,113,1.0,0.565
baseline_global,1,200,145,145,1.0,0.725
baseline_global,2,200,155,154,0.9935483870967742,0.77
baseline_global,3,200,163,163,1.0,0.815
baseline_global,4,200,161,161,1.0,0.805
baseline_global,5,200,163,163,1.0,0.815
baseline_global,6,200,161,158,0.9813664596273292,0.79
baseline_global,7,200,166,166,1.0,0.83
baseline_global,8,200,166,166,1.0,0.83
baseline_global,9,200,163,163,1.0,0.815
baseline_global,10,200,161,158,0.9813664596273292,0.79
baseline_global,11,200,160,160,1.0,0.8
baseline_global,12,200,159,159,1.0,0.795
baseline_global,13,200,157,156,0.9936305732484076,0.78
baseline_global,14,200,155,155,1.0,0.775
baseline_global,15,200,155,155,1.0,0.775
baseline_global,16,200,158,158,1.0,0.79
baseline_global,17,200,158,157,0.9936708860759493,0.785
baseline_global,18,200,159,159,1.0,0.795
baseline_global,19,200,160,158,0.9875,0.79
baseline_global,20,200,163,163,1.0,0.815
baseline_global,21,200,162,159,0.9814814814814815,0.795
baseline_global,22,200,161,159,0.9875776397515528,0.795
baseline_global,23,200,165,165,1.0,0.825
baseline_global,24,200,164,161,0.9817073170731707,0.805
baseline_global,25,200,161,161,1.0,0.805
baseline_global,26,200,159,158,0.9937106918238994,0.79
baseline_global,27,200,157,157,1.0,0.785
baseline_global,28,200,155,155,1.0,0.775
baseline_global,29,200,155,155,1.0,0.775
baseline_global,30,200,151,150,0.9933774834437086,0.75
baseline_global,31,200,151,151,1.0,0.755
baseline_global,32,200,150,150,1.0,0.75
baseline_global,33,200,155,155,1.0,0.775
baseline_global,34,200,161,160,0.9937888198757764,0.8
baseline_global,35,200,160,159,0.99375,0.795
baseline_global,36,200,157,157,1.0,0.785
baseline_global,37,200,162,161,0.9938271604938271,0.805
baseline_global,38,200,163,161,0.9877300613496932,0.805
baseline_global,39,200,160,157,0.98125,0.785
baseline_global,40,200,157,157,1.0,0.785
baseline_global,41,200,156,155,0.9935897435897436,0.775
baseline_global,42,200,159,159,1.0,0.795
baseline_global,43,200,157,156,0.9936305732484076,0.78
baseline_global,44,200,165,165,1.0,0.825
baseline_global,45,200,164,162,0.9878048780487805,0.81
baseline_global,46,200,161,155,0.9627329192546584,0.775
baseline_global,47,200,162,162,1.0,0.81
baseline_global,48,200,166,166,1.0,0.83
baseline_global,49,200,166,166,1.0,0.83
baseline_global,50,200,165,164,0.9939393939393939,0.82
baseline_global,51,200,162,160,0.9876543209876543,0.8
baseline_global,52,200,159,159,1.0,0.795
baseline_global,53,200,157,154,0.9808917197452229,0.77
baseline_global,54,200,158,158,1.0,0.79
baseline_global,55,200,156,154,0.9871794871794872,0.77
baseline_global,56,200,154,152,0.987012987012987,0.76
baseline_global,57,200,158,157,0.9936708860759493,0.785
baseline_global,58,200,157,155,0.9872611464968153,0.775
baseline_global,59,200,165,165,1.0,0.825
baseline_global,60,200,162,161,0.9938271604938271,0.805
baseline_global,61,200,159,157,0.9874213836477987,0.785
baseline_global,62,200,159,158,0.9937106918238994,0.79
baseline_global,63,200,156,156,1.0,0.78
baseline_global,64,200,155,155,1.0,0.775
baseline_global,65,200,161,160,0.9937888198757764,0.8
baseline_global,66,200,159,158,0.9937106918238994,0.79
baseline_global,67,200,154,152,0.987012987012987,0.76
baseline_global,68,200,152,152,1.0,0.76
baseline_global,69,200,152,152,1.0,0.76
baseline_global,70,200,164,164,1.0,0.82
baseline_global,71,200,162,160,0.9876543209876543,0.8
baseline_global,72,200,159,159,1.0,0.795
baseline_global,73,200,157,155,0.9872611464968153,0.775
baseline_global,74,200,161,160,0.9937888198757764,0.8
baseline_global,75,200,158,156,0.9873417721518988,0.78
baseline_global,76,200,158,158,1.0,0.79
baseline_global,77,200,157,157,1.0,0.785
baseline_global,78,200,159,158,0.9937106918238994,0.79
baseline_global,79,200,158,158,1.0,0.79
baseline_global,80,200,155,151,0.9741935483870968,0.755
baseline_global,81,200,159,159,1.0,0.795
baseline_global,82,200,166,166,1.0,0.83
baseline_global,83,200,165,164,0.9939393939393939,0.82
baseline_global,84,200,164,164,1.0,0.82
baseline_global,85,200,168,168,1.0,0.84
baseline_global,86,200,161,161,1.0,0.805
baseline_global,87,200,163,163,1.0,0.815
baseline_global,88,200,158,154,0.9746835443037974,0.77
baseline_global,89,200,165,165,1.0,0.825
baseline_global,90,200,164,163,0.9939024390243902,0.815
baseline_global,91,200,161,160,0.9937888198757764,0.8
baseline_global,92,200,161,161,1.0,0.805
baseline_global,93,200,161,159,0.9875776397515528,0.795
baseline_global,94,200,158,155,0.9810126582278481,0.775
baseline_global,95,200,156,156,1.0,0.78
baseline_global,96,200,153,153,1.0,0.765
baseline_global,97,200,150,150,1.0,0.75
baseline_global,98,200,154,153,0.9935064935064936,0.765
baseline_global,99,200,153,153,1.0,0.765
sparse_hierarchical,0,200,122,122,1.0,0.61
sparse_hierarchical,1,200,149,149,1.0,0.745
sparse_hierarchical,2,200,160,159,0.99375,0.795
sparse_hierarchical,3,200,164,164,1.0,0.82
sparse_hierarchical,4,200,164,163,0.9939024390243902,0.815
sparse_hierarchical,5,200,166,165,0.9939759036144579,0.825
sparse_hierarchical,6,200,164,161,0.9817073170731707,0.805
sparse_hierarchical,7,200,169,169,1.0,0.845
sparse_hierarchical,8,200,169,168,0.9940828402366864,0.84
sparse_hierarchical,9,200,165,161,0.9757575757575757,0.805
sparse_hierarchical,10,200,161,158,0.9813664596273292,0.79
sparse_hierarchical,11,200,161,160,0.9937888198757764,0.8
sparse_hierarchical,12,200,160,160,1.0,0.8
sparse_hierarchical,13,200,156,155,0.9935897435897436,0.775
sparse_hierarchical,14,200,155,155,1.0,0.775
sparse_hierarchical,15,200,155,155,1.0,0.775
sparse_hierarchical,16,200,158,158,1.0,0.79
sparse_hierarchical,17,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,18,200,159,159,1.0,0.795
sparse_hierarchical,19,200,159,158,0.9937106918238994,0.79
sparse_hierarchical,20,200,163,163,1.0,0.815
sparse_hierarchical,21,200,160,156,0.975,0.78
sparse_hierarchical,22,200,161,159,0.9875776397515528,0.795
sparse_hierarchical,23,200,166,166,1.0,0.83
sparse_hierarchical,24,200,161,159,0.9875776397515528,0.795
sparse_hierarchical,25,200,160,160,1.0,0.8
sparse_hierarchical,26,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,27,200,157,157,1.0,0.785
sparse_hierarchical,28,200,156,155,0.9935897435897436,0.775
sparse_hierarchical,29,200,156,155,0.9935897435897436,0.775
sparse_hierarchical,30,200,151,150,0.9933774834437086,0.75
sparse_hierarchical,31,200,150,150,1.0,0.75
sparse_hierarchical,32,200,149,148,0.9932885906040269,0.74
sparse_hierarchical,33,200,157,157,1.0,0.785
sparse_hierarchical,34,200,161,160,0.9937888198757764,0.8
sparse_hierarchical,35,200,159,159,1.0,0.795
sparse_hierarchical,36,200,157,156,0.9936305732484076,0.78
sparse_hierarchical,37,200,163,162,0.9938650306748467,0.81
sparse_hierarchical,38,200,163,161,0.9877300613496932,0.805
sparse_hierarchical,39,200,160,157,0.98125,0.785
sparse_hierarchical,40,200,157,157,1.0,0.785
sparse_hierarchical,41,200,156,155,0.9935897435897436,0.775
sparse_hierarchical,42,200,158,158,1.0,0.79
sparse_hierarchical,43,200,156,156,1.0,0.78
sparse_hierarchical,44,200,162,162,1.0,0.81
sparse_hierarchical,45,200,161,161,1.0,0.805
sparse_hierarchical,46,200,154,153,0.9935064935064936,0.765
sparse_hierarchical,47,200,160,160,1.0,0.8
sparse_hierarchical,48,200,166,166,1.0,0.83
sparse_hierarchical,49,200,164,163,0.9939024390243902,0.815
sparse_hierarchical,50,200,162,161,0.9938271604938271,0.805
sparse_hierarchical,51,200,160,159,0.99375,0.795
sparse_hierarchical,52,200,158,158,1.0,0.79
sparse_hierarchical,53,200,157,155,0.9872611464968153,0.775
sparse_hierarchical,54,200,158,158,1.0,0.79
sparse_hierarchical,55,200,156,154,0.9871794871794872,0.77
sparse_hierarchical,56,200,152,152,1.0,0.76
sparse_hierarchical,57,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,58,200,155,154,0.9935483870967742,0.77
sparse_hierarchical,59,200,166,165,0.9939759036144579,0.825
sparse_hierarchical,60,200,160,160,1.0,0.8
sparse_hierarchical,61,200,157,157,1.0,0.785
sparse_hierarchical,62,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,63,200,156,156,1.0,0.78
sparse_hierarchical,64,200,156,156,1.0,0.78
sparse_hierarchical,65,200,160,159,0.99375,0.795
sparse_hierarchical,66,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,67,200,156,154,0.9871794871794872,0.77
sparse_hierarchical,68,200,152,152,1.0,0.76
sparse_hierarchical,69,200,152,152,1.0,0.76
sparse_hierarchical,70,200,164,164,1.0,0.82
sparse_hierarchical,71,200,158,155,0.9810126582278481,0.775
sparse_hierarchical,72,200,155,155,1.0,0.775
sparse_hierarchical,73,200,153,152,0.9934640522875817,0.76
sparse_hierarchical,74,200,158,157,0.9936708860759493,0.785
sparse_hierarchical,75,200,156,153,0.9807692307692307,0.765
sparse_hierarchical,76,200,160,160,1.0,0.8
sparse_hierarchical,77,200,160,160,1.0,0.8
sparse_hierarchical,78,200,160,159,0.99375,0.795
sparse_hierarchical,79,200,158,158,1.0,0.79
sparse_hierarchical,80,200,153,148,0.9673202614379085,0.74
sparse_hierarchical,81,200,161,161,1.0,0.805
sparse_hierarchical,82,200,165,165,1.0,0.825
sparse_hierarchical,83,200,165,163,0.9878787878787879,0.815
sparse_hierarchical,84,200,166,165,0.9939759036144579,0.825
sparse_hierarchical,85,200,170,170,1.0,0.85
sparse_hierarchical,86,200,163,161,0.9877300613496932,0.805
sparse_hierarchical,87,200,164,164,1.0,0.82
sparse_hierarchical,88,200,159,155,0.9748427672955975,0.775
sparse_hierarchical,89,200,168,168,1.0,0.84
sparse_hierarchical,90,200,164,161,0.9817073170731707,0.805
sparse_hierarchical,91,200,159,159,1.0,0.795
sparse_hierarchical,92,200,160,160,1.0,0.8
sparse_hierarchical,93,200,156,156,1.0,0.78
sparse_hierarchical,94,200,153,152,0.9934640522875817,0.76
sparse_hierarchical,95,200,155,155,1.0,0.775
sparse_hierarchical,96,200,151,151,1.0,0.755
sparse_hierarchical,97,200,149,149,1.0,0.745
sparse_hierarchical,98,200,155,154,0.9935483870967742,0.77
sparse_hierarchical,99,200,151,151,1.0,0.755
