feature,clean_name,variance,spearman_age,spearman_pseudotime,mutual_info_pseudotime,f_batch,f_phase,f_state,dynamic_score,variance_rank,dynamic_rank
Int_Med_RB_cell,Med_RB,1.0,0.06324483684459589,0.694056216966009,0.3449494266865525,3.7403276235167763e-05,3.8402099022789926,5.7728361554334855,0.378993366798486,132.0,1.0
Int_Med_RB_ring,Med_RB_ring,0.9999999999999931,0.07580263457210897,0.6858848443490249,0.3130257035384698,0.0010702707896049282,4.167705296144765,4.925127229468122,0.37302595051798365,219.0,2.0
Int_Med_RB_cyto,Med_RB,0.9999999999999931,0.07580263457210897,0.6858848443490249,0.29876081033502366,0.0010702707896049282,4.167705296144765,4.925127229468122,0.37088621653746673,219.0,3.0
Int_Med_p16_cell,Med_p16,1.0,0.04706970134742349,0.6548397270885895,0.2993701718640809,0.0019974209076491635,4.744717918951184,4.609148752310909,0.3494593710339614,132.0,4.0
Int_Med_pRB_ring,Med_pRB_ring,0.9999999999999982,0.07797778424554547,0.6416314343012068,0.302541713301415,0.00042383272822594565,8.331856568589473,2.439197675075143,0.349118762808408,183.0,5.0
Int_Med_pRB_cell,Med_pRB,1.0000000000000107,0.05814899491813319,0.6563172056239117,0.29525509400684324,0.0002669925745339279,3.6118184687550468,0.9189910949688616,0.34902564961135535,2.0,6.0
Int_Med_pRB_cyto,Med_pRB,0.9999999999999982,0.07797778424554547,0.6416314343012068,0.30105250617661383,0.00042383272822594565,8.331856568589473,2.439197675075143,0.3488953817396878,183.0,7.0
Int_Med_p16_cyto,Med_p16,1.0000000000000069,0.05991985797997554,0.6315833873118093,0.2856802037876385,0.0022152468088449686,3.6728480877396006,4.5993536951073475,0.3404683110095066,14.0,8.0
Int_Med_p16_ring,Med_p16_ring,1.0000000000000069,0.05991985797997554,0.6315833873118093,0.28130676783821507,0.0022152468088449686,3.6728480877396006,4.5993536951073475,0.33981229561709303,14.0,9.0
Int_Med_p38_cell,Med_p38,1.0000000000000062,0.015064807256720804,0.6404645519064819,0.32139659187715,0.002829267269313676,14.898263124003503,3.0137512163969715,0.33845083748155735,21.0,10.0
Int_MeanEdge_AKT_cell,AKT,1.0000000000000002,0.18263115063609164,0.5832598654634074,0.21757574103097,0.006650926304789703,25.8121357965061,13.640662889539282,0.336908169896787,115.0,11.0
Int_Med_p38_ring,Med_p38_ring,1.0,0.036855516536157346,0.6289279327395332,0.28340619368901354,0.0032531337588990006,12.692545486817538,4.963086478332169,0.3318767213083055,132.0,12.0
Int_Med_p38_cyto,Med_p38,1.0,0.036855516536157346,0.6289279327395332,0.2832341266314673,0.0032531337588990006,12.692545486817538,4.963086478332169,0.33185091124967353,132.0,13.0
Int_Med_AKT_cell,Med_AKT,0.9999999999999992,0.07227270445232711,0.6040725580205463,0.2825700294272302,0.006401507112938383,16.203145614357073,18.103955154074338,0.3279409484611512,159.0,14.0
Int_Med_Bcl2_cell,Med_Bcl2,1.0000000000000056,0.0168932715547858,0.6282586062614645,0.2769615666958325,0.004749016289005551,6.641571215945808,9.535739693647434,0.32536615373533345,25.0,15.0
Int_Med_AKT_cyto,Med_AKT,1.000000000000004,0.0935730414438983,0.570537422932023,0.26294576784391754,0.00792541511235438,21.535835794773362,23.967895017418332,0.31444270724226003,42.0,16.0
Int_Med_Bcl2_ring,Med_Bcl2_ring,0.9999999999999915,0.023220854545899543,0.6063397659332974,0.25809553402493357,0.006470842403817571,8.081659908412322,11.528576925298934,0.3140483332535394,226.0,17.0
Int_Med_Bcl2_cyto,Med_Bcl2,0.9999999999999915,0.023220854545899543,0.6063397659332974,0.2562174697565851,0.006470842403817571,8.081659908412322,11.528576925298934,0.31376662361328717,226.0,18.0
Int_Med_AKT_ring,Med_AKT_ring,1.000000000000004,0.0935730414438983,0.570537422932023,0.2565458121389259,0.00792541511235438,21.535835794773362,23.967895017418332,0.3134827138865113,42.0,19.0
Int_Med_cJun_cyto,Med_cJun,0.9999999999999836,0.1071843575033122,0.5558993619373718,0.2323087174342655,2.6664464773560206e-06,8.605528864553586,1.4152420338978575,0.3112426724875806,237.0,20.0
Int_Med_cJun_cell,Med_cJun,1.0000000000000175,0.07105082382683355,0.5730838159059729,0.22190668944239889,6.675641261096003e-05,5.768866188060083,3.863770590876192,0.30841781798102236,1.0,21.0
Int_Med_cJun_ring,Med_cJun_ring,0.9999999999999836,0.1071843575033122,0.5558993619373718,0.20085171416575243,2.6664464773560206e-06,8.605528864553586,1.4152420338978575,0.3065241219973036,237.0,22.0
Int_MeanEdge_YAP_cell,YAP,1.0000000000000013,0.12364819655305123,0.5394736037833041,0.1975757883190994,0.00018779051512243818,14.318549218836718,10.662799973219027,0.3004431403074559,87.0,23.0
Int_MeanEdge_p38_cell,p38,0.9999999999999987,0.15884155318255996,0.5222268271880266,0.16638195119484145,0.003930522780874167,19.761839409375597,6.447781991496372,0.298449831618386,172.0,24.0
Int_Med_pCHK1_cell,Med_pCHK1,0.9999999999999939,0.050714029650198375,0.5550017505309657,0.23210230694153555,0.00038700595126053177,5.921688443157552,1.8166531264583246,0.29495313793924083,217.0,25.0
Int_MeanEdge_pGSK3b_cell,pGSK3b,1.0000000000000013,0.18913191256818476,0.5012027123420906,0.1550870670972868,0.003686114548209566,20.441052935194786,5.3327266564666145,0.29259756518781443,87.0,26.0
Int_Med_ERK_cell,Med_ERK,1.0000000000000009,0.08446699430615631,0.5366944166381045,0.20823397755725281,0.015699232020207572,36.64078368354272,1.080348081655881,0.2910014282487279,100.0,27.0
Int_Med_ERK_cyto,Med_ERK,0.9999999999999997,0.07848939123929342,0.5441701770563966,0.1859148456350148,0.019827524702837,29.54120226884384,2.0749480407333594,0.2904228023734858,145.0,28.0
Int_Med_ERK_ring,Med_ERK_ring,0.9999999999999997,0.07848939123929342,0.5441701770563966,0.18122710953742693,0.019827524702837,29.54120226884384,2.0749480407333594,0.2897196419588476,145.0,29.0
Int_MeanEdge_Bcl2_cell,Bcl2,1.0000000000000016,0.10733214947020463,0.5278905907054633,0.1829588299887046,0.0020781591645040154,11.354881175857855,11.957027056398404,0.28854543165064156,79.0,30.0
Int_Med_GSK3b_cell,Med_GSK3b,1.0000000000000016,0.002208635052129933,0.5573607813592494,0.20867959307993988,3.502781697894298e-05,10.69796079291422,3.106998289431539,0.2803673317548967,79.0,31.0
Int_Med_BP1_cell,Med_BP1,1.000000000000006,0.04571271175415493,0.5303770183054246,0.19934372330743777,3.862338569523306e-05,6.276557771974181,5.170617261714033,0.2781737195634178,24.0,32.0
Int_MeanEdge_ERK_cell,ERK,1.0,0.09640514762218497,0.5065837094319323,0.18240819653068208,0.027105602167469017,16.776511831466834,5.362966574474621,0.274813201878749,132.0,33.0
Int_Med_pCHK1_cyto,Med_pCHK1,1.0000000000000056,0.01866619100179283,0.5304136464289192,0.20542371536256088,0.0004333129298096379,3.553573618214376,2.070155053983721,0.27250841071687404,25.0,34.0
Int_Med_pCHK1_ring,Med_pCHK1_ring,1.0000000000000056,0.01866619100179283,0.5304136464289192,0.19526308822074512,0.0004333129298096379,3.553573618214376,2.070155053983721,0.27098431664560163,25.0,35.0
Int_Med_GSK3b_ring,Med_GSK3b_ring,1.0000000000000002,0.02171518649091654,0.5272945312437329,0.18971892875919316,9.661816214338488e-05,7.244525950538891,5.37405636382159,0.26821172469703325,115.0,36.0
Int_Med_GSK3b_cyto,Med_GSK3b,1.0000000000000002,0.02171518649091654,0.5272945312437329,0.17895468817146476,9.661816214338488e-05,7.244525950538891,5.37405636382159,0.266597088608874,115.0,37.0
Int_Med_BP1_cyto,Med_BP1,0.9999999999999901,0.06471022969012238,0.5013715886637835,0.18220787151224904,5.694898520863052e-05,7.856765197965578,6.879982180446656,0.26646943403475165,232.0,38.0
Int_Med_BP1_ring,Med_BP1_ring,0.9999999999999901,0.06471022969012238,0.5013715886637835,0.18125046162836522,5.694898520863052e-05,7.856765197965578,6.879982180446656,0.2663258225521691,232.0,39.0
Int_Med_STAT3_cell,Med_STAT3,0.9999999999999953,0.056873499520277905,0.5097590792139587,0.16033780796420505,0.0006582432249426494,6.232560485351279,4.102412591295149,0.2653890397208142,210.0,40.0
Int_Med_STAT3_cyto,Med_STAT3,0.999999999999997,0.07173629666069929,0.4924947984094152,0.17292515072386205,0.001014661434465357,7.666602458909845,5.124126218242617,0.2630215012377284,199.0,41.0
Int_Med_YAP_cell,Med_YAP,1.0,0.025633598053227194,0.5191145104509013,0.1523883319800925,1.0134865609834817e-05,9.787220507970185,2.4238281757806397,0.26286716553180106,132.0,42.0
