hour,curtailment_mw
0,16013.028224131618
1,11670.353687549796
2,12600.253076267427
3,13162.760074379334
4,9779.890579284613
5,11372.057582038773
6,8328.066859903569
7,10985.253513606833
8,14120.145258896266
9,14972.802119365108
10,6831.908560162132
11,8403.768504269714
12,7526.106867680161
13,8056.887751190357
14,7645.646329788007
15,9951.864712270513
16,5744.365975354502
17,9537.618891200622
18,5268.293686955823
19,6334.594503632794
20,6740.103453570562
21,4808.487694710049
22,10356.580166112357
23,11136.899363839917
24,9469.625051947552
25,11569.569303556875
26,13815.726627788294
27,10637.428004495103
28,7881.655033105615
29,11576.25738169773
30,12893.349369204185
31,13856.969195186914
32,15402.555916045829
33,13727.16661728968
34,12082.345556376797
35,8359.702259757221
36,7757.065752135897
37,11521.398108337948
38,14142.565477073651
39,14545.983251440422
40,17991.148852431885
41,12018.222623708625
42,13712.173299803802
43,14581.250006239212
44,13115.11416770136
45,8719.588835702758
46,12036.140852473347
47,13823.188239534424
48,10893.830790709717
49,12453.067398659798
50,11275.593550802154
51,9512.422347879206
52,13158.214255484183
53,10469.800750542354
54,10461.870569655202
55,13376.896883514975
56,12157.434686029645
57,10715.754296782223
58,10776.29669966516
59,6777.873280255915
60,12885.643194882568
61,11573.467920379167
62,12020.547668502055
63,5202.60515838621
64,8976.360256380354
65,9067.493973226696
66,13559.822237095044
67,16234.858387879225
68,8010.9706152441195
69,11487.86582724238
70,13215.966219111182
71,11181.259601050699
72,12399.374913879337
73,13131.478441730666
74,11520.5878538198
75,12205.163464019932
76,11444.297116820197
77,11459.809753978407
78,12744.987253652735
79,16689.660375635558
80,18059.494641799396
81,10157.314477993848
82,15913.692350169404
83,14200.631373681479
84,12173.01291865039
85,14168.330279870339
86,14517.360902161072
87,15384.423068242928
88,12608.457917124162
89,12211.784450589537
90,10046.20604864819
91,9122.374232119544
92,15297.062222274788
93,9430.219523227315
94,10838.555324903404
95,12362.19291261279
96,9452.152430539674
97,9825.989125338665
98,7661.8054783200205
99,5776.043104570226
100,8692.171254909757
101,8973.98587123736
102,4749.462243629325
103,7797.996891564317
104,7074.258191047273
105,6253.228454790104
106,9389.6658412051
107,11027.64341270967
108,12155.028208624864
109,9310.89770717419
110,6896.592683295672
111,7932.160523955035
112,6388.567988253006
113,8462.48292439192
114,10200.194091615493
115,14295.27207575953
116,14092.485956362496
117,15780.792478201953
118,11293.814106648853
119,11705.597251949855
120,10077.060118468604
121,16155.202684566702
122,12701.449491398496
123,13462.694583762614
124,13509.93863252369
125,14546.270993319155
126,11961.202493531535
127,15689.502058836191
128,12811.158213136423
129,14846.152014513564
130,10170.570851867986
131,7265.846893262062
132,11721.422590339782
133,13033.83294150171
134,12564.402823668352
135,9717.040011128784
136,13418.939134881628
137,9875.273847521676
138,9625.316046779239
139,11026.68877809844
140,8475.963985163049
141,7012.681885276126
142,7286.101022413684
143,9679.178190036453
144,10580.636640197867
145,13783.485658438
146,7602.260370887045
147,10761.174028166675
148,14249.328968469837
149,13762.379728482989
150,12423.560706110613
151,14291.973417065217
152,13732.447385639722
153,13457.867681888494
154,13302.84233248783
155,14481.560068424998
156,11566.336508828965
157,13392.77704205116
158,13855.1161738283
159,12533.649599239432
160,12765.783970448927
161,16541.323042075877
162,18517.616635750208
163,12957.108074784343
164,15830.840984243876
165,12662.714350202456
166,10287.40806800557
167,16662.10204194049
