source_file,cycle_global,cycle_local,current_A,duration_s,capacity_Ah
CS2_36_1_10_11.xlsx,1,1,1.1000723838806152,2451.7841898261822,0.7491565870911311
CS2_36_1_10_11.xlsx,2,2,1.099981427192688,2399.610911603535,0.7331979137024869
CS2_36_1_10_11.xlsx,3,3,1.0998904705047607,2275.3068280198336,0.6951974197578319
CS2_36_1_10_11.xlsx,4,4,1.0998904705047607,2236.61757866606,0.6833738045737721
CS2_36_1_10_11.xlsx,5,5,1.0998904705047607,2315.546550354345,0.7075062200559699
CS2_36_1_10_11.xlsx,6,6,1.0998904705047607,2325.0947083018445,0.7104221009186942
CS2_36_1_10_11.xlsx,7,7,1.1000723838806152,2325.1894267142725,0.7104485468583883
CS2_36_1_10_11.xlsx,8,8,1.0998904705047607,2203.2449861219498,0.6731725255869909
CS2_36_1_10_11.xlsx,9,9,1.0998904705047607,2156.9490249016776,0.6590181776391537
CS2_36_1_10_11.xlsx,10,10,1.0998904705047607,2132.1209812274433,0.651425562444099
CS2_36_1_10_11.xlsx,11,11,1.0998904705047607,2102.24627224043,0.6422941992996014
CS2_36_1_10_11.xlsx,12,12,1.0998904705047607,1638.954756602224,0.5007457215622679
CS2_36_1_10_11.xlsx,13,13,1.0998904705047607,2081.324967596934,0.6359064833841419
CS2_36_1_10_11.xlsx,14,14,1.0998904705047607,2078.9028305862303,0.6351602178634312
CS2_36_1_10_11.xlsx,15,15,1.0998904705047607,2150.2166526785986,0.656963963864241
CS2_36_1_10_11.xlsx,16,16,1.0998904705047607,2170.5000328179462,0.6631537808653096
CS2_36_1_10_11.xlsx,17,17,1.0998904705047607,2182.031523911903,0.6666839294764557
CS2_36_1_10_11.xlsx,18,18,1.0998904705047607,2074.762527908017,0.6338964461392926
CS2_36_1_10_11.xlsx,19,19,1.0998904705047607,2046.7938443227733,0.6253470900463682
CS2_36_1_10_11.xlsx,20,20,1.0998904705047607,2041.9323176775192,0.6238615466678343
CS2_36_1_10_11.xlsx,21,21,1.0998904705047607,2020.747307934776,0.6173900877644112
CS2_36_1_10_11.xlsx,22,22,1.0998904705047607,2012.6535427415251,0.614921330051299
CS2_36_1_10_11.xlsx,23,23,1.0998904705047607,1987.841656576776,0.6073307148387599
CS2_36_1_10_11.xlsx,24,24,1.0998904705047607,2028.2162948834016,0.6196702539735046
CS2_36_1_10_11.xlsx,25,25,1.0998904705047607,2079.387430337919,0.6353082057133594
CS2_36_1_10_11.xlsx,26,26,1.0998904705047607,2094.7174022448253,0.6399937024760192
CS2_36_1_10_11.xlsx,27,27,1.0998904705047607,2106.171783296832,0.6434961847920455
CS2_36_1_10_11.xlsx,28,28,1.0998904705047607,2002.700863407261,0.6118719385020377
CS2_36_1_10_11.xlsx,29,29,1.0998904705047607,1964.95108270343,0.6003409751854321
CS2_36_1_10_11.xlsx,30,30,1.0998904705047607,1977.107457705358,0.6040536094559599
CS2_36_1_10_11.xlsx,31,31,1.0998904705047607,1966.4196354687838,0.600787187898419
CS2_36_1_10_11.xlsx,32,32,1.0998904705047607,1960.9533001742805,0.5991067321306183
CS2_36_1_10_11.xlsx,33,33,1.0998904705047607,1938.766063152781,0.5923306394695587
CS2_36_1_10_11.xlsx,34,34,1.0998904705047607,1921.2489932447022,0.5869765471158175
CS2_36_1_10_11.xlsx,35,35,1.0998904705047607,1912.4362677311144,0.5842782309048857
CS2_36_1_10_11.xlsx,36,36,1.0998904705047607,1403.6636874155586,0.42884358266914546
CS2_36_1_10_11.xlsx,37,37,1.0998904705047607,1890.389767248373,0.5775431757555438
CS2_36_1_10_11.xlsx,38,38,1.0998904705047607,1882.8586439969613,0.5752441616843562
