feature,importance_mean,importance_std
hydrophobic_cationic_product,18.191015539929577,0.9191939447888379
hydrophobic_aromatic_fraction,14.118467499825032,0.9953303497503538
Nucleophilic-HEA,10.858781831275788,1.0881451034086902
Cationic-ATAC,9.405695332523106,0.5492752426483615
hydrophilic_fraction,7.996413293660092,0.5970184095025254
charge_magnitude,4.30850706102139,0.4317762378883943
charge_balance,3.982705419026805,0.4155175055305674
Aromatic-PEA,3.427399126808572,0.6277227534115419
Hydrophobic-BA,2.635050782515144,0.23972808868555112
composition_entropy,2.6327902970153336,0.26114740959265537
Acidic-CBEA,1.5780057535104244,0.20669392793043373
max_monomer_fraction,1.0408208779096118,0.11763393058358913
nucleophile_aromatic_product,0.2485563404056624,0.08079997116576813
Amide-AAm,0.20092792952481073,0.05285132370796111
