ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,feature_sum,max_monomer_fraction,min_monomer_fraction,hydrophilic_fraction,hydrophobic_aromatic_fraction,charge_balance,charge_magnitude,nucleophile_aromatic_product,hydrophobic_cationic_product,composition_entropy,predicted_glass_60s_kpa,predicted_high_strength_prob,dataset,sheet
RFR-RFR,1,0.06884542092530306,0.32659784674289927,0.029678038914051935,0.33709696774407394,0.22780497069414712,0.009976754979524381,115.3857041755131,0.9999999999999997,0.33709696774407394,0.009976754979524381,0.44559718256295333,0.5544028174370463,0.307418928830022,0.3667750066581259,0.015683329096314886,0.11009514380877512,1.4035882056587363,115.6048935938741,0.8224628905165341,ML_ei&pred_20240213.xlsx,EI
,2,0.0705569241329276,0.28289794171587374,0.019934387044717033,0.040593946600422585,0.38380140523527995,0.20221539527078194,182.9865534324133,1.0000000000000029,0.38380140523527995,0.019934387044717033,0.33330065304884915,0.6666993469511537,0.020659559555705552,0.06052833364513962,0.02707984663129665,0.011483943939383639,1.443159638621031,100.61530062492724,0.9665697593144545,ML_ei&pred_20240213.xlsx,EI
,3,0.019795136119078297,0.45561467165176217,0.0693951389729064,0.049429891497451035,0.16830769773315357,0.2374574640256487,149.58244869072894,1.0000000000000002,0.45561467165176217,0.019795136119078297,0.3760776306150845,0.6239223693849157,-0.019965247475455368,0.11882503047035745,0.0033316737865164607,0.022520983784393385,1.4109189124227148,132.60631105769707,0.9110922137451675,ML_ei&pred_20240213.xlsx,EI
,4,0.07000394945633134,0.3797019603386503,0.03986354608559462,0.05035568111607122,0.13997395371555724,0.32010090928779855,87.98301486199576,1.000000000000003,0.3797019603386503,0.03986354608559462,0.48032408594579573,0.5196759140542075,0.0104921350304766,0.09021922720166584,0.009798729581106731,0.019120150833960195,1.4726571102603834,123.13691889637857,0.6502114345700024,ML_ei&pred_20240213.xlsx,EI
,5,0.09135703872266165,0.42406318890205646,0.060534257477514106,0.2320105921667729,0.14137585140767983,0.05065907132331367,123.14225053078556,0.9999999999999987,0.42406318890205646,0.05065907132331367,0.4345609596902623,0.5654390403097362,0.17147633468925877,0.292544849644287,0.012915679131500666,0.0983871515732962,1.518815883764018,131.0749969361249,0.9125646806276635,ML_ei&pred_20240213.xlsx,EI
,6,0.09943975697769035,0.08119328219560237,0.1790867092533545,0.06978178038710518,0.14936616968528024,0.4211323015009711,37.310686482661005,1.0000000000000038,0.4211323015009711,0.06978178038710518,0.7694405481191211,0.23055945188088262,-0.1093049288662493,0.24886848964045966,0.014852935614192727,0.005665811787081782,1.575388309014226,81.03685820916105,0.7211175338882501,ML_ei&pred_20240213.xlsx,EI
,7,0.227224803109542,0.09873085979990148,0.2572130615716996,0.07912182520738337,0.14841845038052473,0.18929099993094667,65.84571832979476,0.9999999999999977,0.2572130615716996,0.07912182520738337,0.7528506898195717,0.2471493101804262,-0.17809123636431623,0.33633488677908296,0.03372435316553806,0.0078117658316624785,1.7134828974713168,71.01057677578378,0.47837154257883596,ML_ei&pred_20240213.xlsx,EI
,8,0.02050118733233578,0.319769269353473,0.04003455579891344,0.04053218574791113,0.059931601695884,0.5192312000714863,37.14083510261854,1.0000000000000036,0.5192312000714863,0.02050118733233578,0.6202991289506466,0.379700871049357,0.0004976299489976854,0.08056674154682457,0.0012286689934942507,0.012960947421908793,1.2120322979509122,76.76980789816172,0.37943640646415855,ML_ei&pred_20240213.xlsx,EI
,9,0.12129440786166334,0.34304732594513415,0.04073460810304279,0.040604246190731726,0.4543194118994327,0.0,93.36164189667375,1.0000000000000049,0.4543194118994327,0.0,0.20263326215543787,0.7973667378445668,-0.00013036191231106248,0.08133885429377452,0.05510640404640082,0.013929178077748417,1.2418036370993137,225.06647021552348,0.9842109012266963,ML_ei&pred_20240213.xlsx,EI
,10,0.1793287325198463,0.2501117032747501,0.12054717063892714,0.15981108323826002,0.2699873548489832,0.020213955479231358,123.14225053078556,0.999999999999998,0.2699873548489832,0.020213955479231358,0.4799009418762648,0.5200990581237332,0.03926391259933287,0.28035825387718716,0.04841649014145413,0.03997062223090407,1.635276794220147,110.30004396551206,0.8146436442476525,ML_ei&pred_20240213.xlsx,EI
RFR-GP,1,0.0,0.2527142641696688,0.03983828851648235,0.11149497883067107,0.3333308161401877,0.26262165234298546,121.27388535031847,0.9999999999999953,0.3333308161401877,0.0,0.41395491969013887,0.5860450803098565,0.07165669031418873,0.1513332673471534,0.0,0.02817637153380584,1.4379380298549236,128.63370194220545,0.9340768863537596,ML_ei&pred_20240213.xlsx,EI
,2,0.0,0.5052813906643826,0.0,0.07068748451055998,0.15105430447562626,0.27297682034942733,138.20240622788393,0.9999999999999962,0.5052813906643826,0.0,0.34366430485998734,0.6563356951400089,0.07068748451055998,0.07068748451055998,0.0,0.03571707047606275,1.1721453947022844,115.75678991711466,0.8081861836593547,ML_ei&pred_20240213.xlsx,EI
,3,0.0,0.1394755208280519,0.45021998254641005,0.10996599804341498,0.30033849858212264,0.0,125.35031847133757,0.9999999999999996,0.45021998254641005,0.0,0.560185980589825,0.4398140194101745,-0.34025398450299504,0.560185980589825,0.0,0.01533756485048184,1.2380521167550733,141.70186227444,0.986813367363079,ML_ei&pred_20240213.xlsx,EI
