frame,coulomb_descriptor,repulsive_descriptor,total_proxy_energy,net_charge
0,-12.85472308055023,0.06407455086958339,-12.790648529680647,0.0
1,-10.350207386844843,0.060607230687893546,-10.28960015615695,0.0
2,-20.91383053270519,0.06673301588666808,-20.847097516818522,0.0
3,-5.239796584033428,0.06715649611048466,-5.172640087922943,0.0
4,-11.285786665200803,0.09267707306276503,-11.193109592138038,0.0
5,-12.861865390351142,0.06699733522569741,-12.794868055125445,0.0
6,-5.127119951104817,0.07163752299343054,-5.055482428111386,0.0
7,-0.9766362441754239,0.09497776282519169,-0.8816584813502323,0.0
8,-17.77296969366327,0.09891812099395589,-17.674051572669313,0.0
9,1.7410941758665075,0.11484369487307151,1.855937870739579,0.0
10,-3.647069043830456,0.0861957896538,-3.5608732541766557,0.0
11,-9.590568863824615,0.0610147840375593,-9.529554079787056,0.0
12,-4.844303056311077,0.06997743953210674,-4.77432561677897,0.0
13,-5.395683711198188,0.05849670898528381,-5.337187002212905,0.0
14,-4.453172164355749,0.07211186175856404,-4.381060302597185,0.0
15,-13.371563911728927,0.056260843042704844,-13.315303068686223,0.0
16,-13.741824098886923,0.06981764548503891,-13.672006453401885,0.0
17,-13.65413651930318,0.07627145896858054,-13.577865060334599,0.0
18,-10.249129633813766,0.09750828963201838,-10.151621344181747,0.0
19,-11.155260547708565,0.07873380969629437,-11.076526738012271,0.0
20,-1.868115983127872,0.07817578733377914,-1.7899401957940928,0.0
21,2.9937058111827923,0.0793050030395753,3.0730108142223678,0.0
22,-9.894751873747083,0.08336768076875524,-9.811384192978327,0.0
23,-6.904938841999879,0.1089532040883523,-6.795985637911527,0.0
24,-3.3869090553099426,0.09321486531137926,-3.2936941899985634,0.0
25,-6.556805979165162,0.0739775127729159,-6.482828466392246,0.0
26,-5.470229667235003,0.07791661542592276,-5.39231305180908,0.0
27,-6.9901913487505,0.07464473788001424,-6.915546610870486,0.0
28,-12.068985474762442,0.06158405003683677,-12.007401424725606,0.0
29,-2.19930792205254,0.09474603992029014,-2.1045618821322503,0.0
30,-9.431871400450575,0.0567599475787193,-9.375111452871856,0.0
31,-16.584024874918455,0.08979398723201651,-16.494230887686438,0.0
32,-10.916736898372761,0.07301041788176016,-10.843726480491002,0.0
33,-6.627932288781636,0.07923626168150914,-6.548696027100127,0.0
34,-1.4233057535801095,0.07031145856349112,-1.3529942950166183,0.0
35,1.1902222368102429,0.06309704798864701,1.2533192847988899,0.0
36,-7.848605370590008,0.09724753755445889,-7.751357833035549,0.0
