hour,demand_mw,wind_mw,gas_mw,nuclear_mw,storage_discharge_mw,storage_charge_mw,curtailment_mw,unserved_mw,mean_line_utilization,max_line_utilization
0,113235.03081712821,14318.784977587062,8047.356581977324,2400.0,0.0,0.0,15463.028224131618,88468.88925756382,0.6204479132802903,1.0
1,101604.81038085517,13866.08531705035,8047.356581977324,2400.0,0.0,0.0,11220.834634711468,77291.36848182749,0.5769832656149365,1.0
2,86308.16927158141,13284.080983028913,8047.356581977324,2400.0,0.0,0.0,12170.830212861432,62576.73170657516,0.5691258430798222,1.0
3,80522.35697790461,12870.914022792746,8047.356581977324,2400.0,0.0,0.0,13162.760074379334,57204.08637313453,0.5479688358960402,1.0
4,90165.30637495837,13442.334224739654,8047.356581977324,2400.0,0.0,0.0,9779.890579284613,66275.61556824138,0.5818435456944888,1.0
5,109380.90701161747,14635.816393553121,8047.356581977324,2400.0,0.0,0.0,11372.057582038773,84297.73403608703,0.5844401011418828,1.0
6,124989.68566055656,14429.112561586373,8047.356581977324,2400.0,0.0,0.0,8328.066859903569,100113.21651699286,0.597592531038824,1.0
7,126516.00307208969,14790.141956309626,8047.356581977324,2400.0,0.0,0.0,10985.253513606835,101278.50453380274,0.6918598182844479,1.0
8,114156.67664708235,14063.769977196358,8047.356581977324,2400.0,0.0,0.0,14120.145258896266,89645.55008790868,0.6183688746452431,1.0
9,98623.42379830468,13560.608701857389,8047.356581977324,2400.0,0.0,0.0,14972.802119365108,74615.45851446997,0.5586726389446958,1.0
10,92979.1398988091,13259.188077744408,8047.356581977324,2400.0,0.0,0.0,6831.908560162132,69272.59523908739,0.5413607981103682,1.0
11,102684.2598795031,14015.377621162314,8047.356581977324,2400.0,0.0,0.0,8403.768504269714,78221.52567636345,0.5376479793688116,1.0
12,121432.36935956641,14203.741028873132,8047.356581977324,2400.0,0.0,0.0,7526.106867680161,96781.27174871595,0.6152118294463272,1.0
13,135946.04648064196,15358.925858763118,8047.356581977324,2400.0,0.0,0.0,8056.887751190357,110139.7640399015,0.6950345226483546,1.0
14,136081.209903101,15244.862581294627,8047.356581977324,2400.0,0.0,0.0,7645.646329788007,110388.99073982905,0.692845667445019,1.0
15,122546.12188226433,14810.282876313182,8047.356581977324,2400.0,0.0,0.0,9951.864712270513,97288.48242397382,0.7336749712385311,1.0
16,106357.49615029007,14047.369889164731,8047.356581977324,2400.0,0.0,0.0,5744.365975354502,81862.76967914801,0.5535673248873568,1.0
17,100447.87932489335,13866.434515579618,8047.356581977324,2400.0,0.0,0.0,9537.618891200622,76134.0882273364,0.6475862217256165,1.0
18,109814.82762275719,14215.93506275692,8047.356581977324,2400.0,0.0,0.0,5268.293686955823,85151.53597802295,0.5774508593542594,1.0
19,127712.73677207026,15055.355609098475,8047.356581977324,2400.0,0.0,0.0,6334.594503632794,102210.02458099448,0.6978234147664268,1.0
20,140787.0447698484,15636.215170335243,8047.356581977324,2400.0,0.0,0.0,6740.103453570562,114703.47301753584,0.7230650261813044,1.0
21,139241.418137539,15080.79550507752,8047.356581977324,2400.0,0.0,0.0,4808.487694710049,113713.26605048416,0.6967638172261593,1.0
22,124296.19964579133,14836.38485267851,8047.356581977324,2400.0,0.0,0.0,10356.580166112357,99012.4582111355,0.7372194806096374,1.0
23,107258.94126429211,14109.22616708109,8047.356581977324,2400.0,0.0,0.0,11136.899363839917,82702.35851523369,0.7021701636301126,1.0
24,100914.75972337114,13292.487910976533,8047.356581977324,2400.0,0.0,0.0,9469.625051947552,77174.91523041729,0.6001408428977091,1.0
25,109792.26415792527,13938.608587638688,8047.356581977324,2400.0,0.0,0.0,11569.569303556875,85406.29898830924,0.6564335495116332,1.0
26,126716.98915249383,14935.5379207789,8047.356581977324,2400.0,0.0,0.0,13815.726627788294,101334.09464973761,0.7002734710203519,1.0
27,138276.68711117023,14989.59200522614,8047.356581977324,2400.0,0.0,0.0,10637.428004495103,112839.73852396675,0.7854909989663763,1.0
28,135036.95912951572,15227.195232694898,8047.356581977324,2400.0,0.0,0.0,7881.655033105615,109362.4073148435,0.773082555736723,1.0
29,118728.58895188865,14130.047377485827,8047.356581977324,2400.0,0.0,0.0,11576.25738169773,94151.18499242551,0.7111031137181775,1.0
30,100933.81604945927,13829.70960279835,8047.356581977324,2400.0,0.0,0.0,12893.349369204185,76656.74986468362,0.6942639036002596,1.0
31,94271.85215084272,13473.05647964925,8047.356581977324,2400.0,0.0,0.0,13856.969195186914,70351.43908921615,0.6061559344365142,1.0
32,102795.33945361416,13620.491121967283,8047.356581977324,2400.0,0.0,0.0,15402.555916045829,78727.49174966954,0.5890570207302996,1.0
33,118910.26848501833,14401.147388935377,8047.356581977324,2400.0,0.0,0.0,13727.16661728968,94061.76451410561,0.6744087223465811,1.0
34,129164.62931452514,14609.23541508822,8047.356581977324,2400.0,0.0,0.0,12082.345556376797,104108.03731745962,0.709180069576662,1.0
35,124498.03395960807,14426.724091323296,8047.356581977324,2400.0,0.0,0.0,8359.702259757221,99623.95328630744,0.6710502820058801,1.0
36,107147.77093531284,14182.004882567451,8047.356581977324,2400.0,0.0,0.0,7757.065752135897,82518.40947076806,0.6644922176716712,1.0
37,88952.68630676813,13318.103742955092,8047.356581977324,2400.0,0.0,0.0,11521.398108337948,65187.22598183569,0.669373407656374,1.0
38,82346.34665525361,12710.74452205687,8047.356581977324,2400.0,0.0,0.0,14142.565477073651,59188.24555121943,0.6630294053401861,1.0
39,90897.631231448,13155.941729931037,8047.356581977324,2400.0,0.0,0.0,14545.983251440422,67294.33291953964,0.6387112649319036,1.0
40,106601.50580198779,14060.059179300892,8047.356581977324,2400.0,0.0,0.0,17991.148852431885,82094.09004070956,0.6017426990648811,1.0
41,115982.85213231116,13850.719373927168,8047.356581977324,2400.0,0.0,0.0,12018.222623708625,91684.77617640667,0.6454363783846763,1.0
42,110365.58823440973,14183.616565865628,8047.356581977324,2400.0,0.0,0.0,13712.173299803802,85734.61508656677,0.6281473077564129,1.0
43,92487.68307308482,13480.936830220673,8047.356581977324,2400.0,0.0,0.0,14581.250006239212,68559.38966088681,0.6787363082793664,1.0
44,74425.06130097854,12446.603932759705,8047.356581977324,2400.0,0.0,0.0,13115.11416770136,51531.10078624152,0.564124941942951,1.0
45,68405.17651583963,12735.163550375382,8047.356581977324,2400.0,0.0,0.0,8719.588835702758,45222.65638348692,0.614201023987509,1.0
46,77505.14232967069,13053.821172422011,8047.356581977324,2400.0,0.0,0.0,12036.140852473347,54003.964575271355,0.5143663933936802,1.0
47,93317.21351106753,13155.177927508603,8047.356581977324,2400.0,0.0,0.0,13823.188239534424,69714.67900158161,0.6561827720490904,1.0
48,102359.1715221246,13793.385399726196,8047.356581977324,2400.0,0.0,0.0,10893.830790709717,78118.42954042107,0.5609421211761649,1.0
49,96348.42516060165,13792.361694223531,8047.356581977324,2400.0,0.0,0.0,12453.067398659798,72108.70688440077,0.6099097594658006,1.0
50,78516.64012689084,12906.928422585606,8047.356581977324,2400.0,0.0,0.0,11275.593550802154,55162.35512232789,0.5258979441798547,1.0
51,61156.62351454551,12318.278669156249,8047.356581977324,2400.0,0.0,0.0,9512.422347879206,38390.988263411935,0.511396939375544,1.0
52,56269.327285917825,11874.346375489544,8047.356581977324,2400.0,0.0,0.0,13158.214255484183,33947.62432845096,0.6419921786882851,1.0
53,66432.70145556775,12425.23059440499,8047.356581977324,2400.0,0.0,0.0,10469.800750542354,43560.114279185436,0.5463695402632014,1.0
54,82845.20399878778,13269.785849020354,8047.356581977324,2400.0,0.0,0.0,10461.870569655202,59128.06156779011,0.556096925679965,1.0
55,92033.6861581989,13874.748474735992,8047.356581977324,2400.0,0.0,0.0,13376.896883514975,67711.5811014856,0.6239924181937335,1.0
56,86117.94812314054,13427.912293303592,8047.356581977324,2400.0,0.0,0.0,12157.434686029645,62242.6792478596,0.6798471862515255,1.0
57,68816.06177926637,12655.13487379648,8047.356581977324,2400.0,0.0,0.0,10715.754296782223,45713.570323492575,0.6595001958878282,1.0
