z1,z2,z3,z4,z5,z6,z7,z8
1.7528003,0.29551545,-2.3558915,2.4993365,-1.3447046,-3.7805529,-3.6045852,-4.478491
0.014760714,0.42943868,-1.851509,0.38349128,-0.78822887,-2.3939173,-0.044367403,1.631791
3.607557,4.1354566,-0.9816676,0.95630574,0.41418993,-1.3761386,-0.24618493,1.4510164
-1.8722205,-0.1213952,1.8507928,-3.9536088,1.2049584,-0.99992234,0.6253431,4.0294733
1.1729987,2.2841666,4.0156016,0.1669716,-1.30431,1.6592155,-0.6069301,1.0355881
-1.8900394,3.0201278,-1.1890402,-1.5180991,-2.869278,-0.433231,0.064316586,-0.21115085
1.5628256,-1.7563508,-1.4019117,0.96625817,-3.0252578,-1.6627064,2.7697754,2.3497987
4.5114264,-3.4554737,-2.2735772,0.10853233,-1.4421518,1.7539853,-3.6635382,-1.0009634
-0.3024607,2.0935967,4.361389,1.3539888,3.0405278,-1.8893298,-1.496382,1.5762179
2.3200107,-1.3255688,0.16553308,-0.22012192,3.6096547,-0.49786985,-0.5194531,-0.47241247
2.677313,-0.93257236,-0.57978696,-2.4912732,-5.151756,0.29819274,-0.18855788,3.3414829
3.8424246,-2.07341,-3.5647616,-3.1763685,-1.0940381,0.39940023,-2.0740237,-2.6736343
-0.23710567,-1.5100768,1.2739171,-1.4781967,1.5395272,1.1600119,1.4600149,-1.1203893
-2.8003483,0.5418287,1.3297026,-0.28809905,0.714232,1.3775866,0.6471865,-2.0140078
2.7361574,0.7086622,3.452476,0.0675442,-4.375361,2.6736941,1.0349118,0.21513225
-0.52189094,-1.8025244,1.9960918,-0.78819555,-1.8932806,-0.89248794,0.7112378,-1.9890891
0.51625997,-0.7333455,-0.7886375,1.6326104,-4.354768,0.944766,2.455694,1.3796538
1.99852,-0.5453039,-3.6735508,-1.1452358,-3.0345266,0.94947594,-0.22826459,2.790164
-3.2094967,-3.1331875,-2.4252076,6.2015243,-2.113036,-0.9158639,-2.3639634,0.6519924
-1.6095276,0.7435451,0.77369267,-0.5571593,-0.4210518,1.3553135,0.90459704,2.957535
1.7146721,-2.9341571,-4.4205613,0.9662744,1.4478039,-0.3083912,-3.1241536,-0.13533401
-1.2429198,-2.4228046,-2.6894884,0.8470834,0.265733,-1.0344783,-1.2436094,-0.89374
