start_dates,end_dates,changes,errors,unit,author
2002.75,2003.75,-15.44,2.96,Gt,Box et al.
2003.75,2004.75,-17.7,3.62,Gt,Box et al.
2004.75,2005.75,-13.92,9.77,Gt,Box et al.
2005.75,2006.75,-11.6,4.17,Gt,Box et al.
2006.75,2007.75,-9.79,2.9,Gt,Box et al.
2007.75,2008.75,-12.82,2.79,Gt,Box et al.
2008.75,2009.75,-4.67,2.11,Gt,Box et al.
2009.75,2010.75,-36.82,6.23,Gt,Box et al.
2010.75,2011.75,-5.1,6.86,Gt,Box et al.
2011.75,2012.75,-8.19,4.36,Gt,Box et al.
2012.75,2013.75,-5.91,2.12,Gt,Box et al.
2013.75,2014.75,-12.5,4.79,Gt,Box et al.
2014.75,2015.75,10.29,1.48,Gt,Box et al.
