hour,demand_GW,wind_GW,gas_GW,nuclear_GW,storage_net_GW,shed_GW
0,113.2350308171282,13.768785027,8.04735656,2.4,0.55,88.4688898
1,101.60481038085517,13.566085253999997,8.04735656,2.4,0.5,77.09136970000002
2,86.30816927158142,12.734080978999996,8.04735656,2.4,0.75,62.37673257000001
3,80.52235697790461,12.870914055,8.04735656,2.4,0.2,57.004085599999996
4,90.16530637495836,13.192334292000002,8.04735656,2.4,0.25,66.27561569999999
5,109.38090701161747,14.635816339000002,8.04735656,2.4,0.0,84.2977335
6,124.98968566055656,14.429112597999998,8.04735656,2.4,0.0,100.11321659999999
7,126.51600307208969,14.790142023,8.04735656,2.4,0.0,101.27850377000001
8,114.15667664708235,14.063769980999998,8.04735656,2.4,0.0,89.64554940000002
9,98.62342379830467,13.560608664000002,8.04735656,2.4,0.0,74.6154576
10,92.9791398988091,13.259188064000002,8.04735656,2.4,0.0,69.2725955
11,102.68425987950309,14.015377514999999,8.04735656,2.4,0.0,78.2215262
12,121.43236935956641,14.203741034,8.04735656,2.4,0.0,96.78127160000001
13,135.94604648064197,15.358925889999998,8.04735656,2.4,0.0,110.13976459999999
14,136.081209903101,15.244862530000002,8.04735656,2.4,0.0,110.3889908
15,122.54612188226433,14.810282940999999,8.04735656,2.4,0.0,97.2884824
16,106.35749615029007,14.047369797000005,8.04735656,2.4,0.0,81.86276880000001
17,100.44787932489335,13.866434517,8.04735656,2.4,0.0,76.1340878
18,109.81482762275719,14.21593511,8.04735656,2.4,0.0,85.1515348
19,127.71273677207026,15.055355631000003,8.04735656,2.4,0.0,102.2100237189
20,140.7870447698484,15.636215120000005,8.04735656,2.4,0.0,114.7034737
21,139.241418137539,15.080795496999999,8.04735656,2.4,0.0,113.7132661
22,124.29619964579133,14.836384799999998,8.04735656,2.4,0.0,99.01245909999999
23,107.2589412642921,14.109226144,8.04735656,2.4,0.0,82.70235721
24,100.91475972337115,13.292487895999999,8.04735656,2.4,0.0,77.1749146
25,109.79226415792526,13.938608547000003,8.04735656,2.4,0.0,85.40629932999998
26,126.71698915249382,14.935537935000001,8.04735656,2.4,0.0,101.334095
27,138.27668711117025,14.989591958000004,8.04735656,2.4,0.0,112.8397395
28,135.0369591295157,15.227195284,8.04735656,2.4,0.0,109.3624075
29,118.72858895188865,14.130047335999997,8.04735656,2.4,0.0,94.15118529999998
30,100.93381604945927,13.82970955,8.04735656,2.4,0.0,76.65675059999998
