image,resolution,view,mean_gradient
demo1,112,global,20.37513851156528
demo1,112,crop,24.47985846560183
demo1,224,global,15.78760682412885
demo1,224,crop,17.68316803726834
demo1,336,global,13.121399010534406
demo1,336,crop,13.459610068721581
demo1,448,global,11.276236052013664
demo1,448,crop,10.727207488759774
demo2,112,global,34.55533421370484
demo2,112,crop,33.832361105803535
demo2,224,global,31.190364988691623
demo2,224,crop,31.999402822050914
demo2,336,global,28.675029304463425
demo2,336,crop,30.770919985053407
demo2,448,global,26.93297143154994
demo2,448,crop,30.02173084738298
method_case,112,global,27.019819242314917
method_case,112,crop,28.118296339742745
method_case,224,global,20.55963496621954
method_case,224,crop,24.35305312130862
method_case,336,global,17.677465191332814
method_case,336,crop,22.46101852248262
method_case,448,global,16.20897982582781
method_case,448,crop,20.791228295452715
