bus,total_demand_mwh,total_generation_mwh,total_load_shed_mwh
Bus1,109000.96938156913,1169.285732736032,0.0
Bus2,134075.88835947737,100970.67473975968,0.0
Bus3,103110.90861894267,418233.53419083206,0.0
Bus4,161906.33101969416,594788.9119897858,0.0
Bus5,118190.01476352112,771598.019462172,0.0
Bus6,1073528.9850515255,122083.81768947365,712026.0072512145
Bus7,932081.9058792505,88417.28306384268,640353.1695911749
Bus8,1016091.4261388935,344629.6991003855,595317.5953689925
Bus9,1026833.5846312102,83195.2052585585,661119.7168363943
Bus10,880933.3164678924,159212.58332868296,618668.3420770004
Bus11,1197336.52191467,140658.31261318902,911041.2436714827
Bus12,1118933.5543792015,92471.4070850913,889691.1725161073
Bus13,1185205.9732386814,75872.25402665505,872879.1752960868
Bus14,1167194.3876924277,345807.70985141327,792745.9104636561
Bus15,1047473.2714566295,135684.04763329471,773230.4212302371
Bus16,1178099.6915613206,137872.14855647943,1048735.8736093864
Bus17,842080.1768273339,139657.5651788173,813856.2690408608
Bus18,885420.2901273994,81979.90066091236,871517.4336418293
Bus19,824635.6428887291,105225.84406125668,786589.1328121228
Bus20,937573.1893637483,86348.91866280492,926533.7574415124
