hour,system_demand_mw,mean_wind_cf,load_shedding_mw
0,113235.03081712821,0.37402940921239913,88468.88925756379
1,101604.81038085517,0.35095975991815104,77291.36848182749
2,86308.16927158141,0.3546059730285424,62576.73170657517
3,80522.35697790461,0.33984521041698024,57204.086373134545
4,90165.30637495837,0.34407934165692255,66275.6155682414
5,109380.90701161747,0.39966370745381347,84297.73403608703
6,124989.68566055656,0.30551160875097266,100113.21651699286
7,126516.00307208969,0.3492033066130012,101278.50453380274
8,114156.67664708235,0.33837333345407583,89645.55008790868
9,98623.42379830468,0.3503003424129083,74615.45851446997
10,92979.1398988091,0.30052182348431955,69272.59523908739
11,102684.2598795031,0.34777447641540327,78221.52567636345
12,121432.36935956641,0.29224279341622783,96781.27174871595
13,135946.04648064196,0.35624102538918734,110139.7640399015
14,136081.209903101,0.34227397578030266,110388.99073982905
15,122546.12188226433,0.3608685436985283,97288.48242397382
16,106357.49615029007,0.3239658665656934,81862.76967914801
17,100447.87932489335,0.3468969941339794,76134.08822733641
18,109814.82762275719,0.32553709074078335,85151.53597802293
19,127712.73677207026,0.34800441530397686,102210.02458099448
20,140787.0447698484,0.3593163900203536,114703.47301753584
21,139241.418137539,0.29988559371433,113713.26605048415
22,124296.19964579133,0.3589699296037936,99012.4582111355
23,107258.94126429211,0.35374940216164097,82702.35851523367
24,100914.75972337114,0.2874196736992493,77174.91523041729
25,109792.26415792527,0.32939504232919814,85406.29898830924
26,126716.98915249383,0.37714506238958007,101334.09464973761
27,138276.68711117023,0.3235109271752699,112839.73852396675
28,135036.95912951572,0.3455850839571862,109362.4073148435
29,118728.58895188865,0.3152163868986025,94151.18499242551
30,100933.81604945927,0.3581893342942318,76656.74986468362
31,94271.85215084272,0.3522087530954564,70351.43908921615
32,102795.33945361416,0.3428651448428455,78727.49174966954
33,118910.26848501833,0.3524027921363127,94061.76451410561
34,129164.62931452514,0.3267117766269412,104108.03731745962
35,124498.03395960807,0.30726609155558193,99623.95328630744
36,107147.77093531284,0.34454306311784133,82518.40947076806
37,88952.68630676813,0.34489009056219333,65187.22598183568
38,82346.34665525361,0.3219190126883808,59188.245551219414
39,90897.631231448,0.33653705938197936,67294.33291953964
40,106601.50580198779,0.3855579127430075,82094.09004070956
41,115982.85213231116,0.2997422264753674,91684.77617640667
42,110365.58823440973,0.36246885471794565,85734.61508656677
43,92487.68307308482,0.3632778313972907,68559.38966088681
44,74425.06130097854,0.31993490753599885,51531.10078624152
45,68405.17651583963,0.34928323224267865,45222.65638348692
46,77505.14232967069,0.36376496869695785,54003.964575271355
47,93317.21351106753,0.3238153038770052,69714.67900158161
48,102359.1715221246,0.3392389995605777,78118.42954042107
49,96348.42516060165,0.3693686913206696,72108.70688440077
50,78516.64012689084,0.3414974123564567,55162.35512232789
51,61156.62351454551,0.3386150624892536,38390.988263411935
52,56269.327285917825,0.33069325067665456,33947.62432845096
53,66432.70145556775,0.3344035115639939,43560.11427918543
54,82845.20399878778,0.35755762203379304,59128.06156779011
55,92033.6861581989,0.39833183176369247,67711.5811014856
56,86117.94812314054,0.3696321511782536,62242.6792478596
57,68816.06177926637,0.3497275101126075,45713.57032349257
58,52617.72243935958,0.3631849086961145,29988.307843395727
59,49277.935345286154,0.29923359679556716,27212.77452057419
60,60869.52900018201,0.3494811527603052,38174.610058488135
61,78207.47610465092,0.33804660746588744,54914.13280987003
62,87844.79651734792,0.3943072457681354,63651.47552119574
63,82313.05079525964,0.3356782819944526,58571.601792773516
64,65809.8663629549,0.3258769187081718,42971.121206551536
65,51002.76627633094,0.29785184551641475,29001.522479354833
66,49383.00170011338,0.34125147688478696,27232.83778632951
67,62514.39617427728,0.3765304072624768,39655.048676969454
68,80840.71314971327,0.3457031979482468,57194.39014554143
69,90959.67878398545,0.3629703340362963,66936.8258500975
70,85824.92187058723,0.33002475581153823,62409.59110513928
71,70107.65485829388,0.34369973981603286,47040.50600771786
72,56635.50363631498,0.31903492324322197,34378.77398566576
73,56620.13790111875,0.3343233331742185,34247.70287326347
74,71114.83016513872,0.3321039557251267,48143.011462104725
75,90206.55415287826,0.3632689983341363,66244.69079757962
76,100557.82680782868,0.3271260972376939,76532.97466014672
77,95555.64859477608,0.33292329897356476,71660.31275869951
78,80339.74298166155,0.3326000861329531,57079.85127957789
79,67881.41898237847,0.36826756472990024,44927.10902171264
80,69098.82128232636,0.36315036392617756,46218.73394570688
81,84535.28396292054,0.3056798517861158,61258.6070343816
82,103937.29134829603,0.3607707268953672,79673.31983107352
83,114053.45174477737,0.346470185486428,89469.23397247138
84,108716.05971383513,0.32016588777815813,84492.72897729138
85,93528.76260335391,0.31509750310615303,70022.76686325738
86,81590.99056926268,0.33401449795170135,58358.8690154849
87,83514.80138557771,0.3503278085115121,60091.09113618748
88,99335.7908797986,0.3501094935438017,75184.9268624621
89,118477.49677507051,0.40870060419872106,93006.39933257282
90,127796.4484380248,0.3510367976465799,102445.86835581632
91,121582.06440183186,0.334737980362285,96580.24073090457
92,105897.09353348776,0.3603545924143027,81533.29973250427
93,93953.64653007101,0.3174700098484543,70171.1608489389
94,96045.74790747778,0.3285779489664392,72144.50926657827
95,111704.23495190933,0.358659448180337,86993.89014988729
96,130047.63779090693,0.3530964804109073,104562.7296793992
97,138061.90147690583,0.3445069624358818,112382.4377415416
98,130504.44865901557,0.3430674403597987,105013.26255072135
99,113891.23614488583,0.32404910697376443,89116.05464891013
100,101530.91737152977,0.31811865376886794,77422.2115160504
101,103387.33641723628,0.3373663530756864,79030.95108518525
102,118489.50562010828,0.2999568262042739,93732.28160171265
103,135668.45240185832,0.33320278273457193,110089.96939857843
104,142059.8827621259,0.3255870787317359,116282.80155418332
105,132898.38010933058,0.33529264374853207,107325.15656393902
106,115145.42415738238,0.3548193894301408,90196.40680262407
107,102188.70425681712,0.33555417016119754,77997.86410882806
108,103648.896408315,0.36936852431915723,79121.77841962616
109,118055.45606544595,0.3338786054997575,93203.28748183452
110,133968.38372878337,0.3182541977162358,108557.77360204022
111,138691.79150469476,0.3111363242943474,113227.83127007267
112,127944.3730277552,0.2974504324111733,102941.25322044716
113,109123.24847957573,0.3151300361755812,84749.55091807112
114,95675.93147498724,0.32617504528000374,71780.60768044215
115,96865.81793219053,0.3762085530582907,72630.49892578025
116,110724.16345752699,0.3277382687488696,86446.12752356009
117,125555.1840756704,0.36693126002883947,100416.04674890693
118,128848.19814809348,0.3614719690798319,103416.38885185815
119,116810.68653688178,0.3176875806879708,92286.62579272324
120,97263.35196354463,0.32504438237757227,73313.92560010792
121,83692.71428987774,0.3448913137662747,60355.267142140736
122,84989.80715061747,0.3495699470943699,61384.470360575826
123,98688.32676251653,0.36045397398725754,74500.8972000403
124,112850.94963468135,0.33948354100730144,88346.94859877166
125,115167.44877496787,0.35911284286320116,90432.5050464747
126,102336.86503184249,0.3497676400508899,78045.03784864566
127,82589.69784764646,0.35498742237398795,59169.176081462836
128,69429.56219455296,0.3456138111062212,46450.07823729752
129,71359.63267112595,0.3374788188950853,48491.20597791015
130,85416.5508632944,0.3453744448893674,61710.69640865711
131,99435.30706257217,0.31724559479612113,75342.23691276553
132,101320.4706143007,0.3550467980881201,77001.80107667089
133,88264.21046624168,0.3626622773288583,64422.34825626743
134,68892.06500471015,0.3393777660881266,45982.66649796536
135,56702.53622268753,0.297250220689536,34527.034775449865
136,59795.83986745346,0.31482002030721057,37514.27386688526
137,74712.7407283401,0.35423768045925963,51303.022465935945
138,89074.80974788018,0.3034636727683052,65624.25108423391
139,91015.66282535729,0.33943115238510946,67203.05317960402
140,78221.79973499007,0.33166928918165484,54836.81977847546
141,59698.93163280251,0.30649265620256216,37183.94363455641
142,48918.81301906227,0.3150639651775666,26734.16459760378
143,53564.85005496858,0.3472151303196688,31004.924568128852
144,69684.59771934318,0.321314309430598,46827.06317317036
145,84701.66794013423,0.34496389701168917,61207.24862368971
146,86993.63964775876,0.3378902105300602,63175.345157471296
147,74742.93040102781,0.3579296401228993,51339.46068288886
148,57321.191076417315,0.37031021299539224,34618.61207062007
149,48153.08393059395,0.3452708925774808,26018.761987654427
150,54493.270258090415,0.3063466812126705,32444.59391705408
151,71900.8519040033,0.3829923086788605,48529.37968325933
152,87618.67213695297,0.36573193851532215,63805.13958078494
153,90284.3439445648,0.3777939938153961,66236.96224191772
154,78578.62909424721,0.3353146731983393,55385.22010289004
155,62225.94137619687,0.3288586685415416,39766.413294254584
156,54585.170793725876,0.3357680756621834,32195.988993342544
157,62472.51827543611,0.3549603903476224,39688.330026100724
158,80965.69922625553,0.33868670974876547,57677.0831169056
159,97145.84969868607,0.3988811754682494,72585.27080064408
160,99927.92236730369,0.30141889861721705,76249.72853708579
161,88494.32528680332,0.3623117505753264,64822.75351951295
162,72910.10946770178,0.3997616612974376,49544.55405280159
163,66451.31678324127,0.34090346453625003,43637.40060244332
164,75488.0560063963,0.3788225645857727,52115.43083123544
165,94625.81105969734,0.3285640115205378,70896.42070275992
166,110804.64385184164,0.3268383318381878,86369.84935895143
167,113235.03081712824,0.37179834394851424,88577.31318984012
