hour,generator_id,bus,carrier,dispatch_mw,available_mw
0,0,Bus1,onshore wind,0.0,4831.263431403564
1,0,Bus1,onshore wind,0.0,5775.401141380678
2,0,Bus1,onshore wind,0.0,4613.75919553151
3,0,Bus1,onshore wind,0.0,5186.947923605674
4,0,Bus1,onshore wind,0.0,4526.219095827132
5,0,Bus1,onshore wind,0.0,4670.691908855983
6,0,Bus1,onshore wind,0.0,6882.868481901385
7,0,Bus1,onshore wind,0.0,7594.527386211387
8,0,Bus1,onshore wind,0.0,6294.925919860571
9,0,Bus1,onshore wind,0.0,7456.913355167526
10,0,Bus1,onshore wind,25.393893127683896,6857.3024532898135
11,0,Bus1,onshore wind,0.0,5847.718276013598
12,0,Bus1,onshore wind,0.0,6806.354809142618
13,0,Bus1,onshore wind,0.0,7891.1488705140555
14,0,Bus1,onshore wind,0.0,6183.547599102597
15,0,Bus1,onshore wind,0.0,7611.410180558311
16,0,Bus1,onshore wind,0.0,3219.447844789261
17,0,Bus1,onshore wind,0.0,6423.247857916523
18,0,Bus1,onshore wind,157.35394247868817,5425.6476294345175
19,0,Bus1,onshore wind,0.0,4757.890874037281
20,0,Bus1,onshore wind,0.0,4854.367330070008
21,0,Bus1,onshore wind,0.0,2474.809440355604
22,0,Bus1,onshore wind,0.0,3943.328749732343
23,0,Bus1,onshore wind,0.0,4228.3537555671965
24,0,Bus1,onshore wind,0.0,5071.589602090183
25,0,Bus1,onshore wind,0.0,2818.367781968455
26,0,Bus1,onshore wind,0.0,2297.385995911899
27,0,Bus1,onshore wind,0.0,2404.879872416899
28,0,Bus1,onshore wind,0.0,3658.8161828979037
29,0,Bus1,onshore wind,0.0,2948.651999074507
30,0,Bus1,onshore wind,0.0,2009.129344372072
31,0,Bus1,onshore wind,0.0,3015.478830393325
32,0,Bus1,onshore wind,0.0,2607.773138589689
33,0,Bus1,onshore wind,0.0,3532.795319496537
34,0,Bus1,onshore wind,0.0,1959.314115794526
35,0,Bus1,onshore wind,0.0,2472.4863837262587
36,0,Bus1,onshore wind,0.0,2585.2488240742227
37,0,Bus1,onshore wind,0.0,1725.471598439502
38,0,Bus1,onshore wind,0.0,3726.373382093189
39,0,Bus1,onshore wind,0.0,3956.757812640781
40,0,Bus1,onshore wind,0.0,3984.447515238557
41,0,Bus1,onshore wind,0.0,4040.1487045883973
42,0,Bus1,onshore wind,0.0,3159.859234550864
43,0,Bus1,onshore wind,0.0,4453.378131057806
44,0,Bus1,onshore wind,0.0,4821.647177852304
45,0,Bus1,onshore wind,0.0,4637.40399428951
46,0,Bus1,onshore wind,0.0,5532.47252939005
47,0,Bus1,onshore wind,0.0,6324.899777238458
48,0,Bus1,onshore wind,0.0,8002.005552999099
49,0,Bus1,onshore wind,0.0,6448.8407070648855
50,0,Bus1,onshore wind,0.0,6650.147244078459
51,0,Bus1,onshore wind,0.0,6393.700536146457
52,0,Bus1,onshore wind,0.0,4580.432587761632
53,0,Bus1,onshore wind,0.0,6458.552943683418
54,0,Bus1,onshore wind,0.0,6486.28529308935
55,0,Bus1,onshore wind,0.0,8786.744736752742
56,0,Bus1,onshore wind,0.0,5987.366795722531
57,0,Bus1,onshore wind,0.0,6299.528032773842
58,0,Bus1,onshore wind,0.0,5747.658248992924
59,0,Bus1,onshore wind,0.0,4369.091838514318
60,0,Bus1,onshore wind,0.0,6412.532548937864
61,0,Bus1,onshore wind,0.0,5736.182438586448
62,0,Bus1,onshore wind,0.0,5478.874001471159
63,0,Bus1,onshore wind,0.0,3477.8008593062996
