link_id,bus0,bus1,capacity_mw,max_abs_flow_mw,mean_abs_flow_mw,max_loading_pct,mean_loading_pct
1,Bus2,Bus3,5000,5000.0,3847.2032306743154,100.0,76.9440646134863
2,Bus3,Bus4,5000,5000.0,3539.1668426811916,100.0,70.78333685362384
3,Bus4,Bus5,5000,5000.0,2476.09952270312,100.0,49.5219904540624
5,Bus7,Bus8,5000,5000.0,2579.216355584164,100.0,51.58432711168328
4,Bus6,Bus7,5000,5000.0,2419.2655046200434,100.0,48.38531009240087
6,Bus8,Bus9,5000,5000.0,2327.320599820141,100.0,46.546411996402824
7,Bus9,Bus10,5000,5000.0,2586.0685011062187,100.0,51.721370022124376
22,Bus5,Bus10,1500,1500.0,1500.0,100.0,100.0
8,Bus10,Bus11,5000,5000.0,3135.414208870896,100.0,62.708284177417916
9,Bus11,Bus12,5000,5000.0,2900.125802643651,100.0,58.00251605287301
10,Bus12,Bus13,5000,5000.0,2748.8663402639063,100.0,54.977326805278125
11,Bus13,Bus14,5000,5000.0,3261.4113704724227,100.0,65.22822740944845
12,Bus14,Bus15,5000,5000.0,3398.781735012847,100.0,67.97563470025695
13,Bus15,Bus16,5000,5000.0,2740.9353353532197,100.0,54.818706707064386
18,Bus1,Bus6,1500,1500.0,1500.0,100.0,100.0
20,Bus3,Bus8,1500,1500.0,1500.0,100.0,100.0
21,Bus4,Bus9,1500,1500.0,1500.0,100.0,100.0
19,Bus2,Bus7,1500,1500.0,1500.0,100.0,100.0
16,Bus18,Bus19,5000,4906.913379177333,1290.82885702662,98.13826758354666,25.8165771405324
17,Bus19,Bus20,5000,4494.312824002764,551.5778966554116,89.88625648005527,11.03155793310823
15,Bus17,Bus18,5000,4493.690976904234,1725.0460611883464,89.87381953808469,34.50092122376693
14,Bus16,Bus17,5000,3783.055803561261,2367.4042899760593,75.66111607122522,47.348085799521186
0,Bus1,Bus2,5000,2574.3385043596713,2143.4017337498126,51.48677008719343,42.86803467499625
