start_dates,end_dates,changes,errors,unit,author
2002.75,2003.75,-9.31,33.45,Gt,Box et al.
2003.75,2004.75,19.41,7.49,Gt,Box et al.
2004.75,2005.75,-26.14,26.65,Gt,Box et al.
2005.75,2006.75,-9.39,19.93,Gt,Box et al.
2006.75,2007.75,-49.09,33.34,Gt,Box et al.
2007.75,2008.75,-59.09,19.0,Gt,Box et al.
2008.75,2009.75,-43.28,33.38,Gt,Box et al.
2009.75,2010.75,-33.69,35.61,Gt,Box et al.
2010.75,2011.75,-84.37,13.71,Gt,Box et al.
2011.75,2012.75,-76.31,19.67,Gt,Box et al.
2012.75,2013.75,9.85,20.96,Gt,Box et al.
2013.75,2014.75,-12.89,24.48,Gt,Box et al.
2014.75,2015.75,-56.24,16.48,Gt,Box et al.
