feature,positive_mean,negative_mean,mean_difference,cohen_d
4,0.45586064264300874,0.25757733574944186,0.19828330689356688,0.6255684140827545
3,0.45446800411859334,0.256888183671786,0.19757982044680733,0.6211674920459462
2,0.454702870612074,0.2578711461215117,0.1968317244905623,0.6207795749211137
1,0.4550248465943685,0.2588193600285612,0.19620548656580727,0.618291145695774
0,0.44869444114299406,0.25757349848656763,0.19112094265642643,0.60830711125607
7,0.5619768108614612,0.35996864005933127,0.20200817080212996,0.5326691435271771
5,0.562604751659614,0.3608925766838522,0.20171217497576177,0.5309447259847911
6,0.5601396474643465,0.36006882954430575,0.20007081792004078,0.5283652016022908
8,0.5576756021483682,0.3599425601647615,0.1977330419836067,0.5234181777235015
9,0.5573475770531205,0.3619379338262235,0.19540964322689702,0.5166407096248007
19,0.7674832140848091,0.549735813014669,0.21774740107014012,0.3827077913960474
11,0.7645096477372109,0.5475092501337486,0.21700039760346224,0.38178167738291086
18,0.7607460722045157,0.5451049369147579,0.2156411352897578,0.37868910761432956
17,0.7600185848067289,0.5470893904822356,0.2129291943244933,0.3765923137310062
14,0.7592768518759906,0.5477212353761988,0.21155561649979182,0.3716602106377109
16,0.7579206940312108,0.5498503850390819,0.20807030899212886,0.364433013767651
10,0.7548664898911036,0.5483878051895381,0.2064786847015655,0.3623504447566272
12,0.7540313327214953,0.5490378753919862,0.20499345732950902,0.3594547324894648
13,0.7509468435648032,0.5495997896977448,0.20134705386705842,0.3534388988519473
15,0.750679319642365,0.5496254184373552,0.20105390120500977,0.35314321739432675
