target_category,target_tg_K,acid,epoxide,tg_md_K,tg_calibrated_K,tg_uncertainty_K,tg_gp_revalidated,tg_gp_uncertainty,acid_MW,acid_LogP,acid_RotBonds,epx_MW,epx_LogP,epx_RotBonds,total_MW
Low Tg (~300 K),300.0,CCCN1C(=O)CCc2cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,C(CCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,362.5493,302.4113719630484,24.361660160603986,302.4113719630513,24.361660160604153,419.43400000000025,1.092300000000001,9.0,412.6550000000003,6.448900000000007,24.0,832.0890000000006
Low Tg (~300 K),300.0,O=C(O)CCCCCC(=O)C(=O)O,O=C(NCC(=O)N1CCN(Cc2cccc(OCC3CO3)c2)CC1)c1ncccc1OCC1CO1,401.3824,345.2187739868025,24.909112188981883,345.21877398680056,24.90911218898217,188.179,0.6752000000000002,7.0,482.5370000000003,0.7110000000000023,11.0,670.7160000000003
Low Tg (~300 K),300.0,O=C(O)CCCNC1CCC(C(=O)O)CC1,Cc1ccc(COCC2CO2)cc1NCCOCC1CO1,362.7172,294.6778174863124,26.079200560188937,294.6778174863097,26.079200560188738,229.27599999999995,1.0841999999999996,6.0,293.363,1.73772,10.0,522.6389999999999
Low Tg (~300 K),300.0,O=C(O)CCCC(=O)CCC(=O)O,COc1ccc(CN(CC2CO2)C(=O)CCCOCC2CO2)cc1,370.9719,278.89322698268853,24.430596943621,278.8932269826911,24.430596943621364,188.17899999999997,0.6752000000000002,7.0,335.40000000000003,1.6181999999999996,11.0,523.579
Low Tg (~300 K),300.0,CCCCN(CC(=O)O)CC(=O)O,Cc1cc(C(=O)NCCCCCOCC2CO2)cc(C(=O)NCCCCCOCC2CO2)c1,362.3223,275.0631477408349,25.93485043083432,275.0631477408372,25.934850430834274,189.21099999999998,0.25769999999999993,7.0,462.58700000000033,2.6260200000000005,18.0,651.7980000000003
Medium Tg (~380 K),380.0,COc1ccc(C(=O)O)c2c1CN(C(=O)CCC(=O)O)CC2,O=C(O)c1cc(OCC2CO2)c(C(=O)O)c(OCC2CO2)c1,472.5365,348.05913457261363,25.675800818335546,348.0591345726167,25.67580081833546,307.302,1.1428999999999998,5.0,310.258,0.6381999999999999,8.0,617.56
Medium Tg (~380 K),380.0,N#Cc1ccc(C2(C(=O)N(CCC(=O)O)CCC(=O)O)CC2)cc1,O=C(NCc1cc(OCC2CO2)nc2ccccc12)c1cc(OCC2CO2)c2ccccc2c1,435.034,411.348571848933,28.27231957518577,411.34857184893264,28.272319575185946,330.34000000000003,1.3678799999999995,8.0,456.4980000000003,3.8732000000000033,9.0,786.8380000000003
Medium Tg (~380 K),380.0,O=C(O)CCCCCC(=O)C(=O)O,O=C(NCC(=O)N1CCN(Cc2cccc(OCC3CO3)c2)CC1)c1ncccc1OCC1CO1,401.3824,345.2187739868025,24.909112188981883,345.21877398680056,24.90911218898217,188.179,0.6752000000000002,7.0,482.5370000000003,0.7110000000000023,11.0,670.7160000000003
Medium Tg (~380 K),380.0,COc1ccc(CN(Cc2ccccc2)C(COCC(=O)O)COCC(=O)O)c(OC)c1,O=C(NCc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cn1,394.1122,388.9129653994727,27.95957501324021,388.9129653994755,27.959575013240247,447.4840000000003,2.277,15.0,356.3780000000001,1.5668,9.0,803.8620000000004
Medium Tg (~380 K),380.0,CCCCCC(=O)NC(CC(=O)O)C(=O)O,Cc1ccc(C(=O)NCc2ccnc3ccccc23)c(OCC2CO2)c1OCC1CO1,469.7653,394.5829522257469,27.949540407144447,394.5829522257399,27.949540407144777,231.24799999999996,0.6107999999999998,8.0,420.4650000000004,3.0284200000000014,9.0,651.7130000000003
