threshold,precision,recall,f1
0.05,0.043,1.0,0.08245445829338446
0.1,0.043,1.0,0.08245445829338446
0.15,0.043,1.0,0.08245445829338446
0.2,0.043043043043043044,1.0,0.08253358925143954
0.25,0.03225806451612903,0.16279069767441862,0.05384615384615384
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.39999999999999997,0.0,0.0,0.0
0.44999999999999996,0.0,0.0,0.0
0.49999999999999994,0.0,0.0,0.0
0.5499999999999999,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
