precision,recall
0.2048,1.0
0.22227045799869763,1.0
0.22231871471993053,1.0
0.2223669923995657,1.0
0.22241529105125976,1.0
0.22246361068868128,1.0
0.22251195132551066,1.0
0.22256031297544013,1.0
0.22260869565217392,1.0
0.22265709936942812,1.0
0.22270552414093084,1.0
0.22275396998042202,1.0
0.2228024369016536,1.0
0.22285092491838956,1.0
0.22289943404440574,1.0
0.2229479642934901,1.0
0.2229965156794425,1.0
0.22304508821607494,1.0
0.22309368191721132,1.0
0.22314229679668773,1.0
0.22319093286835223,1.0
0.22323959014606495,1.0
0.22328826864369822,1.0
0.2233369683751363,1.0
0.22338568935427575,1.0
0.2234344315950251,1.0
0.2234831951113051,1.0
0.22353197991704868,1.0
0.22358078602620088,1.0
0.22362961345271892,1.0
0.2236784622105723,1.0
0.22372733231374262,1.0
0.22377622377622378,1.0
0.22382513661202186,1.0
0.22387407083515523,1.0
0.2239230264596545,1.0
0.22397200349956256,1.0
0.2240210019689346,1.0
0.22407002188183808,1.0
0.2241190632523528,1.0
0.22416812609457093,1.0
0.2242172104225969,1.0
0.22426631625054752,1.0
0.22431544359255204,1.0
0.22436459246275198,1.0
0.22441376287530135,1.0
0.2244629548443665,1.0
0.2245121683841263,1.0
0.22456140350877193,1.0
0.22461066023250714,1.0
0.22465993856954805,1.0
0.22470923853412333,1.0
0.2247585601404741,1.0
0.224807903402854,1.0
0.22485726833552921,1.0
0.2249066549527784,1.0
0.22495606326889278,1.0
0.22500549329817623,1.0
0.22505494505494505,1.0
0.22510441855352825,1.0
0.22515391380826738,1.0
0.2252034308335166,1.0
0.22525296964364278,1.0
0.2253025302530253,1.0
0.22535211267605634,1.0
0.22540171692714064,1.0
0.22545134302069572,1.0
0.22550099097115173,1.0
0.22555066079295155,1.0
0.22560035250055077,1.0
0.2256500661084178,1.0
0.22569980163103373,1.0
0.2257495590828924,1.0
0.22579933847850056,1.0
0.2258491398323776,1.0
0.2258989631590558,1.0
0.22594880847308033,1.0
0.22599867578900906,1.0
0.2260485651214128,1.0
0.22609847648487524,1.0
0.22614840989399293,1.0
0.22619836536337531,1.0
0.22624834290764473,1.0
0.22629834254143646,1.0
0.22634836427939875,1.0
0.2263984081361928,1.0
0.22644847412649272,1.0
0.22649856226498563,1.0
0.22654867256637168,1.0
0.22659880504536403,1.0
0.2266489597166888,1.0
0.22669913659508523,1.0
0.2267493356953056,1.0
0.22679955703211518,1.0
0.22684980062029242,1.0
0.22690006647462885,1.0
0.22695035460992907,1.0
0.22700066504101085,1.0
0.2270509977827051,1.0
0.22710135284985583,1.0
0.22715173025732033,1.0
0.22720213001996895,1.0
0.2272525521526853,1.0
0.22730299667036627,1.0
0.22735346358792186,1.0
0.22740395292027538,1.0
0.22745446468236338,1.0
0.22750499888913575,1.0
0.22755555555555557,1.0
0.22760613469659924,1.0
0.22765673632725655,1.0
0.22770736046253057,1.0
0.2277580071174377,1.0
0.2278086763070078,1.0
0.22785936804628393,1.0
0.22791008235032273,1.0
0.22796081923419412,1.0
0.22801157871298153,1.0
0.22806236080178174,1.0
0.22811316551570507,1.0
0.2281639928698752,1.0
0.22821484287942947,1.0
0.2282657155595185,1.0
0.22831661092530658,1.0
0.22836752899197146,1.0
0.22841846977470445,1.0
0.2284694332887104,1.0
0.22852041954920777,1.0
0.22857142857142856,1.0
0.22862246037061845,1.0
0.2286735149620366,1.0
0.228724592360956,1.0
0.2287756925826631,1.0
0.2288268156424581,1.0
0.2288779615556549,1.0
0.22892913033758105,1.0
