iteration,temperature,time,score
0.000000000000000000e+00,3.500000000000000000e+02,2.000000000000000000e+01,1.473013288183227631e+00
1.000000000000000000e+00,3.506302521008403232e+02,1.980672268907563094e+01,1.513803996526223106e+00
2.000000000000000000e+00,3.511974789915966539e+02,1.963277310924369701e+01,1.547694065362878568e+00
3.000000000000000000e+00,3.517079831932773004e+02,1.947621848739495931e+01,1.575717052821847819e+00
4.000000000000000000e+00,3.521674369747898936e+02,1.933531932773109219e+01,1.598798069883128115e+00
5.000000000000000000e+00,3.525809453781512275e+02,1.920851008403361249e+01,1.617747324611295001e+00
6.000000000000000000e+00,3.529531029411764393e+02,1.909438176470588289e+01,1.633262881154848634e+00
7.000000000000000000e+00,3.532880447478991073e+02,1.899166627731092660e+01,1.645938686983370980e+00
8.000000000000000000e+00,3.535894923739495539e+02,1.889922233865546275e+01,1.656275194616897650e+00
9.000000000000000000e+00,3.538607952373949388e+02,1.881602279386554599e+01,1.664690852777389374e+00
