node_mean,node_std,node_min,node_max,node_median,node_sq_mean,node_range,n_nodes,n_edges,avg_degree,relative_position
-1.000000000000000000e+00,7.071067811865475727e-01,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.500000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000000000e-01,7.071067811865475727e-01,-1.500000000000000000e+00,5.000000000000000000e-01,-5.000000000000000000e-01,7.500000000000000000e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.086956521739130405e-02
0.000000000000000000e+00,7.071067811865475727e-01,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.173913043478260809e-02
5.000000000000000000e-01,7.071067811865475727e-01,-5.000000000000000000e-01,1.500000000000000000e+00,5.000000000000000000e-01,7.500000000000000000e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.260869565217391214e-02
1.000000000000000000e+00,7.071067811865475727e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.347826086956521618e-02
6.400000000000000133e-01,1.318483977907960680e+00,-1.800000000000000044e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.148000000000000131e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,5.434782608695652023e-02
2.800000000000000266e-01,1.535447817413538862e+00,-1.800000000000000044e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.435999999999999943e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,6.521739130434782428e-02
-8.000000000000002942e-02,1.535447817413538862e+00,-1.800000000000000044e+00,2.000000000000000000e+00,-8.000000000000000444e-01,2.363999999999999879e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,7.608695652173913526e-02
-4.400000000000000577e-01,1.318483977907960680e+00,-1.800000000000000044e+00,2.000000000000000000e+00,-8.000000000000000444e-01,1.931999999999999940e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,8.695652173913043237e-02
-8.000000000000000444e-01,7.071067811865475727e-01,-1.800000000000000044e+00,2.000000000000000111e-01,-8.000000000000000444e-01,1.140000000000000124e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,9.782608695652174335e-02
-2.999999999999999334e-01,7.071067811865475727e-01,-1.300000000000000044e+00,6.999999999999999556e-01,-2.999999999999999889e-01,5.899999999999999689e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.086956521739130405e-01
1.999999999999999556e-01,7.071067811865475727e-01,-8.000000000000000444e-01,1.199999999999999956e+00,2.000000000000000111e-01,5.400000000000000355e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.195652173913043514e-01
6.999999999999999556e-01,7.071067811865475727e-01,-2.999999999999999889e-01,1.699999999999999956e+00,6.999999999999999556e-01,9.899999999999998801e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.304347826086956486e-01
1.199999999999999956e+00,7.071067811865475727e-01,2.000000000000000111e-01,2.200000000000000178e+00,1.199999999999999956e+00,1.939999999999999947e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.413043478260869457e-01
8.399999999999998579e-01,1.318483977907960680e+00,-1.600000000000000089e+00,2.200000000000000178e+00,1.199999999999999956e+00,2.443999999999999950e+00,3.800000000000000266e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.521739130434782705e-01
4.799999999999998712e-01,1.535447817413539084e+00,-1.600000000000000089e+00,2.200000000000000178e+00,1.199999999999999956e+00,2.588000000000000522e+00,3.800000000000000266e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.630434782608695676e-01
1.200000000000000372e-01,1.535447817413538862e+00,-1.600000000000000089e+00,2.200000000000000178e+00,-5.999999999999999778e-01,2.372000000000000330e+00,3.800000000000000266e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.739130434782608647e-01
-2.400000000000000466e-01,1.318483977907960902e+00,-1.600000000000000089e+00,2.200000000000000178e+00,-5.999999999999999778e-01,1.796000000000000041e+00,3.800000000000000266e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.847826086956521618e-01
-6.000000000000000888e-01,7.071067811865475727e-01,-1.600000000000000089e+00,4.000000000000000222e-01,-5.999999999999999778e-01,8.600000000000000977e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,1.956521739130434867e-01
-1.000000000000000611e-01,7.071067811865475727e-01,-1.100000000000000089e+00,9.000000000000000222e-01,-1.000000000000000056e-01,5.100000000000000089e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.065217391304347838e-01
4.000000000000000222e-01,7.071067811865475727e-01,-5.999999999999999778e-01,1.399999999999999911e+00,4.000000000000000222e-01,6.599999999999999201e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.173913043478260809e-01
9.000000000000000222e-01,7.071067811865475727e-01,-1.000000000000000056e-01,1.899999999999999911e+00,9.000000000000000222e-01,1.310000000000000053e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.282608695652173780e-01
1.399999999999999911e+00,7.071067811865474617e-01,4.000000000000000222e-01,2.399999999999999911e+00,1.399999999999999911e+00,2.459999999999999964e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.391304347826087029e-01
1.039999999999999813e+00,1.318483977907960680e+00,-1.399999999999999911e+00,2.399999999999999911e+00,1.399999999999999911e+00,2.819999999999999396e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.500000000000000000e-01
6.799999999999998268e-01,1.535447817413538640e+00,-1.399999999999999911e+00,2.399999999999999911e+00,1.399999999999999911e+00,2.819999999999999396e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.608695652173912971e-01
3.200000000000000067e-01,1.535447817413538862e+00,-1.399999999999999911e+00,2.399999999999999911e+00,-4.000000000000000222e-01,2.459999999999999964e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.717391304347825942e-01
-4.000000000000000777e-02,1.318483977907960680e+00,-1.399999999999999911e+00,2.399999999999999911e+00,-4.000000000000000222e-01,1.739999999999999769e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.826086956521738913e-01
-3.999999999999999112e-01,7.071067811865475727e-01,-1.399999999999999911e+00,5.999999999999999778e-01,-4.000000000000000222e-01,6.599999999999999201e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,2.934782608695652439e-01
1.000000000000000194e-01,7.071067811865475727e-01,-9.000000000000000222e-01,1.100000000000000089e+00,1.000000000000000056e-01,5.100000000000000089e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.043478260869565410e-01
5.999999999999999778e-01,7.071067811865475727e-01,-4.000000000000000222e-01,1.600000000000000089e+00,5.999999999999999778e-01,8.600000000000000977e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.152173913043478382e-01
1.100000000000000089e+00,7.071067811865475727e-01,1.000000000000000056e-01,2.100000000000000089e+00,1.100000000000000089e+00,1.710000000000000187e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.260869565217391353e-01
1.600000000000000089e+00,7.071067811865475727e-01,5.999999999999999778e-01,2.600000000000000089e+00,1.600000000000000089e+00,3.060000000000000053e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.369565217391304324e-01
1.239999999999999991e+00,1.318483977907960680e+00,-1.199999999999999956e+00,2.600000000000000089e+00,1.600000000000000089e+00,3.276000000000000689e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.478260869565217295e-01
8.800000000000001155e-01,1.535447817413538862e+00,-1.199999999999999956e+00,2.600000000000000089e+00,1.600000000000000089e+00,3.132000000000000117e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.586956521739130266e-01
5.199999999999999067e-01,1.535447817413538862e+00,-1.199999999999999956e+00,2.600000000000000089e+00,-2.000000000000000111e-01,2.628000000000000114e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.695652173913043237e-01
1.600000000000000588e-01,1.318483977907960680e+00,-1.199999999999999956e+00,2.600000000000000089e+00,-2.000000000000000111e-01,1.764000000000000012e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.804347826086956763e-01
-2.000000000000000111e-01,7.071067811865475727e-01,-1.199999999999999956e+00,8.000000000000000444e-01,-2.000000000000000111e-01,5.400000000000000355e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.913043478260869734e-01
3.000000000000000444e-01,7.071067811865475727e-01,-6.999999999999999556e-01,1.300000000000000044e+00,2.999999999999999889e-01,5.900000000000000799e-01,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.021739130434782705e-01
8.000000000000000444e-01,7.071067811865475727e-01,-2.000000000000000111e-01,1.800000000000000044e+00,8.000000000000000444e-01,1.140000000000000124e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.130434782608695676e-01
1.300000000000000044e+00,7.071067811865474617e-01,2.999999999999999889e-01,2.299999999999999822e+00,1.300000000000000044e+00,2.189999999999999947e+00,1.999999999999999778e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.239130434782608647e-01
1.800000000000000044e+00,7.071067811865474617e-01,8.000000000000000444e-01,2.799999999999999822e+00,1.800000000000000044e+00,3.739999999999999769e+00,1.999999999999999778e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.347826086956521618e-01
1.439999999999999947e+00,1.318483977907960680e+00,-1.000000000000000000e+00,2.799999999999999822e+00,1.800000000000000044e+00,3.811999999999999833e+00,3.799999999999999822e+00,5.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,4.456521739130434590e-01
