model,sample_index,sigma,noise_bin,protein_rmsd,ligand_rmsd
identity,0,2.086475372314453,high,3.6645878985031297,3.3206671989187972
identity,1,1.5736868381500244,mid,2.732303646691895,2.662652018122443
identity,2,0.3618653416633606,low,0.629445318058382,0.652173770465537
identity,3,0.8130686283111572,low,1.446399232091807,1.4421893708764815
identity,4,0.5391501188278198,low,0.973902688936725,0.8916285857207409
identity,5,2.079097270965576,high,3.7316020908782304,3.433295661587328
identity,6,0.8243619203567505,low,1.4539722315118755,1.4617715277794505
identity,7,0.8587512373924255,low,1.5134609930577987,1.4863250612583823
identity,8,1.3797450065612793,mid,2.343289068279259,2.264838530256968
identity,9,1.1537071466445923,mid,2.0160707701648715,1.8792150820179474
identity,10,0.9299632906913757,mid,1.6031072276032523,1.6550289990698026
identity,11,1.8994446992874146,high,3.1578074977839585,3.139381138395689
identity,12,1.8211827278137207,high,3.0719199140531734,2.9161591135194906
identity,13,1.7476719617843628,high,3.0441937674424477,2.8500556087052367
identity,14,1.9946540594100952,high,3.493830779614797,3.115393675938049
identity,15,2.0415561199188232,high,3.694146703479589,3.4007498351651173
identity-free,0,2.086475372314453,high,2.109010198692319,1.6721045839685835
identity-free,1,1.5736868381500244,mid,1.8936170740201042,1.4509659741262468
identity-free,2,0.3618653416633606,low,1.4506899496693861,1.1492285271364253
identity-free,3,0.8130686283111572,low,1.5943447750903141,1.1486371332066023
identity-free,4,0.5391501188278198,low,1.4896696588854839,1.2083412773421667
identity-free,5,2.079097270965576,high,2.2177908521991845,1.7141660760157584
identity-free,6,0.8243619203567505,low,1.652735525037157,1.3468663212805523
identity-free,7,0.8587512373924255,low,1.536881775687527,1.2132101550293435
identity-free,8,1.3797450065612793,mid,1.820368855228446,1.3390475485053714
identity-free,9,1.1537071466445923,mid,1.6294766000195038,1.306113346489179
identity-free,10,0.9299632906913757,mid,1.5877114859340187,1.4869408344274353
identity-free,11,1.8994446992874146,high,2.031224714550354,1.3753439657763864
identity-free,12,1.8211827278137207,high,2.0077241907812713,1.6348539349425308
identity-free,13,1.7476719617843628,high,2.031985335455011,1.4854211940697806
identity-free,14,1.9946540594100952,high,2.026711520264785,1.216322108429262
identity-free,15,2.0415561199188232,high,2.23501636150517,1.8779668616401906
cross-modal,0,2.086475372314453,high,2.106204906309157,1.4794853417389686
cross-modal,1,1.5736868381500244,mid,1.728764141179499,1.2286542223832748
cross-modal,2,0.3618653416633606,low,0.9531793012993212,0.8350921299123094
cross-modal,3,0.8130686283111572,low,1.20461195998686,0.9700381055969167
cross-modal,4,0.5391501188278198,low,1.0429572357366022,0.8482890589371749
cross-modal,5,2.079097270965576,high,2.182865853090132,1.4404732076728088
cross-modal,6,0.8243619203567505,low,1.2259679313180238,0.9496420469287303
cross-modal,7,0.8587512373924255,low,1.3001942448514499,0.8564401887185746
cross-modal,8,1.3797450065612793,mid,1.573193088342238,1.0849555481345987
cross-modal,9,1.1537071466445923,mid,1.274676973221504,0.9946464343758693
cross-modal,10,0.9299632906913757,mid,1.2715600390250588,1.1546069097527556
cross-modal,11,1.8994446992874146,high,1.8976119963908713,1.3212125200619396
cross-modal,12,1.8211827278137207,high,1.8310071363623073,1.6464112115038336
cross-modal,13,1.7476719617843628,high,1.8372088702410265,1.2799843169055527
cross-modal,14,1.9946540594100952,high,1.902616147466914,1.2989542739332485
cross-modal,15,2.0415561199188232,high,2.1784673156432546,1.6563243553518996
