average_precision,f1,precision,recall,positive_rate,roc_auc,target,model,fold
0.0,0.0,0.0,0.0,0.0,,Attack,dummy_prior,0
0.6772334293948127,0.0,0.0,0.0,0.6772334293948127,0.5,Attack,dummy_prior,1
0.515850144092219,0.0,0.0,0.0,0.515850144092219,0.5,Attack,dummy_prior,2
0.3659942363112392,0.0,0.0,0.0,0.3659942363112392,0.5,Attack,dummy_prior,3
0.13142857142857142,0.0,0.0,0.0,0.13142857142857142,0.5,Attack,dummy_prior,4
0.0,0.0,0.0,0.0,0.0,,Attack,logreg_balanced,0
0.7027883267623248,0.7155172413793104,0.7248908296943232,0.7063829787234043,0.6772334293948127,0.5662234042553191,Attack,logreg_balanced,1
0.40928259113488696,0.20080321285140562,0.35714285714285715,0.13966480446927373,0.515850144092219,0.27337722798616654,Attack,logreg_balanced,2
0.6537987674183207,0.5700934579439252,0.7011494252873564,0.48031496062992124,0.3659942363112392,0.7362562634216177,Attack,logreg_balanced,3
0.16228817662209163,0.33,0.21428571428571427,0.717391304347826,0.13142857142857142,0.6480263157894737,Attack,logreg_balanced,4
0.0,0.0,0.0,0.0,0.0,,Attack,random_forest,0
0.7201553079205961,0.0,0.0,0.0,0.6772334293948127,0.5211816109422491,Attack,random_forest,1
0.40872965435880093,0.12686567164179105,0.19101123595505617,0.09497206703910614,0.515850144092219,0.3516560255387071,Attack,random_forest,2
0.6771503237741816,0.6953405017921147,0.6381578947368421,0.7637795275590551,0.3659942363112392,0.7853614889047961,Attack,random_forest,3
0.16135268289879445,0.423963133640553,0.26900584795321636,1.0,0.13142857142857142,0.6266447368421053,Attack,random_forest,4
0.05187319884726225,0.0,0.0,0.0,0.05187319884726225,0.5,Sniffing,dummy_prior,0
0.15561959654178675,0.0,0.0,0.0,0.15561959654178675,0.5,Sniffing,dummy_prior,1
0.2737752161383285,0.0,0.0,0.0,0.2737752161383285,0.5,Sniffing,dummy_prior,2
0.0,0.0,0.0,0.0,0.0,,Sniffing,dummy_prior,3
0.18571428571428572,0.0,0.0,0.0,0.18571428571428572,0.5,Sniffing,dummy_prior,4
0.17453655145668065,0.09863013698630137,0.05187319884726225,1.0,0.05187319884726225,0.8257345491388044,Sniffing,logreg_balanced,0
0.15254178465753482,0.09333333333333334,0.07291666666666667,0.12962962962962962,0.15561959654178675,0.5093540639615725,Sniffing,logreg_balanced,1
0.18050542556837343,0.0,0.0,0.0,0.2737752161383285,0.235421888053467,Sniffing,logreg_balanced,2
0.0,0.0,0.0,0.0,0.0,,Sniffing,logreg_balanced,3
0.11192712536347894,0.0,0.0,0.0,0.18571428571428572,0.16939271255060726,Sniffing,logreg_balanced,4
0.4901040635244885,0.2,1.0,0.1111111111111111,0.05187319884726225,0.8770685579196217,Sniffing,random_forest,0
0.2774698308132381,0.4126984126984127,0.3611111111111111,0.48148148148148145,0.15561959654178675,0.630704082922513,Sniffing,random_forest,1
0.16495174014232775,0.0,0.0,0.0,0.2737752161383285,0.1198203842940685,Sniffing,random_forest,2
0.0,0.0,0.0,0.0,0.0,,Sniffing,random_forest,3
0.3706749347625288,0.0,0.0,0.0,0.18571428571428572,0.7397031039136303,Sniffing,random_forest,4
