,n_rows,n_cols,n_missing,frac_missing,year_min,year_max,month_min,month_max,day_min,day_max,hour_min,hour_max,Electricity [kW]_min,Electricity [kW]_max,Heat [mmBTU]_min,Heat [mmBTU]_max,Cooling Energy [Ton]_min,Cooling Energy [Ton]_max,PV Power Generation [kW]_min,PV Power Generation [kW]_max,Greenhouse Gas Emission [Ton]_min,Greenhouse Gas Emission [Ton]_max,Temperature [°F]_min,Temperature [°F]_max,Dew Point [°F]_min,Dew Point [°F]_max,Humidity [%]_min,Humidity [%]_max,Wind Speed [mph]_min,Wind Speed [mph]_max,Wind Gust [mph]_min,Wind Gust [mph]_max,Pressure [in]_min,Pressure [in]_max,Precipitation [in]_min,Precipitation [in]_max
BN001,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,24.062064419019244,80.27959210349414,0.2444178054183048,19.88671206519433,3.410272421940705,39.43030981137966,0.0,11.034878855815666,16.08731179709554,49.48214731236883,,,,,,,,,,,,,,
BN002,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,26.8096260266747,80.52551503715893,2.4916518302765605,20.797298507784408,4.64432640672394,42.3185646373883,0.0,10.271732258780126,17.65949667011926,50.388138785296185,,,,,,,,,,,,,,
BN003,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,30.00670304919887,82.81470831013894,4.465354135199229,22.32270253011072,7.193959903265137,43.007354888732586,0.0,11.04077534362584,21.48307327081749,49.22485513608963,,,,,,,,,,,,,,
BN004,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,31.00241236075219,84.9850057635353,4.818728857399718,22.801752114197555,8.151241747402448,44.36367517582549,0.0,12.29939508500568,22.48989117240944,49.14692731768269,,,,,,,,,,,,,,
BN005,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,31.841969441571933,87.06515864609901,5.896498993245107,23.76216240079473,9.356239768223563,45.897827033894266,0.0,12.7701014658839,18.964425415396125,54.86294936567612,,,,,,,,,,,,,,
BN006,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,34.69045951812957,90.30289435522236,5.4560126445747335,25.050082200442663,10.85066760169136,46.92787914919211,0.0,13.39137492378552,28.650616851139148,50.44511602555245,,,,,,,,,,,,,,
BN007,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,35.5306766957758,90.48395285696392,8.080390793035072,26.366498694682264,12.806107706239384,49.15232036569629,0.0,13.200464370709728,25.931282138753804,55.11571637231566,,,,,,,,,,,,,,
BN008,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,39.895182847992665,92.671884293349,9.120397244350666,26.744797125892894,12.711347433340716,49.38967034647015,0.0,13.762329546819087,25.64063831019801,58.76909112711531,,,,,,,,,,,,,,
BN009,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,40.60928061463419,96.30704842288549,9.75054477572328,28.65097760578828,15.034236269313212,52.15068408757151,0.0,14.832720810868128,31.93004792018025,54.91059230868804,,,,,,,,,,,,,,
BN010,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,39.08803994953183,95.96763786465472,11.000584383441854,29.15920886965828,15.57090108019332,53.187280094149685,0.0,12.130554818641498,30.06080303621944,58.66392943112483,,,,,,,,,,,,,,
CN01,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,494.85523176199706,719.9462950473616,125.92659532092156,187.13196227878103,236.4260274332009,330.8059650061211,0.0,86.72296869916829,312.24025628744056,460.9347694841688,,,,,,,,,,,,,,
Total,8760,9,0,0.0,2014.0,2014.0,1.0,12.0,1.0,31.0,0.0,23.0,494.85523176199706,719.9462950473616,125.92659532092156,187.13196227878103,236.4260274332009,330.8059650061211,0.0,86.72296869916829,312.24025628744056,460.9347694841688,,,,,,,,,,,,,,
Weather,8760,7,0,0.0,,,,,,,,,,,,,,,,,,,48.00040592578927,103.47210558119411,33.15102723608064,96.052920342757,33.33806491728346,100.0,3.2913172883243837,12.549672384932885,4.889179636132738,20.94785045572698,29.6883168225418,30.14106892259067,0.0,0.1104960400871662
