Country,ISO3,centroid_lon,centroid_lat,tc_basin,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020,mangrove_area_ha_2020,service_population_benefit_2020,service_property_benefit_2020,tc_baseline_exposure,ssp245_slr_mean_mm_yr,ssp245_tc_regime_multiplier,ssp245_tc_shifted_exposure,ssp245_risk_index,ssp245_mangrove_area_risk_ha_equiv,ssp245_service_population_exposure,ssp245_service_property_exposure,ssp245_priority_score,ssp370_slr_mean_mm_yr,ssp370_tc_regime_multiplier,ssp370_tc_shifted_exposure,ssp370_risk_index,ssp370_mangrove_area_risk_ha_equiv,ssp370_service_population_exposure,ssp370_service_property_exposure,ssp370_priority_score,ssp585_slr_mean_mm_yr,ssp585_tc_regime_multiplier,ssp585_tc_shifted_exposure,ssp585_risk_index,ssp585_mangrove_area_risk_ha_equiv,ssp585_service_population_exposure,ssp585_service_property_exposure,ssp585_priority_score
Aruba,ABW,-69.968338,12.521109500000001,atlantic_east_pacific,43,0,0.0,0.0,0.0,43,0.0,0.0,1.4893079687972528,7.222222222222223,1.1,1.6382387656769781,0.41832022022671017,17.98776946974854,0.0,0.0,0.16733097148716036,8.344444444444445,1.18,1.7573834031807583,0.4266650206042655,18.346595885983415,0.0,0.0,0.17066889163818247,9.488888888888889,1.25,1.861634960996566,0.4389834508665813,18.876288387262996,0.0,0.0,0.1755962637431088
Angola,AGO,17.87388700000011,-11.202691499999986,other,51756,11775,41409776.0,6739.0,41700883.0,51756,6739.0,41700883.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005012730609701982,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.005012730609701982,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.005012730609701982
Anguilla,AIA,-63.068614999999994,18.2205545,atlantic_east_pacific,5,0,0.0,0.0,0.0,5,0.0,0.0,1.2855721188916949,6.177777777777778,1.1,1.4141293307808644,0.35829054132798477,1.791452706639924,0.0,0.0,0.14331649114038214,7.188888888888889,1.18,1.5169751002921998,0.3676905870340132,1.838452935170066,0.0,0.0,0.14707650942279352,8.3,1.25,1.6069651486146186,0.3831518923349676,1.915759461674838,0.0,0.0,0.15326103154317527
United Arab Emirates,ARE,53.982494,24.35874450000003,indian,7393,249755,570497070.0,111891.0,352075128.0,7393,111891.0,352075128.0,0.6243994307868397,5.322222222222223,1.03,0.6431314137104449,0.2877464748105496,2127.309688274393,32196.240813027205,101308376.95047303,0.13092381780358536,6.7444444444444445,1.07,0.6681073909419185,0.3166204954086943,2340.775322556477,35426.98385177422,111474201.44843946,0.14247342604284324,8.177777777777777,1.12,0.6993273624812605,0.3432526204137575,2537.666622718909,38406.87895071574,120850710.26850908,0.15312627604486853
Antigua and Barbuda,ATG,-61.77875099999997,17.357358500000004,atlantic_east_pacific,869,1050,37536879.0,452.0,13802800.0,869,452.0,13802800.0,1.3102274224418073,5.477777777777778,1.1,1.441250164685988,0.32450900930201354,281.9983290834498,146.67807220451013,4479132.953593832,0.13024948712232856,6.433333333333334,1.18,1.5460683584813326,0.33612154685999973,292.08962422133976,151.92693918071987,4639418.486999204,0.13489450214552304,7.544444444444444,1.25,1.6377842780522591,0.3551366210047201,308.6137236531018,160.52175269413348,4901879.75240395,0.14250053180341118
Australia,AUS,136.00455450000004,-32.40264050000002,west_pacific,988392,98148,5895729369.0,111606.0,5565606181.0,988392,111606.0,5565606181.0,0.0,4.966666666666667,0.98,0.0,0.24668874172185426,243825.17880794697,27531.943708609266,1372972385.7102647,0.31844639763951,6.155555555555556,0.95,0.0,0.26609029779058596,263001.52161383285,29697.273775216137,1480953806.087416,0.3262070200670027,6.9,0.92,0.0,0.2667525773195876,263656.11340206186,29771.188144329895,1484639793.1275773,0.32647193187860335
Benin,BEN,2.3158335,9.3076895,other,2970,70975,102402912.0,7469.0,6886351.0,2970,7469.0,6886351.0,0.0,6.355555555555556,1.0,0.0,0.31567328918322296,937.5496688741722,2357.763796909492,2173837.0706401765,0.1270602549381294,7.655555555555556,1.02,0.0,0.33093179634966374,982.8674351585013,2471.7295869356385,2278912.506724303,0.1331636578047057,8.777777777777777,1.03,0.0,0.3393470790378006,1007.8608247422677,2534.5833333333326,2336863.097079037,0.13652977087996043
Bangladesh,BGD,90.35633100000001,23.68499399999999,indian,531711,657059,1352366845.0,621358.0,1286290673.0,531711,621358.0,1286290673.0,0.19421701746659198,5.322222222222223,1.03,0.20004352799058975,0.27162654612798637,144426.82246825777,168777.32744899334,349390692.82363313,0.21269016390456058,6.455555555555556,1.07,0.20781220868925343,0.28685773843695883,152525.41496205382,178241.35063971186,368982433.42933375,0.21878264082814958,7.7666666666666675,1.12,0.21752305956258303,0.30868752264788213,164132.55135462806,191805.46169744275,397061881.25344706,0.2275145545125189
Bahrain,BHR,50.63777200000007,25.93041400000004,indian,58,0,0.0,0.0,0.0,58,0.0,0.0,0.4441053452253195,5.455555555555556,1.03,0.45742850558207915,0.2876129555291414,16.6815514206902,0.0,0.0,0.11504909539258866,6.855555555555556,1.07,0.4751927193910919,0.3141835293357557,18.222644701473833,0.0,0.0,0.1256773249152344,8.266666666666667,1.12,0.4973979866523579,0.3388635664383008,19.654086853421447,0.0,0.0,0.1355493397562524
Bahamas,BHS,-75.85819999999998,23.922220500000094,atlantic_east_pacific,145902,6953,358419473.0,2378.0,149169432.0,145902,2378.0,149169432.0,1.849126278554274,6.666666666666668,1.1,2.0340389064097013,0.4051259599906363,59108.687814553814,963.3895328577331,60432409.340257935,0.17610507555792354,7.377777777777777,1.18,2.1819690086940433,0.4008128701379223,58479.399378863134,953.1330051879792,59789028.176763624,0.17437983961683795,8.4,1.25,2.311407848192842,0.4143175268511992,60449.75580264367,985.2470788521517,61803510.148038134,0.1797817023021487
