start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-0.7383,0.2474,mwe,Huss et al.
1991.75,1992.75,0.6989,0.2494,mwe,Huss et al.
1992.75,1993.75,0.1074,0.2365,mwe,Huss et al.
1993.75,1994.75,-0.1741,0.1777,mwe,Huss et al.
1994.75,1995.75,-0.6069,0.2379,mwe,Huss et al.
1995.75,1996.75,0.3065,0.4651,mwe,Huss et al.
1996.75,1997.75,-0.018,0.3408,mwe,Huss et al.
1997.75,1998.75,-0.5058,0.1764,mwe,Huss et al.
1998.75,1999.75,-0.1648,0.3333,mwe,Huss et al.
1999.75,2000.75,-0.1834,0.1732,mwe,Huss et al.
2000.75,2001.75,-0.3436,0.1691,mwe,Huss et al.
2001.75,2002.75,-0.0386,0.2595,mwe,Huss et al.
2002.75,2003.75,0.2699,0.6619,mwe,Huss et al.
2003.75,2004.75,-0.4593,0.3159,mwe,Huss et al.
2004.75,2005.75,-0.7688,0.2171,mwe,Huss et al.
2005.75,2006.75,-0.0651,0.2184,mwe,Huss et al.
2006.75,2007.75,-0.627,0.2383,mwe,Huss et al.
2007.75,2008.75,-0.2954,0.2853,mwe,Huss et al.
2008.75,2009.75,-0.4359,0.2205,mwe,Huss et al.
2009.75,2010.75,-0.927,0.3999,mwe,Huss et al.
2010.75,2011.75,-1.2271,0.2483,mwe,Huss et al.
2011.75,2012.75,-0.559,0.1453,mwe,Huss et al.
2012.75,2013.75,-0.7652,0.331,mwe,Huss et al.
2013.75,2014.75,-0.1019,0.1818,mwe,Huss et al.
2014.75,2015.75,0.0911,0.2101,mwe,Huss et al.
2015.75,2016.75,-0.8477,0.215,mwe,Huss et al.
2016.75,2017.75,-0.303,0.1886,mwe,Huss et al.
2017.75,2018.75,0.3701,0.2345,mwe,Huss et al.
2018.75,2019.75,-0.9109,0.1099,mwe,Huss et al.
2019.75,2020.75,-0.7094,0.1953,mwe,Huss et al.
2020.75,2021.75,-0.9205,0.2241,mwe,Huss et al.
