start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-1.2811,0.2338,mwe,Huss et al.
1991.75,1992.75,0.7307,0.2742,mwe,Huss et al.
1992.75,1993.75,0.5317,0.1802,mwe,Huss et al.
1993.75,1994.75,-0.1199,0.2739,mwe,Huss et al.
1994.75,1995.75,-0.7591,0.1283,mwe,Huss et al.
1995.75,1996.75,-1.0289,0.1041,mwe,Huss et al.
1996.75,1997.75,-1.0867,0.1493,mwe,Huss et al.
1997.75,1998.75,-1.1985,0.1312,mwe,Huss et al.
1998.75,1999.75,-0.7751,0.1676,mwe,Huss et al.
1999.75,2000.75,-1.2459,0.215,mwe,Huss et al.
2000.75,2001.75,-0.8051,0.1844,mwe,Huss et al.
2001.75,2002.75,-0.7848,0.1668,mwe,Huss et al.
2002.75,2003.75,-1.1481,0.1435,mwe,Huss et al.
2003.75,2004.75,-1.2971,0.1292,mwe,Huss et al.
2004.75,2005.75,-1.4403,0.2151,mwe,Huss et al.
2005.75,2006.75,-1.0145,0.1752,mwe,Huss et al.
2006.75,2007.75,-0.7443,0.1791,mwe,Huss et al.
2007.75,2008.75,-0.9623,0.1392,mwe,Huss et al.
2008.75,2009.75,-0.4178,0.1171,mwe,Huss et al.
2009.75,2010.75,-2.6052,0.1587,mwe,Huss et al.
2010.75,2011.75,-0.4174,0.1807,mwe,Huss et al.
2011.75,2012.75,-0.9409,0.1368,mwe,Huss et al.
2012.75,2013.75,-0.5894,0.1139,mwe,Huss et al.
2013.75,2014.75,-0.8415,0.1195,mwe,Huss et al.
2014.75,2015.75,0.7107,0.1722,mwe,Huss et al.
2015.75,2016.75,-0.9735,0.0974,mwe,Huss et al.
2016.75,2017.75,-0.374,0.1466,mwe,Huss et al.
2017.75,2018.75,-0.1362,0.1863,mwe,Huss et al.
2018.75,2019.75,-1.2453,0.1353,mwe,Huss et al.
2019.75,2020.75,-0.4905,0.1071,mwe,Huss et al.
2020.75,2021.75,-1.3225,0.1469,mwe,Huss et al.
