feature,gini_importance,permutation_importance_mean,permutation_importance_std
Tail_end_2_x,0.1080831954602086,-0.00436401916841953,0.036864689014036514
Tail_base_2_x,0.06897371830723902,-0.0007657566971098539,0.026114311877304803
Tail_end_1_x,0.05504839912569547,0.004756436668655018,0.03523657659765779
Tail_end_2_y,0.054329268647280486,0.014167984983369025,0.02931898334533486
Feature_1,0.05102212450228893,-0.017788952192494035,0.01969253791505245
Unnamed: 0,0.05031189249780928,-0.017242701795998693,0.023864646413845402
Center_2_y,0.04902458563370336,0.007437520002481951,0.02898799168871566
Feature_2,0.04771987992378514,-0.017562560732611872,0.023424095254360098
Tail_base_1_x,0.03830025600742645,0.006593538461511001,0.025841968291894838
Lat_right_2_y,0.028578966911045424,0.007995214125920812,0.020730153997436107
Lat_left_2_y,0.026605772512432284,0.011302048929680186,0.029355455625357258
Center_1_x,0.02650572969144378,0.005273358628455016,0.019703446696516518
Lat_left_1_x,0.025275568369656568,0.004886648897553159,0.01971097270435397
Nose_2_y,0.02420686937116834,0.00402292902524507,0.02278703140982109
Lat_left_2_x,0.024037029947113795,0.0016291901916434316,0.017596647134499644
Lat_right_1_x,0.021184388377715756,0.0032143671806548146,0.017291703899244584
Ear_right_2_y,0.019931756883926146,-0.0008685657552187698,0.020540959653266275
Ear_right_1_x,0.01953848829589511,0.007014811017265044,0.01743882618218199
Center_2_x,0.018296526508061395,0.002686418419875297,0.013545136745955396
Ear_left_1_x,0.01782815224785259,0.004200409610869022,0.01439429436103639
Lat_right_2_x,0.017343990349744973,-0.002910224843693021,0.01898798235980563
Lat_left_1_y,0.014985272744041902,-0.005747862160411543,0.022622507965616784
Tail_base_1_y,0.014958885569038781,-0.004088456693494025,0.02361574485765257
Lat_right_1_y,0.014099572886968979,-0.012613596797729571,0.02321447738585726
Tail_end_1_y,0.013969859397763868,-0.010976244961048504,0.019195700631444275
Tail_base_2_y,0.013227518970895781,5.486848879603934e-05,0.015854182361929398
Center_1_y,0.013050787926802051,-0.008847686590478614,0.019260469636030855
Nose_1_y,0.012216145654532022,-0.0014455002615775259,0.015497787001497124
Nose_2_x,0.012076256053780278,0.008326253070103495,0.010685698251220946
Ear_left_2_y,0.012028327056320417,0.0038585692923138403,0.017949055918888866
Nose_1_x,0.01136303602557818,0.0023969512253790683,0.00900732676904138
Ear_left_1_y,0.011034212917052715,-0.0013693375049239009,0.01288260608967929
Ear_right_2_x,0.009956886464912386,0.008434754734944172,0.010200850343017513
Ear_right_1_y,0.009575673896055289,-0.010111373322926599,0.016964450544138622
Ear_left_2_x,0.009450684169696494,0.0036701473585401658,0.007799563503760969
Ear_right_2_p,0.00689615165842301,-0.007716238014289356,0.003267238848635025
Lat_right_1_p,0.005660417727635032,0.0031536252027850376,0.01227006939647205
Tail_base_2_p,0.0034305122940357802,0.003088232941403446,0.006228865013214372
Tail_end_1_p,0.0032929226525363836,0.013158081482212536,0.011926252770959598
Tail_end_2_p,0.0022511684026738712,-0.002953423341706979,0.0032313731495156933
Lat_left_1_p,0.0020172531365192474,0.002480918683531191,0.005295565161854427
Lat_left_2_p,0.001739080565411166,0.01620400070870348,0.004899806604574133
Ear_left_1_p,0.0017165925753884945,0.002058205071341329,0.0057341640181232225
Lat_right_2_p,0.0015884489621782515,0.00996616745865998,0.006122961319781513
Center_1_p,0.001334657050608746,0.0024437321849771045,0.004121219280817941
Tail_base_1_p,0.0012608592910340894,0.0007116009655617373,0.0043481998159560584
Center_2_p,0.0011514141996350473,0.0031341883575962902,0.0049075379402311065
Nose_2_p,0.00109431944697116,0.0001776365392955448,0.004234723790404256
Ear_right_1_p,0.0010257237829668635,-0.0037299994717491015,0.004469715566603258
Ear_left_2_p,0.0007098689106303767,0.0012189155852142751,0.0016023925051196868
Nose_1_p,0.0006909300384204985,-0.00281235438585718,0.002478349082225179
