feature,importance_mean,importance_std
4,0.10325190853920962,0.0
1,0.10049843828202713,0.0
3,0.09992747481159407,0.0
2,0.09191512005848852,0.0
0,0.0897964975752619,0.0
7,0.053242921345241466,0.0
8,0.05225281269164324,0.0
6,0.05195364006308306,0.0
5,0.051703262175018194,0.0
9,0.050342981243228474,0.0
19,0.026958454940359065,0.0
14,0.026583744721901146,0.0
11,0.026504419430070463,0.0
18,0.026356448332182144,0.0
17,0.02615955573606475,0.0
16,0.024801226460535723,0.0
13,0.024693829535636053,0.0
10,0.024682591126419774,0.0
15,0.02442395978516582,0.0
12,0.023950713146869442,0.0
