region,method,n_years,bias_gt,mae_gt,rmse_gt,corr_with_combined,mean_method_error_gt
alaska,altimetry,9,2.750702721870346,16.647031159270043,19.716664611008717,0.949420263521406,31.013577347234882
alaska,gravimetry,20,7.311637202733094,17.96168212148586,22.285448491936886,0.9468301495219582,17.91289118406109
alaska,demdiff_and_glaciological,24,-10.37948203536486,14.242802211411787,18.53076851851996,0.9623290384759181,19.503173911029783
antarctic_and_subantarctic,altimetry,20,8.962608005284352,18.95910440059088,24.205850018239122,0.7990788356642108,16.660472898649484
antarctic_and_subantarctic,demdiff_and_glaciological,23,-9.006909323692637,17.699514884828744,22.82071953693372,0.8497093491758261,22.439493629100223
arctic_canada_north,altimetry,21,4.171608635575861,6.11294732721728,7.8791742287665745,0.9740948194718037,8.867973259894278
arctic_canada_north,gravimetry,20,-1.9256428023240653,6.624942792168836,7.490813639540544,0.9715996046784829,5.6108474421882715
arctic_canada_north,demdiff_and_glaciological,24,-2.196380868678632,6.075390603225994,9.077516028202846,0.9619047391176667,11.994574814349454
arctic_canada_south,altimetry,21,3.6440848339430993,4.72426666764655,5.530132756897275,0.9727010457827335,6.71108858385959
arctic_canada_south,gravimetry,20,-0.5255113863926726,6.185810254732301,7.663431942533483,0.9231255751509893,7.702501321360525
arctic_canada_south,demdiff_and_glaciological,24,-3.095996767536242,6.618452586263868,8.006969327953874,0.8845803404556104,8.414676832725844
caucasus_middle_east,demdiff_and_glaciological,24,6.938893903907228e-18,7.170190367370803e-17,1.7444108782428046e-16,1.0,0.26540896899853617
central_asia,altimetry,21,0.8345210884052546,5.0116872394228205,8.19708521879753,0.897028631526215,8.032395354166326
central_asia,demdiff_and_glaciological,24,-0.8313854987753208,4.486405880915693,7.673009769121329,0.8698155377689206,5.402386495771797
central_europe,demdiff_and_glaciological,24,0.0,1.0177044392397268e-16,2.333229944976403e-16,1.0,0.41208072281738756
greenland_periphery,altimetry,21,4.503932109490125,16.712390240172002,18.399314683445734,0.8172151103682728,15.412345386299151
greenland_periphery,demdiff_and_glaciological,24,-4.5013861018308745,15.183786966177516,17.284547809249624,0.9653792085347588,22.85124840040052
iceland,altimetry,9,-0.040850356492848995,3.6455639747172444,4.142600173162921,0.891952299806373,2.9859861554301617
iceland,gravimetry,20,0.428878200698373,3.119923396847601,3.805441660269648,0.9453330010701685,2.798393439747307
iceland,demdiff_and_glaciological,24,-0.4890090339992034,2.8277106827381426,3.4151998688856167,0.9081561943714377,2.113623222243073
low_latitudes,demdiff_and_glaciological,24,5.102978225165108e-17,5.912515847287618e-17,1.2222313887071405e-16,1.0,0.6574648419394445
new_zealand,demdiff_and_glaciological,23,-3.27334777640841e-17,5.0834940122102957e-17,1.1309823280580368e-16,1.0,0.45459233490132633
north_asia,demdiff_and_glaciological,24,3.657375328517768e-17,3.657375328517768e-17,7.102133894908224e-17,1.0,0.6351043669668018
russian_arctic,altimetry,15,1.0818494789970332,3.023340345881038,4.600498302301052,0.9512504798372995,5.045878277490712
russian_arctic,gravimetry,20,-1.5059749122716577,6.565623681545647,7.727515273156612,0.9177547015632661,5.4973541631649905
russian_arctic,demdiff_and_glaciological,24,0.6159721548675037,5.105364097613218,6.4624263001281435,0.9214974056170255,5.808728324192067
scandinavia,demdiff_and_glaciological,24,-3.8163916471489756e-17,9.136210306811184e-17,2.0901318356788837e-16,1.0,0.44668422963758686
south_asia_east,altimetry,21,-0.052178081878245935,1.751157931747091,3.4129494544273324,0.907448657125467,2.4395514990226617
south_asia_east,demdiff_and_glaciological,24,0.051011252714256584,1.5376186213494953,3.1925578194273365,0.7844654408164858,2.6544053463699755
south_asia_west,altimetry,21,-0.10784823013883021,2.3577725108466168,3.4926604513799706,0.9579711055826813,6.500107483385536
south_asia_west,demdiff_and_glaciological,24,0.10682411717890794,2.0755078627982204,3.2672746763534994,0.9647584273001352,6.284439590698212
southern_andes,altimetry,9,3.3010125879037573,16.410842316941945,21.266786134214495,0.7923990658352321,14.474433739764581
southern_andes,gravimetry,20,-4.953803727913473,16.0134100967519,20.72098215078424,0.9267296979977504,28.017280098684957
southern_andes,demdiff_and_glaciological,23,1.5874295476570848,12.365419388235594,16.022141068673765,0.744036161767203,10.763892275762323
svalbard,altimetry,15,0.713321601630895,3.777552709489743,4.973015832324619,0.9229146911901555,5.4974365204210205
svalbard,gravimetry,20,-0.47830999630862026,2.8693977728953284,3.4044788629997518,0.9787140895531394,3.5216024393621788
svalbard,demdiff_and_glaciological,24,-0.28217009576498014,3.6545164571873854,4.7642963190219465,0.9311883278480692,3.5283576719349963
western_canada_us,altimetry,10,1.2830383270761616,1.2830383270761616,1.4484943694933963,0.9960187914170495,3.343559213888864
western_canada_us,demdiff_and_glaciological,24,-1.3284288774129036,1.3284288774129036,1.3984258317753084,0.9993613344967923,4.597457868625926
