file,region_folder,region,method_group_raw,author,unit,n_rows,start_min,end_max,method_group
data/glambie/input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,10_north_asia,north_asia,combined,Dussaillant et al.,mwe,25,1999.75,2024.75,combined
data/glambie/input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,10_north_asia,north_asia,combined,Huss et al.,mwe,31,1990.75,2021.75,combined
data/glambie/input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,10_north_asia,north_asia,demdiff,Hugonnet et al.,m,4,2000.0,2020.0,dem_differencing
data/glambie/input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,10_north_asia,north_asia,glaciological,Zemp et al.,mwe,301,1999.6666666666667,2024.75,glaciological
data/glambie/input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,10_north_asia,north_asia,glaciological,WGMS,mwe,25,1999.75,2024.75,glaciological
data/glambie/input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,10_north_asia,north_asia,gravimetry,Jacob et al.,Gt,1,2003.0,2010.9166666666667,gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,10_north_asia,north_asia,gravimetry,Sasgen et al.,Gt,248,2002.25,2022.9166666666667,gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,10_north_asia,north_asia,gravimetry,Wouters et al.,Gt,236,2002.1666666666667,2021.8333333333333,gravimetry
data/glambie/input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,11_central_europe,central_europe,combined,Dussaillant et al.,mwe,25,1999.75,2024.75,combined
data/glambie/input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,11_central_europe,central_europe,combined,Huss et al.,mwe,31,1990.75,2021.75,combined
data/glambie/input/11_central_europe/central_europe_demdiff_ETH_Hugonnet_et_al.csv,11_central_europe,central_europe,demdiff,Hugonnet et al.,m,4,2000.0,2020.0,dem_differencing
data/glambie/input/11_central_europe/central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,11_central_europe,central_europe,demdiff,Braun et al.,m,1,2000.1666666666667,2012.0833333333333,dem_differencing
data/glambie/input/11_central_europe/central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,11_central_europe,central_europe,glaciological,Zemp et al.,mwe,301,1999.6666666666667,2024.75,glaciological
data/glambie/input/11_central_europe/central_europe_glaciological_WGMS-beta_WGMS.csv,11_central_europe,central_europe,glaciological,WGMS,mwe,25,1999.75,2024.75,glaciological
data/glambie/input/11_central_europe/central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,11_central_europe,central_europe,gravimetry,Jacob et al.,Gt,1,2003.0,2010.9166666666667,gravimetry
data/glambie/input/11_central_europe/central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,11_central_europe,central_europe,gravimetry,Sasgen et al.,Gt,248,2002.25,2022.9166666666667,gravimetry
data/glambie/input/11_central_europe/central_europe_gravimetry_Wouters_Wouters_et_al.csv,11_central_europe,central_europe,gravimetry,Wouters et al.,Gt,236,2002.1666666666667,2021.8333333333333,gravimetry
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,combined,Dussaillant et al.,mwe,25,1999.75,2024.75,combined
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_Huss_Huss_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,combined,Huss et al.,mwe,31,1990.75,2021.75,combined
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,demdiff,Hugonnet et al.,m,4,2000.0,2020.0,dem_differencing
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,glaciological,Zemp et al.,mwe,301,1999.6666666666667,2024.75,glaciological
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,12_caucasus_middle_east,caucasus_middle_east,glaciological,WGMS,mwe,25,1999.75,2024.75,glaciological
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,gravimetry,Jacob et al.,Gt,1,2003.0,2010.9166666666667,gravimetry
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,12_caucasus_middle_east,caucasus_middle_east,gravimetry,Wouters et al.,Gt,236,2002.1666666666667,2021.8333333333333,gravimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,13_central_asia,central_asia,altimetry,Jakob et al.,m,100,2011.0,2019.3333333333333,altimetry
data/glambie/input/13_central_asia/central_asia_altimetry_Ke_Ke_et_al.csv,13_central_asia,central_asia,altimetry,Ke et al.,m,1,2000.0833333333333,2021.1666666666667,altimetry
