start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,source_file,cumulative_combined_gt,cumulative_combined_mwe
2000.0,2001.0,89847.1,alaska,45.88379869548132,50.97137265990765,0.5122242597518045,0.5889067195856142,1_alaska.csv,45.88379869548132,0.5122242597518045
2001.0,2002.0,89430.82,alaska,-27.10431231414758,45.315105856652586,-0.3039877071899747,0.5238527511556423,1_alaska.csv,18.779486381333736,0.20823655256182982
2002.0,2003.0,89014.54,alaska,-49.090521732004326,43.73940940981681,-0.5531482434367275,0.5050664792014296,1_alaska.csv,-30.31103535067059,-0.3449116908748977
2003.0,2004.0,88598.26,alaska,-60.38343349383753,32.762711072604006,-0.6835927576961328,0.3773014296801541,1_alaska.csv,-90.69446884450812,-1.0285044485710304
2004.0,2005.0,88181.98,alaska,-139.61243654977957,34.0179893706625,-1.587994895921324,0.3850590263517239,1_alaska.csv,-230.3069053942877,-2.6164993444923543
2005.0,2006.0,87765.7,alaska,-75.9364588983793,34.00214171122874,-0.8678214126892201,0.3907888797724588,1_alaska.csv,-306.243364292667,-3.4843207571815746
2006.0,2007.0,87349.42,alaska,-33.62467247388402,33.41346150038564,-0.3861027357016897,0.3859504506333436,1_alaska.csv,-339.86803676655103,-3.870423492883264
2007.0,2008.0,86933.14,alaska,-49.64964952566811,33.02440892276953,-0.5728430684278183,0.3808597452132063,1_alaska.csv,-389.51768629221914,-4.443266561311082
2008.0,2009.0,86516.86,alaska,36.92273833725146,32.58004055973452,0.4280534436504274,0.3761956743143984,1_alaska.csv,-352.59494795496767,-4.015213117660655
2009.0,2010.0,86100.58,alaska,-91.88170145027088,32.24465731114693,-1.0703548800508138,0.3691178034732737,1_alaska.csv,-444.47664940523856,-5.085567997711468
2010.0,2011.0,85684.3,alaska,-73.86920837996944,32.343385894189225,-0.8647031349786927,0.3716170832318943,1_alaska.csv,-518.345857785208,-5.950271132690162
2011.0,2012.0,85268.02,alaska,-45.5027751725263,29.157521312501565,-0.5352498422655079,0.3361901459132969,1_alaska.csv,-563.8486329577343,-6.485520974955669
2012.0,2013.0,84851.74,alaska,55.42475171089546,30.148080936014395,0.6551607107852443,0.3471983372878921,1_alaska.csv,-508.42388124683885,-5.830360264170425
2013.0,2014.0,84435.46,alaska,-119.81656842938212,29.00415627332505,-1.4233012969736627,0.3282110128846671,1_alaska.csv,-628.2404496762209,-7.253661561144088
2014.0,2015.0,84019.18,alaska,-96.90050239940116,28.81743768287512,-1.1567844227390354,0.3285408285541129,1_alaska.csv,-725.1409520756221,-8.410445983883124
2015.0,2016.0,83602.9,alaska,-73.32394274102282,28.97833324745177,-0.879689298701769,0.3324529143498325,1_alaska.csv,-798.4648948166449,-9.290135282584892
2016.0,2017.0,83186.62,alaska,-92.27650551738216,30.48923159059384,-1.112608830860618,0.3485592328227158,1_alaska.csv,-890.741400334027,-10.402744113445511
2017.0,2018.0,82770.34,alaska,-83.06911803362412,27.636962973575063,-1.0066296122427711,0.3160022218517191,1_alaska.csv,-973.8105183676512,-11.409373725688281
2018.0,2019.0,82354.06,alaska,-108.99297703385028,28.924411356939945,-1.3274505209993352,0.3285311496484349,1_alaska.csv,-1082.8034954015016,-12.736824246687616
2019.0,2020.0,81937.78,alaska,-144.96724967946653,31.31208913455925,-1.7745594286255435,0.3523003152746206,1_alaska.csv,-1227.770745080968,-14.51138367531316
2020.0,2021.0,81521.5,alaska,-49.20877235678205,34.77656659343751,-0.6054457153688091,0.4011968972178538,1_alaska.csv,-1276.97951743775,-15.11682939068197
2021.0,2022.0,81105.22,alaska,-31.22685347401838,34.534193732586914,-0.3861750935609784,0.3989932363358637,1_alaska.csv,-1308.2063709117685,-15.503004484242947
2022.0,2023.0,80688.94,alaska,-64.91355586052026,36.826519796080056,-0.8069121060215241,0.424255912990561,1_alaska.csv,-1373.1199267722886,-16.30991659026447
2023.0,2024.0,80272.66,alaska,-100.73996979950844,54.88197386901296,-1.2587486087641648,0.632052865019273,1_alaska.csv,-1473.8598965717972,-17.568665199028636
2000.0,2001.0,127665.25695,antarctic_and_subantarctic,-18.995791012237024,55.08026072784176,-0.1492414640992307,0.4157374254838302,19_antarctic_and_subantarctic.csv,-18.995791012237024,-0.1492414640992307
2001.0,2002.0,127306.51605,antarctic_and_subantarctic,-31.12965808605476,53.47723243260334,-0.2452610364264661,0.4035270065256567,19_antarctic_and_subantarctic.csv,-50.12544909829178,-0.3945025005256968
2002.0,2003.0,126947.77515,antarctic_and_subantarctic,-16.125234566354507,54.28703506190431,-0.1274047994519427,0.409766011449231,19_antarctic_and_subantarctic.csv,-66.25068366464629,-0.5219072999776395
2003.0,2004.0,126589.03425,antarctic_and_subantarctic,-29.725715486761946,38.141852438751904,-0.2355272014382316,0.287713020149573,19_antarctic_and_subantarctic.csv,-95.97639915140823,-0.7574345014158711
2004.0,2005.0,126230.29335,antarctic_and_subantarctic,10.490007275767162,37.79291875859271,0.0833521947268958,0.2852701420831864,19_antarctic_and_subantarctic.csv,-85.48639187564108,-0.6740823066889753
2005.0,2006.0,125871.55245,antarctic_and_subantarctic,-0.2061686008879221,40.36237708961583,-0.0016428570536097,0.3046943729820781,19_antarctic_and_subantarctic.csv,-85.692560476529,-0.675725163742585
2006.0,2007.0,125512.81155,antarctic_and_subantarctic,-82.18509811946437,39.66497333125076,-0.6567647898839575,0.2978185128188883,19_antarctic_and_subantarctic.csv,-167.87765859599335,-1.3324899536265424
2007.0,2008.0,125154.07065,antarctic_and_subantarctic,-11.470246634669804,38.17883128629401,-0.0919247840495395,0.2881783410682529,19_antarctic_and_subantarctic.csv,-179.34790523066317,-1.4244147376760818
2008.0,2009.0,124795.32975,antarctic_and_subantarctic,-9.881790656837852,38.91017947159705,-0.0794222448259163,0.2937081040695881,19_antarctic_and_subantarctic.csv,-189.229695887501,-1.5038369825019982
