region,start_year,end_year,mean_annual_gt,mean_annual_mwe,cumulative_gt_2000_2023,cumulative_gt_rss_error,cumulative_mwe_2000_2023,cumulative_mwe_rss_error,annual_gt_trend_per_year,annual_gt_trend_pvalue,min_annual_gt,max_annual_gt,mean_area_km2,area_change_pct
alaska,2000.0,2024.0,-61.410829023824874,-0.7320277166261931,-1473.859896571797,172.79174535916678,-17.568665199028636,1.9855338457621743,-2.568819442162738,0.09612334044284361,-144.96724967946653,55.42475171089546,85059.88,-10.656370656370658
greenland_periphery,2000.0,2024.0,-35.436586854737946,-0.44660519236135726,-850.4780845137108,174.3679950202001,-10.718524616672575,1.9453429289779183,-0.9772304051567036,0.27288884997774066,-86.27339719312873,21.19402971840975,80888.8472,-18.937644341801384
arctic_canada_north,2000.0,2024.0,-30.42657164569776,-0.2930927604783487,-730.2377194967462,63.218697165219226,-7.034226251480368,0.5955973144544183,-0.2400191963556384,0.7789599060512569,-83.30383705815383,14.803773171172445,104154.4899,-1.611692276890723
southern_andes,2000.0,2024.0,-26.282882167382045,-0.9192548379252351,-630.7891720171691,162.56972885017439,-22.062116110205643,5.5336430097388885,-1.1576942943824136,0.06523729437397378,-67.135862594548,7.61001311639548,28793.3336,-4.143729356420779
arctic_canada_south,2000.0,2024.0,-23.010101306000866,-0.5700617959389733,-552.2424313440208,51.57451162307018,-13.68148310253536,1.254691750493589,-0.12727988384667355,0.7729073918634183,-50.54712713038396,1.5608686349126528,40495.4752,-1.8407362945178123
antarctic_and_subantarctic,2000.0,2024.0,-17.819153654022866,-0.1454747506007571,-427.6596876965488,208.75251450069092,-3.4913940144181703,1.5742572606703293,-0.6267733700675112,0.5539380565031796,-82.18509811946437,54.21030700577958,123539.73659999999,-6.463027527709839
russian_arctic,2000.0,2024.0,-16.017819773703753,-0.3151662062045248,-384.42767456889004,53.817808817193644,-7.5639889489085945,1.0406306299619013,-1.298477644515454,0.00499267676724984,-60.4847308697026,8.519843072055021,51137.9904,-1.8392642942822928
svalbard,2000.0,2024.0,-13.795151516440137,-0.4181794988022909,-331.0836363945633,35.92697228020421,-10.036307971254981,1.0527925895080887,-1.0812237779611833,0.001286032969476007,-42.11223980325151,8.898909088510552,33429.2396,-5.895691609977329
central_asia,2000.0,2024.0,-10.484469748042555,-0.2178055248383941,-251.6272739530213,66.88222882528537,-5.2273325961214585,1.3573708544984093,-0.9696297835817046,0.037633686882648974,-40.61362594960092,23.07038904132115,48681.78220000001,-4.106735442912415
western_canada_us,2000.0,2024.0,-9.243631301302939,-0.6947335348602119,-221.84715123127052,25.650595430466684,-16.673604836645087,1.7539490363038948,-0.7287113385659586,0.03006383828520037,-33.28211098254605,12.22074313575233,13661.2744,-12.386556297995405
iceland,2000.0,2024.0,-8.294894553976642,-0.7840805613867668,-199.07746929543939,30.887229156172985,-18.817933473282405,2.7905501994554447,0.32873481526783055,0.12810891677816136,-30.63731167132132,6.969062312583269,10542.392,-8.324954755680675
south_asia_east,2000.0,2024.0,-7.355021193995356,-0.5269353933080532,-176.52050865588853,28.84253974376613,-12.646449439393276,1.9582992546357616,-0.20398786751531975,0.11639701890684566,-17.589780221019534,0.8262841166758295,14110.751799999998,-10.684457622930564
south_asia_west,2000.0,2024.0,-5.610944972121096,-0.17631171148007532,-134.66267933090631,41.219342686412496,-4.231481075521808,1.228382862897865,-0.16623304718853293,0.6217609805114721,-34.3384991492528,9.726773430882623,32117.862399999998,-8.29493087557603
central_europe,2000.0,2024.0,-1.97207942247639,-1.061529869356995,-47.32990613943336,2.3646319480425304,-25.47671686456788,1.0974497925318631,-0.09263055081846655,0.025179469332918234,-6.237435177272426,0.4019665729881813,1916.8996,-20.903982408990963
scandinavia,2000.0,2024.0,-1.6680211091491615,-0.5826021493223924,-40.03250661957988,3.1888611982191666,-13.982451583737417,1.0638940590975519,0.015088251037667155,0.7990172305267309,-5.233164247312704,1.7778450224721014,2869.3770000000004,-6.184950948657938
north_asia,2000.0,2024.0,-1.355185314557352,-0.5764891663859192,-32.52444754937645,3.2488565977466988,-13.83573999326206,1.3433826137066296,-0.022941273875703747,0.25545898492083957,-2.383431710308152,0.4721992168201645,2368.5480000000002,-9.581012351658988
low_latitudes,2000.0,2024.0,-0.85004179012117,-0.4207200030056206,-20.40100296290808,3.716408579683126,-10.097280072134895,1.5862045233995654,0.006712083042466671,0.8324672258317614,-2.769504894430206,1.0742074293211157,2034.5631,-27.2081117351757
new_zealand,2000.0,2024.0,-0.8329537025264065,-0.960771550950061,-19.990888860633756,3.3551779978143963,-23.058517222801463,2.885578876735167,-0.035422384521189,0.15419949440645564,-2.1815863332370538,0.8406476913557156,889.3948,-18.786623261319917
caucasus_middle_east,2000.0,2024.0,-0.7366037844157987,-0.6219138378128549,-17.678490825979168,1.6433824925738956,-14.925932107508517,1.2475927522493622,-0.030139148866658062,0.12510605762007376,-1.8119059633143595,0.6360925487896292,1203.0935,-12.420398390137043
