start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors,altimetry_gt,altimetry_gt_errors,altimetry_mwe,altimetry_mwe_errors,altimetry_annual_variability,gravimetry_gt,gravimetry_gt_errors,gravimetry_mwe,gravimetry_mwe_errors,gravimetry_annual_variability,demdiff_and_glaciological_gt,demdiff_and_glaciological_gt_errors,demdiff_and_glaciological_mwe,demdiff_and_glaciological_mwe_errors,demdiff_and_glaciological_annual_variability,source_file
1999.75,2000.75,2490.31325,north_asia,0.0303787060282053,1.0157846210766952,0.0122354552694675,0.4227551889776134,,,,,,,,,,,0.0303787060282054,1.0157846210766952,0.0122354552694676,0.4227551889776134,1,10_north_asia.csv
2000.75,2001.75,2479.95025,north_asia,-1.438301231577353,0.5746629980379334,-0.5817169594164865,0.2372867178695693,,,,,,,,,,,-1.438301231577353,0.5746629980379334,-0.5817169594164865,0.2372867178695693,1,10_north_asia.csv
2001.75,2002.75,2469.58725,north_asia,-2.0371345987149523,0.597346625265731,-0.8273708053402952,0.2449666437558119,,,,,,,,,,,-2.0371345987149523,0.5973466252657308,-0.8273708053402952,0.2449666437558119,1,10_north_asia.csv
2002.75,2003.75,2459.22425,north_asia,-1.678379883734923,0.5615768964047385,-0.6845370747534293,0.2310963166454763,,,,,,,,,,,-1.678379883734923,0.5615768964047385,-0.6845370747534293,0.2310963166454763,1,10_north_asia.csv
2003.75,2004.75,2448.86125,north_asia,-0.5181106164543604,0.5756809246722298,-0.2122086848858225,0.239347818287179,,,,,,,,,,,-0.5181106164543603,0.5756809246722295,-0.2122086848858225,0.239347818287179,1,10_north_asia.csv
2004.75,2005.75,2438.49825,north_asia,-0.4065289971456234,0.5406684711565283,-0.1672144951948788,0.2248597449025648,,,,,,,,,,,-0.4065289971456233,0.5406684711565283,-0.1672144951948788,0.2248597449025648,1,10_north_asia.csv
2005.75,2006.75,2428.13525,north_asia,-1.414581540570362,0.5522327754319155,-0.5843323821169211,0.227938842899705,,,,,,,,,,,-1.414581540570362,0.5522327754319154,-0.5843323821169211,0.227938842899705,1,10_north_asia.csv
2006.75,2007.75,2417.77225,north_asia,-1.5531636800944562,0.553108112159074,-0.6443275174779034,0.22791579934633,,,,,,,,,,,-1.5531636800944562,0.5531081121590736,-0.6443275174779034,0.22791579934633,1,10_north_asia.csv
2007.75,2008.75,2407.40925,north_asia,-1.975294977199855,0.5483907154548896,-0.8229754427003609,0.224500753308517,,,,,,,,,,,-1.975294977199855,0.5483907154548895,-0.8229754427003609,0.224500753308517,1,10_north_asia.csv
2008.75,2009.75,2397.04625,north_asia,0.1807110214373612,0.5384218517169598,0.0756158900958817,0.2240522526585801,,,,,,,,,,,0.1807110214373613,0.5384218517169598,0.0756158900958818,0.2240522526585801,1,10_north_asia.csv
2009.75,2010.75,2386.68325,north_asia,-0.7128492794857485,0.54012690142915,-0.2995765199561216,0.2243034548145002,,,,,,,,,,,-0.7128492794857484,0.54012690142915,-0.2995765199561216,0.2243034548145002,1,10_north_asia.csv
2010.75,2011.75,2376.32025,north_asia,-2.020681211168608,0.5492364670818874,-0.8528991391861322,0.2246838859910688,,,,,,,,,,,-2.020681211168608,0.5492364670818874,-0.8528991391861322,0.2246838859910688,1,10_north_asia.csv
2011.75,2012.75,2365.95725,north_asia,-2.232819572600836,0.5512475931521673,-0.946567477989014,0.2246674594060328,,,,,,,,,,,-2.232819572600836,0.5512475931521672,-0.946567477989014,0.2246674594060328,1,10_north_asia.csv
2012.75,2013.75,2355.59425,north_asia,-0.7607481680191844,0.5623565768028707,-0.323925599605603,0.233509112450349,,,,,,,,,,,-0.7607481680191844,0.5623565768028705,-0.323925599605603,0.233509112450349,1,10_north_asia.csv
2013.75,2014.75,2345.23125,north_asia,-0.7551486077306186,0.5664702858727557,-0.322962125948835,0.2352328961686883,,,,,,,,,,,-0.7551486077306186,0.5664702858727556,-0.322962125948835,0.2352328961686883,1,10_north_asia.csv
2014.75,2015.75,2334.86825,north_asia,-2.405581473848231,0.5804766131056162,-1.0333859024590268,0.2363432812181881,,,,,,,,,,,-2.405581473848231,0.580476613105616,-1.0333859024590268,0.2363432812181881,1,10_north_asia.csv
2015.75,2016.75,2324.50525,north_asia,-0.5744282664867703,0.5644230287318446,-0.2478620931042684,0.2346008113459991,,,,,,,,,,,-0.5744282664867701,0.5644230287318445,-0.2478620931042684,0.2346008113459991,1,10_north_asia.csv
2016.75,2017.75,2314.14225,north_asia,-2.379575790532689,0.5814528293133342,-1.0313696137427482,0.2368723398987207,,,,,,,,,,,-2.379575790532689,0.5814528293133341,-1.0313696137427482,0.2368723398987207,1,10_north_asia.csv
2017.75,2018.75,2303.77925,north_asia,-1.5651696421082892,0.5762929121281671,-0.6814365047988576,0.2376234838781025,,,,,,,,,,,-1.5651696421082892,0.576292912128167,-0.6814365047988576,0.2376234838781025,1,10_north_asia.csv
2018.75,2019.75,2293.41625,north_asia,-0.8454620159593919,0.5473031110703174,-0.3697567042448472,0.2270995994464291,,,,,,,,,,,-0.8454620159593919,0.5473031110703173,-0.3697567042448472,0.2270995994464291,1,10_north_asia.csv
2019.75,2020.75,2283.05325,north_asia,-1.250494255974816,0.642262088205798,-0.5493770357988732,0.2660310510079209,,,,,,,,,,,-1.250494255974816,0.642262088205798,-0.5493770357988732,0.2660310510079209,1,10_north_asia.csv
2020.75,2021.75,2272.69025,north_asia,-1.0124309287207092,0.6418747274943942,-0.4468173174074727,0.2663074185361483,,,,,,,,,,,-1.012430928720709,0.6418747274943941,-0.4468173174074727,0.2663074185361483,1,10_north_asia.csv
2021.75,2022.75,2262.32725,north_asia,-2.3302046092985456,1.141198498730361,-1.033102641570871,0.4724694353400871,,,,,,,,,,,-2.3302046092985456,1.141198498730361,-1.033102641570871,0.4724694353400871,1,10_north_asia.csv
2022.75,2023.75,2251.96425,north_asia,-2.0472049224014337,1.139909182707889,-0.9118106637144864,0.4724980198385178,,,,,,,,,,,-2.0472049224014337,1.1399091827078889,-0.9118106637144864,0.4724980198385178,1,10_north_asia.csv
1999.75,2000.75,2145.5029,central_europe,-0.9539305728132944,0.5427881862893417,-0.4459565054610347,0.259233005961322,,,,,,,,,,,-0.9539305728132944,0.5427881862893416,-0.4459565054610347,0.259233005961322,1,11_central_europe.csv
2000.75,2001.75,2126.0473,central_europe,0.8297493962275136,0.3434738991113111,0.3914523137050656,0.1634727806625784,,,,,,,,,,,0.8297493962275134,0.343473899111311,0.3914523137050655,0.1634727806625784,1,11_central_europe.csv
2001.75,2002.75,2106.5917,central_europe,-0.943257110231785,0.3466692548375761,-0.4491118978685087,0.1646651809881577,,,,,,,,,,,-0.9432571102317848,0.3466692548375759,-0.4491118978685086,0.1646651809881577,1,11_central_europe.csv
2002.75,2003.75,2087.1361,central_europe,-3.997187510255984,0.3959054240213164,-1.9209169712138816,0.1638549734043136,,,,,,,,,,,-3.997187510255984,0.3959054240213163,-1.9209169712138816,0.1638549734043136,1,11_central_europe.csv
2003.75,2004.75,2067.6805,central_europe,-1.274929253503193,0.3444908351055438,-0.6184541326155826,0.1623136453602774,,,,,,,,,,,-1.274929253503193,0.3444908351055437,-0.6184541326155826,0.1623136453602774,1,11_central_europe.csv
2004.75,2005.75,2048.2249,central_europe,-1.962124252054982,0.3448345829387264,-0.9608458216996484,0.1584986426115848,,,,,,,,,,,-1.9621242520549815,0.3448345829387262,-0.9608458216996484,0.1584986426115848,1,11_central_europe.csv
2005.75,2006.75,2028.7693,central_europe,-2.251239968584318,0.3564970788306113,-1.1129969339619674,0.1621787931732998,,,,,,,,,,,-2.251239968584318,0.3564970788306113,-1.1129969339619674,0.1621787931732998,1,11_central_europe.csv
2006.75,2007.75,2009.3137,central_europe,-1.7630854483946157,0.345954326245692,-0.8800968311993201,0.1603924264279294,,,,,,,,,,,-1.7630854483946157,0.3459543262456919,-0.8800968311993201,0.1603924264279294,1,11_central_europe.csv
2007.75,2008.75,1989.8581,central_europe,-1.657128612626763,0.3405480476347715,-0.8352932088470332,0.1583693121417738,,,,,,,,,,,-1.657128612626763,0.3405480476347713,-0.8352932088470332,0.1583693121417738,1,11_central_europe.csv
2008.75,2009.75,1970.4025,central_europe,-1.4398684241650872,0.3515510281744614,-0.7329472162397417,0.1649788666858482,,,,,,,,,,,-1.4398684241650872,0.3515510281744614,-0.7329472162397417,0.1649788666858482,1,11_central_europe.csv
2009.75,2010.75,1950.9469,central_europe,-0.8523827513362173,0.3332839553112917,-0.4382218676062239,0.1584810518010713,,,,,,,,,,,-0.8523827513362172,0.3332839553112916,-0.4382218676062239,0.1584810518010713,1,11_central_europe.csv
2010.75,2011.75,1931.4913,central_europe,-2.6252241300570893,0.3572983206811008,-1.3632593118896086,0.1593278815932339,,,,,,,,,,,-2.6252241300570893,0.3572983206811007,-1.3632593118896086,0.1593278815932339,1,11_central_europe.csv
2011.75,2012.75,1912.0357,central_europe,-2.911389504287455,0.4072614222337429,-1.5272465645646185,0.1823620621139954,,,,,,,,,,,-2.911389504287456,0.4072614222337428,-1.5272465645646185,0.1823620621139954,1,11_central_europe.csv
2012.75,2013.75,1892.5801,central_europe,-0.5509007980773181,0.3802579073381759,-0.2919604160995941,0.1818356332623888,,,,,,,,,,,-0.5509007980773181,0.3802579073381758,-0.2919604160995941,0.1818356332623888,1,11_central_europe.csv
2013.75,2014.75,1873.1245,central_europe,-0.3191327483210315,0.3794231843588901,-0.1708872140657181,0.1817534380270183,,,,,,,,,,,-0.3191327483210316,0.3794231843588901,-0.1708872140657182,0.1817534380270183,1,11_central_europe.csv
2014.75,2015.75,1853.6689,central_europe,-2.9935121980438355,0.4181465641396157,-1.6197713395934856,0.1871966139188429,,,,,,,,,,,-2.9935121980438355,0.4181465641396157,-1.6197713395934856,0.1871966139188429,1,11_central_europe.csv
2015.75,2016.75,1834.2133,central_europe,-1.253717358078123,0.3950535498177729,-0.6855744790209543,0.187008657266765,,,,,,,,,,,-1.253717358078123,0.3950535498177729,-0.6855744790209543,0.187008657266765,1,11_central_europe.csv
2016.75,2017.75,1814.7577,central_europe,-2.839022418638249,0.4163298988888037,-1.569115873694978,0.1876483939935223,,,,,,,,,,,-2.839022418638249,0.4163298988888034,-1.569115873694978,0.1876483939935223,1,11_central_europe.csv
2017.75,2018.75,1795.3021,central_europe,-2.500468353757313,0.4075667084697459,-1.396975100040022,0.1859868403167147,,,,,,,,,,,-2.5004683537573125,0.4075667084697458,-1.396975100040022,0.1859868403167147,1,11_central_europe.csv
2018.75,2019.75,1775.8465,central_europe,-1.7622189499606782,0.3969864610182621,-0.9953121029909908,0.1855877809494119,,,,,,,,,,,-1.7622189499606782,0.3969864610182619,-0.9953121029909908,0.1855877809494119,1,11_central_europe.csv
2019.75,2020.75,1756.3909,central_europe,-1.3114383265175942,0.4310010975568119,-0.748913285736943,0.2042378975052182,,,,,,,,,,,-1.3114383265175942,0.4310010975568118,-0.748913285736943,0.2042378975052182,1,11_central_europe.csv
2020.75,2021.75,1736.9353,central_europe,-1.0628303280772675,0.4322005560444644,-0.6137410030858483,0.2056461392652721,,,,,,,,,,,-1.0628303280772675,0.4322005560444644,-0.6137410030858483,0.2056461392652721,1,11_central_europe.csv
2021.75,2022.75,1717.4797,central_europe,-6.384722928263638,0.7200877961812279,-3.728681469982452,0.3094642354884348,,,,,,,,,,,-6.384722928263638,0.7200877961812279,-3.728681469982452,0.3094642354884348,1,11_central_europe.csv
2022.75,2023.75,1698.0241,central_europe,-4.495107154446965,0.7023272623880465,-2.6552232407112406,0.3190228320081226,,,,,,,,,,,-4.495107154446965,0.7023272623880464,-2.6552232407112406,0.3190228320081226,1,11_central_europe.csv
1999.75,2000.75,1284.486925,caucasus_middle_east,-1.6000747798795147,0.5073076149673503,-1.2494400814739215,0.3844429212010524,,,,,,,,,,,-1.6000747798795143,0.5073076149673503,-1.2494400814739215,0.3844429212010524,1,12_caucasus_middle_east.csv
2000.75,2001.75,1277.559825,caucasus_middle_east,-0.9077766258180492,0.2303458008409479,-0.7126931611745507,0.1733046689145982,,,,,,,,,,,-0.9077766258180492,0.2303458008409478,-0.7126931611745507,0.1733046689145982,1,12_caucasus_middle_east.csv
2001.75,2002.75,1270.632725,caucasus_middle_east,0.4370917061794336,0.229490898569264,0.3450304075556645,0.1753139406537003,,,,,,,,,,,0.4370917061794335,0.229490898569264,0.3450304075556644,0.1753139406537003,1,12_caucasus_middle_east.csv
2002.75,2003.75,1263.705625,caucasus_middle_east,0.2714750339865649,0.2226125354612398,0.215470996036527,0.1705179208603147,,,,,,,,,,,0.2714750339865649,0.2226125354612398,0.2154709960365271,0.1705179208603147,1,12_caucasus_middle_east.csv
2003.75,2004.75,1256.778525,caucasus_middle_east,0.6413060325795726,0.2248127164434539,0.5118131214081412,0.1707603380694547,,,,,,,,,,,0.6413060325795729,0.2248127164434539,0.5118131214081413,0.1707603380694547,1,12_caucasus_middle_east.csv
2004.75,2005.75,1249.851425,caucasus_middle_east,0.422831237681391,0.2114814728285854,0.3393231706131552,0.1614806703190205,,,,,,,,,,,0.422831237681391,0.2114814728285853,0.3393231706131552,0.1614806703190205,1,12_caucasus_middle_east.csv
2005.75,2006.75,1242.924325,caucasus_middle_east,-0.931452830586761,0.2154411021347966,-0.7516592752973096,0.1614230550904214,,,,,,,,,,,-0.931452830586761,0.2154411021347966,-0.7516592752973096,0.1614230550904214,1,12_caucasus_middle_east.csv
2006.75,2007.75,1235.997225,caucasus_middle_east,-1.7673087450722167,0.2712013425773155,-1.4341671559554334,0.1967658734417053,,,,,,,,,,,-1.7673087450722167,0.2712013425773155,-1.4341671559554334,0.1967658734417053,1,12_caucasus_middle_east.csv
2007.75,2008.75,1229.070125,caucasus_middle_east,-0.510506013062977,0.221578895477968,-0.4166093773383526,0.168910527892533,,,,,,,,,,,-0.510506013062977,0.221578895477968,-0.4166093773383526,0.168910527892533,1,12_caucasus_middle_east.csv
