channel_label,group,variable,pressure_hpa,nan_fraction_latest,nan_fraction_tendency,prev_mean,prev_std,prev_min,prev_max,prev_weighted_rmse_zero,prev_abs_mean,latest_mean,latest_std,latest_min,latest_max,latest_weighted_rmse_zero,latest_abs_mean,tendency_mean,tendency_std,tendency_min,tendency_max,tendency_rmse,tendency_abs_mean,nan_fraction_forecast,forecast_mean,forecast_std,forecast_min,forecast_max,forecast_weighted_rmse_zero,forecast_abs_mean,forecast_minus_latest_mean,forecast_minus_latest_std,forecast_minus_latest_min,forecast_minus_latest_max,forecast_minus_latest_rmse,forecast_minus_latest_abs_mean
Z50,upper_air,Z,50.0,0.0,0.0,0.009975716094349022,10.023009267549988,-43.891143798828125,50.072349548339844,10.023014231871779,7.9824151320595975,0.01909050087055518,10.009081187660204,-45.502593994140625,40.96550750732422,10.009099393471704,7.995170482581873,0.009114783877331244,14.165378046188907,-69.7357177734375,59.215911865234375,14.165380978665402,11.2889916767522,0.0,-0.06950293595983097,10.03614303899306,-42.19713592529297,45.07711410522461,10.03638369918265,8.00939423717514,-0.08859343969961647,14.1414216367151,-56.57147979736328,57.65736389160156,14.141699144900679,11.275498880122719
Z100,upper_air,Z,100.0,0.0,0.0,-0.08359611805188943,10.044888132337626,-38.93086242675781,45.06745910644531,10.045235980409146,8.01033956198188,0.037581914480094326,10.04968404975624,-43.08253479003906,40.36793518066406,10.049754320390925,8.019525300844087,0.12117803235702511,14.166588245146029,-55.70932388305664,61.4110221862793,14.1671065014344,11.30416146998176,0.0,0.01586134023405671,9.978911586729595,-38.5031623840332,41.28236770629883,9.97892419241069,7.967520902226168,-0.021720575890552846,14.130979818665987,-57.893516540527344,53.164024353027344,14.130996511886936,11.268953684439932
Z150,upper_air,Z,150.0,0.0,0.0,0.0749848185730458,10.0070474665043,-48.156410217285156,49.932762145996094,10.007328400720501,7.9955751033199745,0.07237596652200189,9.970511591355393,-43.44988250732422,42.81365203857422,9.970774276547644,7.959731964657948,-0.002608849582826599,14.099777901198834,-58.75074768066406,64.63229370117188,14.09977814255356,11.247893137346683,0.0,0.030898317508624595,9.990569188155519,-45.283164978027344,42.65613555908203,9.990616968403101,7.961273045578704,-0.04147764770802494,14.116902399083617,-62.077125549316406,60.27888870239258,14.116963332831402,11.234684330721068
Z200,upper_air,Z,200.0,0.0,0.0,0.03506228263356988,9.96433109394636,-49.28238296508789,40.89613342285156,9.964392781973496,7.943658169907369,0.018703860763968322,9.964751768020202,-41.81234359741211,44.698944091796875,9.964769321598368,7.962299232087564,-0.016358419105627138,14.07094586457283,-59.05284881591797,65.9714126586914,14.070955373449733,11.200142013145918,0.0,-0.07612709163726694,10.019535757889013,-38.85677719116211,42.67660140991211,10.019824955440974,7.987237620903439,-0.0948309552984802,14.110063511836023,-55.959510803222656,57.01659393310547,14.110382178314595,11.264678582873128
Z250,upper_air,Z,250.0,0.0,0.0,-0.009243367711383475,9.973273878751858,-39.4481315612793,46.73029327392578,9.973278162191232,7.971321921226539,-0.059172972518740465,10.066825078331822,-41.830833435058594,48.46040725708008,10.066998986708757,8.027886819366321,-0.049929604887302664,14.15860981580132,-53.78116989135742,71.28225708007812,14.158697852611345,11.285420615323147,0.0,-0.005349250941382017,9.960258290002006,-39.64064025878906,46.341609954833984,9.96025972643481,7.942529900693205,0.053823718801128434,14.152753840577116,-61.274757385253906,61.88142013549805,14.15285618752151,11.286759363989892
Z300,upper_air,Z,300.0,0.0,0.0,-0.007462419331227517,10.024139539132713,-42.347984313964844,41.44232940673828,10.024142316812242,7.995536150272733,0.03793237866224183,9.968790321849815,-39.56975555419922,43.67287063598633,9.96886249009146,7.953313444143883,0.045394796809228505,14.149069084882168,-66.49600219726562,66.52049255371094,14.149141905300779,11.278949062137563,0.0,-0.042139417868375606,9.975522036273398,-45.045475006103516,42.84225082397461,9.975611040267577,7.948479267647746,-0.08007179746545429,14.100057997657327,-62.20561218261719,57.385093688964844,14.100285352787283,11.23057566726845
Z400,upper_air,Z,400.0,0.0,0.0,-0.08596018501214686,10.032054419835323,-42.018184661865234,44.61654281616211,10.032422690253796,8.001523262474636,0.0761804818182668,9.972086408472855,-39.00140380859375,43.20698165893555,9.972377389762137,7.977998999642339,0.16214066680070569,14.135667136781061,-62.05274200439453,67.59176635742188,14.13659700909706,11.274636511129884,0.0,-0.06590269781245658,9.994075296220409,-41.03894805908203,40.92945861816406,9.994292580872695,7.9729855230440085,-0.1420831802343071,14.102920836665719,-59.47822952270508,61.78610610961914,14.10363654364703,11.25622644726729
Z500,upper_air,Z,500.0,0.0,0.0,-0.014581537833264492,10.00909636701743,-45.117916107177734,40.67889404296875,10.009106988412421,7.9988334837139545,0.03624858872348313,9.972593147127167,-44.15230178833008,46.036659240722656,9.972659025470971,7.955090291491332,0.05083012549930068,14.129891982797446,-59.50346755981445,56.91346740722656,14.129983409302818,11.29281117572422,0.0,0.030156424077228804,9.980872115902594,-51.669097900390625,41.83623504638672,9.980917673436242,7.979582811592244,-0.0060921627672691,14.153602904001296,-58.36823654174805,61.97065734863281,14.153604215131953,11.29712385273999
Z600,upper_air,Z,600.0,0.0,0.0,-0.06107204396878811,9.980394501873263,-40.7374382019043,43.4766960144043,9.980581356191818,7.961586510541987,-0.07301368689597051,9.984905078238286,-48.657615661621094,41.83864974975586,9.985172027555883,7.955751856511561,-0.011941641737813844,14.136538059159337,-58.33082962036133,57.441200256347656,14.136543102925389,11.257944645678558,0.0,-0.013373484613421157,9.994257679161713,-39.59941864013672,40.793067932128906,9.994266626800234,7.973388585757625,0.059640201532398684,14.147952571192038,-58.09984588623047,57.753692626953125,14.148078276229812,11.278342376534255
Z700,upper_air,Z,700.0,0.0,0.0,-0.058047518040468885,10.033342485456098,-46.5168571472168,41.62474060058594,10.033510399894814,7.99302828084435,0.02146968375212779,10.03931594683685,-42.97780990600586,40.41979217529297,10.0393389039185,8.013114019119636,0.07951720146026596,14.233644544134629,-56.41978454589844,64.21913146972656,14.233866656466883,11.351513260461568,0.0,-0.019410346653702316,9.977633639421155,-48.45599365234375,44.649757385253906,9.977652519709464,7.967324400099482,-0.040880032739893844,14.154449930870909,-63.61913299560547,58.371742248535156,14.154508964376069,11.28296530992697
