angle_deg,feature,target_energy_ev,target_kx_a_inv,pump_on_intensity,pump_off_intensity,difference_intensity
0,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,44.04588027792644,26.90206983324807,17.143810444678373
0,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,44.07103159371555,26.902069833248014,17.16896176046754
0,replica_plus,0.24874371859296485,0.00201342281879191,45.05718001646559,27.965043376383267,17.09213664008232
0,replica_minus,-0.24874371859296485,0.00201342281879191,45.07945786950246,27.965043376383267,17.114414493119195
30,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,39.25278056496002,26.90206983324807,12.350710731711949
30,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,39.24566640540002,26.902069833248014,12.34359657215201
30,replica_plus,0.24874371859296485,0.00201342281879191,40.14092354682095,27.965043376383267,12.175880170437683
30,replica_minus,-0.24874371859296485,0.00201342281879191,40.155605935697444,27.965043376383267,12.190562559314177
60,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,39.151664359956705,26.90206983324807,12.249594526708634
60,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,39.25045320451309,26.902069833248014,12.34838337126508
60,replica_plus,0.24874371859296485,0.00201342281879191,40.22203517024134,27.965043376383267,12.256991793858074
60,replica_minus,-0.24874371859296485,0.00201342281879191,40.206289439018704,27.965043376383267,12.241246062635437
90,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,44.042429831356756,26.90206983324807,17.140359998108686
90,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,44.011901032624834,26.902069833248014,17.10983119937682
90,replica_plus,0.24874371859296485,0.00201342281879191,45.006260635012566,27.965043376383267,17.0412172586293
90,replica_minus,-0.24874371859296485,0.00201342281879191,45.051169606635185,27.965043376383267,17.086126230251917
120,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,39.18740996026481,26.90206983324807,12.285340127016738
120,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,39.232385839958454,26.902069833248014,12.33031600671044
120,replica_plus,0.24874371859296485,0.00201342281879191,40.17660687430267,27.965043376383267,12.211563497919403
120,replica_minus,-0.24874371859296485,0.00201342281879191,40.18160841514826,27.965043376383267,12.216565038764994
150,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,39.10026138814357,26.90206983324807,12.198191554895502
150,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,39.244483769954805,26.902069833248014,12.34241393670679
150,replica_plus,0.24874371859296485,0.00201342281879191,40.283844008948215,27.965043376383267,12.318800632564948
150,replica_minus,-0.24874371859296485,0.00201342281879191,40.3365900256055,27.965043376383267,12.371546649222235
180,crossing_E0_plusk,0.002512562814070307,0.042281879194630834,44.063996021832196,26.90206983324807,17.161926188584125
180,crossing_E0_minusk,0.002512562814070307,-0.04228187919463089,44.07121215458176,26.902069833248014,17.169142321333744
180,replica_plus,0.24874371859296485,0.00201342281879191,45.03388673354007,27.965043376383267,17.068843357156805
180,replica_minus,-0.24874371859296485,0.00201342281879191,45.05862614774377,27.965043376383267,17.093582771360506
