model_id,validation_loss,fold,seed,batch_size,n_iters,pc1,pc2,pc3,centroid_distance,loss_rank,centroid_loss_spearman_r,centroid_loss_spearman_p
000,5.136557016107771,1,0,4,250000,-15.198617555557364,9.536735525910172,5.561340113184199,32.32276268066341,1.0,0.1896278511404562,0.18718221890648906
001,5.191043282548587,1,0,4,250000,-3.492961971853345,2.567184634943779,1.561241158730826,25.98070316546513,2.0,0.1896278511404562,0.18718221890648906
002,5.220126933521694,1,0,4,250000,1.1401640713403707,4.415025521709891,0.8490097148522843,25.23530054582464,3.0,0.1896278511404562,0.18718221890648906
003,5.247156386574109,1,0,4,250000,1.7681443247074515,-0.36455801099155455,6.246580646631607,23.623925059050297,4.0,0.1896278511404562,0.18718221890648906
004,5.251272684997982,1,0,4,250000,-14.514448858822808,-2.64735572169057,-8.523808821205009,32.72190337176581,5.0,0.1896278511404562,0.18718221890648906
005,5.259884989923901,1,0,4,250000,-1.8030893262052996,1.0616005964405908,-1.7362582479333333,24.55589806804748,6.0,0.1896278511404562,0.18718221890648906
006,5.260432350966665,1,0,4,250000,6.550671431547904,4.898602956117367,1.4666576377705431,22.101777402124526,7.0,0.1896278511404562,0.18718221890648906
007,5.262506523066097,1,0,4,250000,-0.5388401058945429,-0.18526407818609322,-3.46184126557509,29.50261487078525,8.0,0.1896278511404562,0.18718221890648906
008,5.269997964302699,1,0,4,250000,4.168824511987146,1.5543559823782205,-2.08921602133993,20.93429537992178,9.0,0.1896278511404562,0.18718221890648906
009,5.270350093642871,1,0,4,250000,2.982879127300544,4.60694481257209,-1.9368221193841915,23.403807555308664,10.0,0.1896278511404562,0.18718221890648906
010,5.271915788451831,1,0,4,250000,6.267729720990775,2.507310665839282,6.007020863896485,24.770292675501842,11.0,0.1896278511404562,0.18718221890648906
011,5.277487738264932,1,0,4,250000,2.473183539259597,2.828322383364028,-2.3063572316722243,25.486291180760514,12.0,0.1896278511404562,0.18718221890648906
012,5.277920769320594,1,0,4,250000,6.635168117493606,5.676864152223418,1.4837609003220937,22.853185282936103,13.0,0.1896278511404562,0.18718221890648906
013,5.281195715069771,1,0,4,250000,5.561438921023426,2.125148440276005,2.653414149207351,24.925810951682077,14.0,0.1896278511404562,0.18718221890648906
014,5.283142609728707,1,0,4,250000,5.731963025476675,3.614753096106909,-0.06024578268834203,25.66848511262763,15.0,0.1896278511404562,0.18718221890648906
015,5.28523435195287,1,0,4,250000,2.551971880242222,1.3467868517828507,-6.333003896662952,27.290129732105097,16.0,0.1896278511404562,0.18718221890648906
