cell_type,cluster,n_models,mean_validation_loss,std_validation_loss,min_validation_loss,max_validation_loss
Am,0,19,5.295308901378284,0.0494220002350855,5.136557016107771,5.383891855676969
Am,1,11,5.317394988705413,0.0502313549211279,5.247156386574109,5.417977909247081
Am,2,20,5.330663137800164,0.0976441174004074,5.191043282548587,5.677851685219341
C2,-99999,1,5.289695978164673,0.0,5.289695978164673,5.289695978164673
C2,0,21,5.331421913450988,0.09036585421363026,5.247156386574109,5.677851685219341
C2,1,28,5.302354307046959,0.05822390434866263,5.136557016107771,5.427841342157787
C3,0,17,5.331923558723693,0.10177850638293938,5.191043282548587,5.677851685219341
C3,1,18,5.315650668409136,0.04066165405050831,5.251272684997982,5.418262915478812
C3,2,15,5.292737615218869,0.06272448863411427,5.136557016107771,5.417977909247081
CT1(Lo1),0,29,5.323912273079043,0.08205769684581288,5.220126933521694,5.677851685219341
CT1(Lo1),1,11,5.309864922906413,0.04841506505844659,5.251272684997982,5.417977909247081
CT1(Lo1),2,10,5.291350668668747,0.0692433517855869,5.136557016107771,5.366370586885346
CT1(M10),0,10,5.286001916064157,0.05304507943283252,5.136557016107771,5.332739220725165
CT1(M10),1,18,5.321345220469397,0.09760525158626589,5.191043282548587,5.677851685219341
CT1(M10),2,22,5.32142016494816,0.05540232022462808,5.220126933521694,5.427841342157787
L1,0,5,5.333215821782748,0.18240915880796438,5.136557016107771,5.677851685219341
L1,1,33,5.312972455915779,0.051473979162051084,5.191043282548587,5.427841342157787
L1,2,12,5.310108883651319,0.042135070815484475,5.247156386574109,5.418262915478812
L2,0,37,5.319718089323859,0.07940472078692158,5.136557016107771,5.677851685219341
L2,1,13,5.298915957920572,0.055269811369132206,5.191043282548587,5.427841342157787
L3,0,15,5.310976060231527,0.044712330800194794,5.220126933521694,5.417977909247081
L3,1,13,5.344826658057351,0.10906869607030255,5.259884989923901,5.677851685219341
L3,2,8,5.307699884391494,0.04328126386023579,5.251272684997982,5.3715731253226595
L3,3,14,5.29332073032856,0.06478066095046944,5.136557016107771,5.378605905506346
L4,0,17,5.316393279659202,0.05663262621107507,5.191043282548587,5.427841342157787
L4,1,33,5.31323609102254,0.08211752877989073,5.136557016107771,5.677851685219341
L5,0,10,5.324922307332357,0.03892678374618089,5.262506523066097,5.383891855676969
L5,1,19,5.317413036499107,0.0499443731065397,5.247156386574109,5.427841342157787
L5,2,21,5.306447904340173,0.10047723031818438,5.136557016107771,5.677851685219341
Lawf1,0,26,5.288879238769539,0.053194628304812315,5.136557016107771,5.417977909247081
Lawf1,1,16,5.330207545206779,0.046840657826452574,5.269997964302699,5.427841342157787
Lawf1,2,8,5.365161978329222,0.12596707600774373,5.259884989923901,5.677851685219341
Lawf2,0,37,5.313551964523556,0.08250673437914384,5.136557016107771,5.677851685219341
Lawf2,1,7,5.2996100388349054,0.035409711626601205,5.260432350966665,5.366370586885346
Lawf2,2,6,5.336130633122391,0.04495120111372721,5.292151803771655,5.418262915478812
Mi1,0,12,5.335165509195239,0.044417195071263245,5.271915788451831,5.418262915478812
Mi1,1,38,5.307723438094932,0.08056071013187674,5.136557016107771,5.677851685219341
Mi10,0,7,5.288618518719597,0.05279748926907556,5.191043282548587,5.359666627314356
Mi10,1,15,5.312959993658242,0.042750818830829956,5.247156386574109,5.418262915478812
Mi10,2,13,5.342202192188329,0.10778811753438756,5.220126933521694,5.677851685219341
Mi10,3,15,5.303474581572744,0.0646405913149767,5.136557016107771,5.427841342157787
Mi11,0,37,5.317441592569107,0.08475363964506391,5.136557016107771,5.677851685219341
Mi11,1,13,5.305395217914867,0.02772119160970942,5.259884989923901,5.359657613767518
Mi12,0,10,5.364793382419481,0.11065925233562245,5.262506523066097,5.677851685219341
Mi12,1,25,5.310751397212346,0.05268337261803269,5.191043282548587,5.427841342157787
Mi12,2,15,5.2865838668964535,0.05656097152695079,5.136557016107771,5.417977909247081
Mi13,0,14,5.329203678975029,0.048101343650228404,5.247156386574109,5.418262915478812
Mi13,1,17,5.318613262055746,0.10624497197327451,5.136557016107771,5.677851685219341
Mi13,2,3,5.30426843850701,0.021385938102151777,5.281195715069771,5.332739220725165
Mi13,3,9,5.286409709004709,0.062466945525121206,5.191043282548587,5.427841342157787
Mi13,4,7,5.31424387154125,0.028424363708977145,5.283142609728707,5.3715731253226595
Mi14,0,13,5.327342271168008,0.03733676296729933,5.269997964302699,5.383891855676969
Mi14,1,23,5.316793393253703,0.09225719705477922,5.191043282548587,5.677851685219341
Mi14,2,7,5.2821021990643615,0.06576582381067046,5.136557016107771,5.355444838603337
Mi14,3,7,5.314151970640061,0.05780746407434833,5.220126933521694,5.417977909247081
Mi15,0,16,5.337888244125578,0.10965642639906786,5.136557016107771,5.677851685219341
Mi15,1,34,5.303213672115911,0.04591868415293655,5.191043282548587,5.418262915478812
Mi2,0,8,5.309630641299817,0.04990791839164549,5.262506523066097,5.427841342157787
Mi2,1,12,5.3122786798135,0.028180189144426528,5.270350093642871,5.383891855676969
