index,entity_id,level,electricity_kw_mean,electricity_kw_min,electricity_kw_max,electricity_kw_sum,heat_mmbtu_mean,heat_mmbtu_min,heat_mmbtu_max,heat_mmbtu_sum,cooling_ton_mean,cooling_ton_min,cooling_ton_max,cooling_ton_sum,pv_kw_mean,pv_kw_min,pv_kw_max,pv_kw_sum,ghg_ton_mean,ghg_ton_min,ghg_ton_max,ghg_ton_sum
0,BN001,building,52.01793732694302,24.062064419019244,80.27959210349414,455677.1309840209,10.995809748842248,0.2444178054183048,19.88671206519433,96323.2933998581,21.504178269879926,3.410272421940705,39.43030981137966,188376.60164414815,3.4386664690239304,0.0,11.034878855815666,30122.71826864963,31.88921400758821,16.08731179709554,49.48214731236883,279349.5147064727
1,BN002,building,53.973319289298715,26.8096260266747,80.52551503715893,472806.27697425673,12.019623571040821,2.4916518302765605,20.797298507784408,105291.90248231759,22.977763656074867,4.64432640672394,42.3185646373883,201285.20962721584,2.5527084508003046,0.0,10.271732258780126,22361.726029010668,33.91174522177643,17.65949667011926,50.388138785296185,297066.8881427615
2,BN003,building,56.02328986157018,30.00670304919887,82.81470831013894,490764.0191873548,13.004142539574659,4.465354135199229,22.32270253011072,113916.288646674,24.50991751119656,7.193959903265137,43.007354888732586,214706.87739808185,2.863706868353562,0.0,11.04077534362584,25086.072166777205,35.383017760720016,21.48307327081749,49.22485513608963,309955.23558390734
3,BN004,building,58.01679934574985,31.00241236075219,84.9850057635353,508227.1622687687,13.994710557937724,4.818728857399718,22.801752114197555,122593.66448753446,25.986159344980233,8.151241747402448,44.36367517582549,227638.75586202685,3.5173409393575157,0.0,12.29939508500568,30811.906628771838,36.64537423957353,22.48989117240944,49.14692731768269,321013.4783386641
4,BN005,building,59.95736173865727,31.841969441571933,87.06515864609901,525226.4888306377,14.999712240669284,5.896498993245107,23.76216240079473,131397.47922826294,27.52396124926919,9.356239768223563,45.897827033894266,241109.90054359808,4.847196159603414,0.0,12.7701014658839,42461.43835812591,37.55978871158155,18.964425415396125,54.86294936567612,329023.74911345437
5,BN006,building,61.955990150055825,34.69045951812957,90.30289435522236,542734.473714489,15.993817923875277,5.4560126445747335,25.050082200442663,140105.84501314742,28.999888619574957,10.85066760169136,46.92787914919211,254039.02430747662,4.899069073514461,0.0,13.39137492378552,42915.84508398668,39.126583639348254,28.650616851139148,50.44511602555245,342748.8726806907
6,BN007,building,64.03640337168733,35.5306766957758,90.48395285696392,560958.893535981,16.99392121786504,8.080390793035072,26.366498694682264,148866.74986849775,30.501313459706516,12.806107706239384,49.15232036569629,267191.5059070291,4.142707415986755,0.0,13.200464370709728,36290.11696404398,41.14528703515111,25.931282138753804,55.11571637231566,360432.71442792367
7,BN008,building,65.93124626220471,39.895182847992665,92.671884293349,577557.7172569132,18.02099586240643,9.120397244350666,26.744797125892894,157863.92375468032,31.983656202933677,12.711347433340716,49.38967034647015,280176.828337699,4.7794253297381255,0.0,13.762329546819087,41867.76588850598,42.37894046554195,25.64063831019801,58.76909112711531,371239.5184781475
8,BN009,building,68.00788792057281,40.60928061463419,96.30704842288549,595749.0981842178,19.001314534318237,9.75054477572328,28.65097760578828,166451.51532062775,33.526068510822604,15.034236269313212,52.15068408757151,293688.360154806,5.824812722853679,0.0,14.832720810868128,51025.35945219822,43.49714566131956,31.93004792018025,54.91059230868804,381034.9959931593
9,BN010,building,70.04137110300552,39.08803994953183,95.96763786465472,613562.4108623284,20.00630332838855,11.000584383441854,29.15920886965828,175255.2171566837,34.95340655373632,15.57090108019332,53.187280094149685,306191.8414107302,4.466696027791938,0.0,12.130554818641498,39128.25720345738,45.77990984687062,30.06080303621944,58.66392943112483,401032.01025858667
10,CN01,community,609.9616063697451,494.85523176199706,719.9462950473616,5343263.671798968,155.03035152491825,125.92659532092156,187.13196227878103,1358065.879358284,282.46631337817485,236.4260274332009,330.8059650061211,2474404.9051928115,41.33232945702368,0.0,86.72296869916829,362071.20604352746,387.31700658947125,312.24025628744056,460.9347694841688,3392896.977723768
11,Total,district,609.9616063697451,494.85523176199706,719.9462950473616,5343263.671798968,155.03035152491825,125.92659532092156,187.13196227878103,1358065.879358284,282.46631337817485,236.4260274332009,330.8059650061211,2474404.9051928115,41.33232945702368,0.0,86.72296869916829,362071.20604352746,387.31700658947125,312.24025628744056,460.9347694841688,3392896.977723768
