entity_id,variable,missing_count,missing_rate,non_missing_count
BN001,electricity_kw,0,0.0,8760
BN001,heat_mmbtu,0,0.0,8760
BN001,cooling_ton,0,0.0,8760
BN001,pv_kw,0,0.0,8760
BN001,ghg_ton,0,0.0,8760
BN001,temperature_f,0,0.0,8760
BN001,dew_point_f,0,0.0,8760
BN001,humidity_pct,0,0.0,8760
BN001,wind_speed_mph,0,0.0,8760
BN001,wind_gust_mph,0,0.0,8760
BN001,pressure_in,0,0.0,8760
BN001,precipitation_in,0,0.0,8760
BN002,electricity_kw,0,0.0,8760
BN002,heat_mmbtu,0,0.0,8760
BN002,cooling_ton,0,0.0,8760
BN002,pv_kw,0,0.0,8760
BN002,ghg_ton,0,0.0,8760
BN002,temperature_f,0,0.0,8760
BN002,dew_point_f,0,0.0,8760
BN002,humidity_pct,0,0.0,8760
BN002,wind_speed_mph,0,0.0,8760
BN002,wind_gust_mph,0,0.0,8760
BN002,pressure_in,0,0.0,8760
BN002,precipitation_in,0,0.0,8760
BN003,electricity_kw,0,0.0,8760
BN003,heat_mmbtu,0,0.0,8760
BN003,cooling_ton,0,0.0,8760
BN003,pv_kw,0,0.0,8760
BN003,ghg_ton,0,0.0,8760
BN003,temperature_f,0,0.0,8760
BN003,dew_point_f,0,0.0,8760
BN003,humidity_pct,0,0.0,8760
BN003,wind_speed_mph,0,0.0,8760
BN003,wind_gust_mph,0,0.0,8760
BN003,pressure_in,0,0.0,8760
BN003,precipitation_in,0,0.0,8760
BN004,electricity_kw,0,0.0,8760
BN004,heat_mmbtu,0,0.0,8760
BN004,cooling_ton,0,0.0,8760
BN004,pv_kw,0,0.0,8760
BN004,ghg_ton,0,0.0,8760
BN004,temperature_f,0,0.0,8760
BN004,dew_point_f,0,0.0,8760
BN004,humidity_pct,0,0.0,8760
BN004,wind_speed_mph,0,0.0,8760
BN004,wind_gust_mph,0,0.0,8760
BN004,pressure_in,0,0.0,8760
BN004,precipitation_in,0,0.0,8760
BN005,electricity_kw,0,0.0,8760
BN005,heat_mmbtu,0,0.0,8760
BN005,cooling_ton,0,0.0,8760
BN005,pv_kw,0,0.0,8760
BN005,ghg_ton,0,0.0,8760
BN005,temperature_f,0,0.0,8760
BN005,dew_point_f,0,0.0,8760
BN005,humidity_pct,0,0.0,8760
BN005,wind_speed_mph,0,0.0,8760
BN005,wind_gust_mph,0,0.0,8760
BN005,pressure_in,0,0.0,8760
BN005,precipitation_in,0,0.0,8760
BN006,electricity_kw,0,0.0,8760
BN006,heat_mmbtu,0,0.0,8760
BN006,cooling_ton,0,0.0,8760
BN006,pv_kw,0,0.0,8760
BN006,ghg_ton,0,0.0,8760
BN006,temperature_f,0,0.0,8760
BN006,dew_point_f,0,0.0,8760
BN006,humidity_pct,0,0.0,8760
BN006,wind_speed_mph,0,0.0,8760
BN006,wind_gust_mph,0,0.0,8760
BN006,pressure_in,0,0.0,8760
BN006,precipitation_in,0,0.0,8760
BN007,electricity_kw,0,0.0,8760
BN007,heat_mmbtu,0,0.0,8760
BN007,cooling_ton,0,0.0,8760
BN007,pv_kw,0,0.0,8760
BN007,ghg_ton,0,0.0,8760
BN007,temperature_f,0,0.0,8760
BN007,dew_point_f,0,0.0,8760
BN007,humidity_pct,0,0.0,8760
BN007,wind_speed_mph,0,0.0,8760
BN007,wind_gust_mph,0,0.0,8760
BN007,pressure_in,0,0.0,8760
BN007,precipitation_in,0,0.0,8760
BN008,electricity_kw,0,0.0,8760
BN008,heat_mmbtu,0,0.0,8760
BN008,cooling_ton,0,0.0,8760
BN008,pv_kw,0,0.0,8760
BN008,ghg_ton,0,0.0,8760
BN008,temperature_f,0,0.0,8760
BN008,dew_point_f,0,0.0,8760
BN008,humidity_pct,0,0.0,8760
BN008,wind_speed_mph,0,0.0,8760
BN008,wind_gust_mph,0,0.0,8760
BN008,pressure_in,0,0.0,8760
BN008,precipitation_in,0,0.0,8760
BN009,electricity_kw,0,0.0,8760
BN009,heat_mmbtu,0,0.0,8760
BN009,cooling_ton,0,0.0,8760
BN009,pv_kw,0,0.0,8760
BN009,ghg_ton,0,0.0,8760
BN009,temperature_f,0,0.0,8760
BN009,dew_point_f,0,0.0,8760
BN009,humidity_pct,0,0.0,8760
BN009,wind_speed_mph,0,0.0,8760
BN009,wind_gust_mph,0,0.0,8760
BN009,pressure_in,0,0.0,8760
BN009,precipitation_in,0,0.0,8760
BN010,electricity_kw,0,0.0,8760
BN010,heat_mmbtu,0,0.0,8760
BN010,cooling_ton,0,0.0,8760
BN010,pv_kw,0,0.0,8760
BN010,ghg_ton,0,0.0,8760
BN010,temperature_f,0,0.0,8760
BN010,dew_point_f,0,0.0,8760
BN010,humidity_pct,0,0.0,8760
BN010,wind_speed_mph,0,0.0,8760
BN010,wind_gust_mph,0,0.0,8760
BN010,pressure_in,0,0.0,8760
BN010,precipitation_in,0,0.0,8760
CN01,electricity_kw,0,0.0,8760
CN01,heat_mmbtu,0,0.0,8760
CN01,cooling_ton,0,0.0,8760
CN01,pv_kw,0,0.0,8760
CN01,ghg_ton,0,0.0,8760
CN01,temperature_f,0,0.0,8760
CN01,dew_point_f,0,0.0,8760
CN01,humidity_pct,0,0.0,8760
CN01,wind_speed_mph,0,0.0,8760
CN01,wind_gust_mph,0,0.0,8760
CN01,pressure_in,0,0.0,8760
CN01,precipitation_in,0,0.0,8760
Total,electricity_kw,0,0.0,8760
Total,heat_mmbtu,0,0.0,8760
Total,cooling_ton,0,0.0,8760
Total,pv_kw,0,0.0,8760
Total,ghg_ton,0,0.0,8760
Total,temperature_f,0,0.0,8760
Total,dew_point_f,0,0.0,8760
Total,humidity_pct,0,0.0,8760
Total,wind_speed_mph,0,0.0,8760
Total,wind_gust_mph,0,0.0,8760
Total,pressure_in,0,0.0,8760
Total,precipitation_in,0,0.0,8760
