Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
774.338504359671,952.4697207007295,732.4957494979793,1150.1760665015747,839.6171133291522,7626.306751104117,6621.4723872106215,7218.272641730422,7294.584503796684,6258.114864340785,8505.830515589761,7948.858986224262,8419.655585475648,8291.702005868397,7441.208009234511,8369.17284613098,5982.103722333136,6289.990144829724,5858.178454549648,6660.4822443203875
694.807219447134,854.6428138620263,657.2620786646783,1032.043002047855,753.3811487197956,6843.018858744912,5941.389705020845,6476.8933937482225,6545.367365266582,5615.352153344191,7632.207899196009,7132.442179874489,7554.883882320274,7440.072245852915,6676.931364144686,7509.5861584480135,5367.6897511324505,5643.953565880084,5256.492683902675,5976.392911237332
590.2037401809806,725.9760277988088,558.3110339810376,876.6685532152815,639.9593431255346,5812.799883936054,5046.911326808524,5501.794740684245,5559.959930918363,4769.958846965081,6483.176227686058,6058.650418940857,6417.493369637765,6319.966666744185,5671.716921976704,6379.0152345481965,4559.5821093660015,4794.254306454657,4465.125800998349,5076.644787614724
550.6384465994663,677.3090121269094,520.8837212322486,817.8996123898507,597.0585995903774,5423.12913419123,4708.583195807832,5132.972740210894,5187.238729760293,4450.196688063743,6048.565679961577,5652.498667920686,5987.285982017212,5896.297144557759,5291.503904247539,5951.387292986086,4253.92290647656,4472.863460844034,4165.798634517294,4736.3234244030145
616.5801164153157,758.4201069238543,583.2621159303808,915.8471249832712,668.5593116783957,6072.575595737851,5272.459256979907,5747.671542481325,5808.436151927674,4983.129690530503,6772.911252615769,6329.413262418083,6704.293008601441,6602.40780908494,5925.187595312033,6664.09527450085,4763.351155545043,5008.510921147328,4664.673567375864,5303.52151476854
747.9827340504289,920.0509877513007,707.5641599960092,1111.028102073575,811.0394878307134,7366.733982982334,6396.100661067901,6972.587925416008,7046.3023990053125,6045.110555495506,8216.321839350541,7678.307669865891,8133.0800020010465,8009.481514043491,7187.935353915822,8084.31551827102,5778.4938659406125,6075.900913090414,5658.786580182847,6433.782759286701
854.7207128073741,1051.3433001474898,808.5343627035732,1269.5730638206505,926.7757363859932,8417.975221032917,7308.831430655852,7967.5840770435,8051.817689053883,6907.754641625389,9388.800221571722,8774.010824024766,9293.679680259924,9152.443548836236,8213.661826180669,9237.956449768079,6603.091450125387,6942.938817934651,6466.301799838867,7351.8908067396305
865.1581748992369,1064.18182819109,818.4078180138681,1285.0765148636867,938.0931017794386,8520.771720454564,7398.083568635195,8064.8806038759,8150.142838591976,6992.109011575124,9503.451996043008,8881.15506891917,9407.169885777488,9264.209042707475,8313.963342993755,9350.766188441703,6683.725411215926,7027.72284110439,6545.265347696134,7441.668766310564
780.6410226560504,960.2220897327044,738.4577000367153,1159.5376127276381,846.450949163115,7688.37900705164,6675.366066311437,7277.023814682077,7353.9567964578655,6309.051093407642,8575.06141673775,8013.556568630351,8488.18508914608,8359.190066071895,7501.773704161626,8437.291459232778,6030.79343354932,6341.185814099222,5905.859509650721,6714.693433575728
674.4195142415031,829.565058108431,637.9760592803111,1001.7597984535853,731.27471064939,6642.224383236041,5767.0517038784255,6286.84212562077,6353.30686766295,5450.581061271655,7408.256275836782,6923.155165448824,7333.201175024747,7221.7584525999555,6481.010388483652,7289.232620762336,5210.185808717382,5478.343223507716,5102.251593344868,5801.027812175346
635.8220385188607,782.0885000988317,601.4642666353535,944.4284213444621,689.4233743596681,6262.085480131153,5436.999513170371,5927.041984623012,5989.702905433432,5138.640695157943,6984.276859886296,6526.938407511406,6913.517212231057,6808.452430661214,6110.097869131322,6872.0650074660525,4912.003422211863,5164.814010451875,4810.246353510687,5469.0311462742575
