name,v_nom,carrier,x,y
Bus1,400.0,AC,-1.254598811526375,56.118528947223794
Bus2,400.0,AC,4.507143064099161,51.39493860652042
Bus3,400.0,AC,2.3199394181140507,52.921446485352185
Bus4,400.0,AC,0.986584841970366,53.663618432936914
Bus5,400.0,AC,-3.439813595575635,54.56069984217036
Bus6,400.0,AC,-3.4400547966379733,57.851759613930135
Bus7,400.0,AC,-4.419163878318005,51.9967378215836
Bus8,400.0,AC,3.6617614577493516,55.142344384136116
Bus9,400.0,AC,1.0111501174320878,55.92414568862043
Bus10,400.0,AC,2.0807257779604544,50.46450412719998
Bus11,400.0,AC,-4.7941550570419755,56.07544851901439
Bus12,400.0,AC,4.699098521619943,51.705241236872915
Bus13,400.0,AC,3.324426408004218,50.650515929852794
Bus14,400.0,AC,-2.8766088932172384,59.48885537253334
Bus15,400.0,AC,-3.181750327928994,59.656320330745594
Bus16,400.0,AC,-3.165954901465662,58.08397348116461
Bus17,400.0,AC,-1.9575775704046228,53.046137691733705
Bus18,400.0,AC,0.24756431632237863,50.97672114006384
Bus19,400.0,AC,-0.6805498135788426,56.84233026512157
Bus20,400.0,AC,-2.0877085980195806,54.40152493739601
