path,connectome_type,connectome_file,connectome_extent,neuron_model,activation,rest_init_mean,rest_init_std,tau_value,syn_sign_type,syn_strength_scale,dataset_type,dataset_tasks,dataset_dt,dataset_n_frames,decoder_type,decoder_kernel_size,decoder_const_weight,decoder_dropout,batch_size,n_iters,fold
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/000/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/001/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/002/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/003/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/004/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/005/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/006/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/007/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/008/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Neuroscience_001_20260401_123958/data/flow/0000/009/_meta.yaml,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,PPNeuronIGRSynapses,relu,0.5,0.05,0.05,SynapseSign,0.01,MultiTaskSintel,flow,0.02,19,DecoderGAVP,5,0.001,0.5,4,250000,1
