cell_type,family,suffix,pickle_path,pickle_load_success,pickle_type,pickle_error
Am,Am,,data/flow/0000/umap_and_clustering/Am.pickle,True,GaussianMixtureClustering,
C2,C,2,data/flow/0000/umap_and_clustering/C2.pickle,True,GaussianMixtureClustering,
C3,C,3,data/flow/0000/umap_and_clustering/C3.pickle,True,GaussianMixtureClustering,
CT1(Lo1),CT,1(Lo1),data/flow/0000/umap_and_clustering/CT1(Lo1).pickle,True,GaussianMixtureClustering,
CT1(M10),CT,1(M10),data/flow/0000/umap_and_clustering/CT1(M10).pickle,True,GaussianMixtureClustering,
L1,L,1,data/flow/0000/umap_and_clustering/L1.pickle,True,GaussianMixtureClustering,
L2,L,2,data/flow/0000/umap_and_clustering/L2.pickle,True,GaussianMixtureClustering,
L3,L,3,data/flow/0000/umap_and_clustering/L3.pickle,True,GaussianMixtureClustering,
L4,L,4,data/flow/0000/umap_and_clustering/L4.pickle,True,GaussianMixtureClustering,
L5,L,5,data/flow/0000/umap_and_clustering/L5.pickle,True,GaussianMixtureClustering,
Lawf1,Lawf,1,data/flow/0000/umap_and_clustering/Lawf1.pickle,True,GaussianMixtureClustering,
Lawf2,Lawf,2,data/flow/0000/umap_and_clustering/Lawf2.pickle,True,GaussianMixtureClustering,
Mi1,Mi,1,data/flow/0000/umap_and_clustering/Mi1.pickle,True,GaussianMixtureClustering,
Mi10,Mi,10,data/flow/0000/umap_and_clustering/Mi10.pickle,True,GaussianMixtureClustering,
Mi11,Mi,11,data/flow/0000/umap_and_clustering/Mi11.pickle,True,GaussianMixtureClustering,
Mi12,Mi,12,data/flow/0000/umap_and_clustering/Mi12.pickle,True,GaussianMixtureClustering,
Mi13,Mi,13,data/flow/0000/umap_and_clustering/Mi13.pickle,True,GaussianMixtureClustering,
Mi14,Mi,14,data/flow/0000/umap_and_clustering/Mi14.pickle,True,GaussianMixtureClustering,
Mi15,Mi,15,data/flow/0000/umap_and_clustering/Mi15.pickle,True,GaussianMixtureClustering,
Mi2,Mi,2,data/flow/0000/umap_and_clustering/Mi2.pickle,True,GaussianMixtureClustering,
Mi3,Mi,3,data/flow/0000/umap_and_clustering/Mi3.pickle,True,GaussianMixtureClustering,
Mi4,Mi,4,data/flow/0000/umap_and_clustering/Mi4.pickle,True,GaussianMixtureClustering,
Mi9,Mi,9,data/flow/0000/umap_and_clustering/Mi9.pickle,True,GaussianMixtureClustering,
R1,R,1,data/flow/0000/umap_and_clustering/R1.pickle,True,GaussianMixtureClustering,
R2,R,2,data/flow/0000/umap_and_clustering/R2.pickle,True,GaussianMixtureClustering,
R3,R,3,data/flow/0000/umap_and_clustering/R3.pickle,True,GaussianMixtureClustering,
R4,R,4,data/flow/0000/umap_and_clustering/R4.pickle,True,GaussianMixtureClustering,
R5,R,5,data/flow/0000/umap_and_clustering/R5.pickle,True,GaussianMixtureClustering,
R6,R,6,data/flow/0000/umap_and_clustering/R6.pickle,True,GaussianMixtureClustering,
R7,R,7,data/flow/0000/umap_and_clustering/R7.pickle,True,GaussianMixtureClustering,
R8,R,8,data/flow/0000/umap_and_clustering/R8.pickle,True,GaussianMixtureClustering,
T1,T,1,data/flow/0000/umap_and_clustering/T1.pickle,True,GaussianMixtureClustering,
T2,T,2,data/flow/0000/umap_and_clustering/T2.pickle,True,GaussianMixtureClustering,
T2a,T,2a,data/flow/0000/umap_and_clustering/T2a.pickle,True,GaussianMixtureClustering,
T3,T,3,data/flow/0000/umap_and_clustering/T3.pickle,True,GaussianMixtureClustering,
T4a,T,4a,data/flow/0000/umap_and_clustering/T4a.pickle,True,GaussianMixtureClustering,
T4b,T,4b,data/flow/0000/umap_and_clustering/T4b.pickle,True,GaussianMixtureClustering,
T4c,T,4c,data/flow/0000/umap_and_clustering/T4c.pickle,True,GaussianMixtureClustering,
T4d,T,4d,data/flow/0000/umap_and_clustering/T4d.pickle,True,GaussianMixtureClustering,
T5a,T,5a,data/flow/0000/umap_and_clustering/T5a.pickle,True,GaussianMixtureClustering,
T5b,T,5b,data/flow/0000/umap_and_clustering/T5b.pickle,True,GaussianMixtureClustering,
T5c,T,5c,data/flow/0000/umap_and_clustering/T5c.pickle,True,GaussianMixtureClustering,
T5d,T,5d,data/flow/0000/umap_and_clustering/T5d.pickle,True,GaussianMixtureClustering,
Tm1,Tm,1,data/flow/0000/umap_and_clustering/Tm1.pickle,True,GaussianMixtureClustering,
Tm16,Tm,16,data/flow/0000/umap_and_clustering/Tm16.pickle,True,GaussianMixtureClustering,
Tm2,Tm,2,data/flow/0000/umap_and_clustering/Tm2.pickle,True,GaussianMixtureClustering,
Tm20,Tm,20,data/flow/0000/umap_and_clustering/Tm20.pickle,True,GaussianMixtureClustering,
Tm28,Tm,28,data/flow/0000/umap_and_clustering/Tm28.pickle,True,GaussianMixtureClustering,
Tm3,Tm,3,data/flow/0000/umap_and_clustering/Tm3.pickle,True,GaussianMixtureClustering,
Tm30,Tm,30,data/flow/0000/umap_and_clustering/Tm30.pickle,True,GaussianMixtureClustering,
Tm4,Tm,4,data/flow/0000/umap_and_clustering/Tm4.pickle,True,GaussianMixtureClustering,
Tm5Y,Tm,5Y,data/flow/0000/umap_and_clustering/Tm5Y.pickle,True,GaussianMixtureClustering,
