rank,feature,trajectory_corr,age_corr,smoothness,variance,batch_eta2,phase_eta2,state_eta2,confound_score,final_score
1,Int_Med_cycA,0.5058412437306892,0.28653325024829934,0.8418573808465633,1.0000000000000093,5.931978003881254e-08,0.1545576072936747,0.009364423863988214,0.04824019662079007,0.5864226170805061
2,Int_Med_cycB1,0.5154733990300332,0.5493045847193913,0.7843102597117475,1.0000000000000004,1.40119315351368e-07,0.5382358986147293,0.08649900663723131,0.17877064097152273,0.5861162741097098
3,Int_Med_cycB1_cyto,0.506929802243187,0.560699121186191,0.7807339940198073,1.0000000000000042,1.251688005690433e-07,0.5499245262693274,0.08932169230687292,0.1828417589265731,0.5824104184263333
4,Int_Med_cycB1_ring,0.506929802243187,0.560699121186191,0.7807339940198073,1.0000000000000042,1.251688005690433e-07,0.5499245262693274,0.08932169230687292,0.1828417589265731,0.5824104184263333
5,Int_Med_cycA_ring,0.49170664351747345,0.2937574364225623,0.8003040455729404,0.9999999999999987,1.29103642307012e-07,0.28602126634470076,0.018917854424529614,0.0895900153401373,0.5587237806129153
6,Int_Med_cycA_cyto,0.49170664351747345,0.2937574364225623,0.8003040455729404,0.9999999999999987,1.29103642307012e-07,0.28602126634470076,0.018917854424529614,0.0895900153401373,0.5587237806129153
7,Int_Intg_DNA_nuc,0.39947515896694646,0.7359945236404305,0.7289314814630781,1.0,8.525483329548533e-07,0.6538225047242535,0.08230448820637916,0.21260807533271836,0.5483361961893762
8,AreaShape_Area_nuc,0.35262922179359435,0.7146348635615428,0.6185699268230547,1.0000000000000027,5.6485492155801835e-08,0.34965775897477597,0.031209055105532145,0.11113916695628528,0.536425399449337
9,Int_Med_cycA_nuc,0.34410183332238836,0.73238994282907,0.781480309637395,1.000000000000001,1.0422184923279849e-08,0.6623459435541006,0.09876986046101369,0.2184577603695254,0.531159659359034
10,Int_Med_pAKT_cyto,0.4040521120768613,0.24997320120585825,0.6550733635950137,1.0000000000000002,3.6689376606412286e-07,0.03248217616074605,0.0036639167280061516,0.010477619640708077,0.5091655965205142
11,Int_Med_pAKT_ring,0.4040521120768613,0.24997320120585825,0.6550733635950137,1.0000000000000002,3.6689376606412286e-07,0.03248217616074605,0.0036639167280061516,0.010477619640708077,0.5091655965205142
12,Int_Med_pAKT,0.3948505354525038,0.24059667631057924,0.6569569639047965,0.999999999999998,3.2905781778184654e-07,0.02725129679387361,0.0025702688472333288,0.00868960733651764,0.5041521064289204
13,Int_Med_Skp2,0.3675866542982807,0.11302957756603871,0.8349133100180701,0.9999999999999938,2.0915123504233535e-05,0.01248295698700272,0.0065201201299490185,0.005059368683842737,0.5032317929117022
14,Int_Med_DNA,0.35488834862309837,0.028943728751336665,0.9319465502469076,1.0000000000000075,1.0935383772060018e-07,0.0027529675101127327,0.0009232060917847796,0.001010586148309636,0.5015241075281348
15,Int_Med_S6,0.40050841816429905,0.09848727986970829,0.7676087985846213,1.0000000000000038,2.24197489505965e-07,0.02692446313990374,0.004568271150680261,0.008991105270851929,0.5003011170200024
