_index,_index,annotated_age,batch,phase,state,pseudotime
0,0,6.933333332999999,1,S,cycling,0.17066626851537062
1,1,16.26666667,1,G2,cycling,0.3226164176321225
2,2,2.666666667,1,G0,arrested,0.19772938980627827
3,3,0.26666666699999997,1,G1,cycling,0.12200556271835858
4,4,12.8,1,G2,cycling,0.1408657631534198
5,5,10.13333333,1,S,cycling,0.21438183290926335
6,6,4.533333333,1,G1,cycling,0.13322644555738541
7,7,18.66666667,1,G2,cycling,0.19329611215629317
8,8,1.6,1,G1,cycling,0.2255632527395335
9,9,15.46666667,1,G1,cycling,0.11752790604858057
10,10,5.066666667,1,G1,cycling,0.14727319334519612
11,11,6.4,1,G1,cycling,0.15673173255870773
12,12,0.26666666699999997,1,G1,cycling,0.12665580647587982
13,13,7.733333332999999,1,S,cycling,0.1838773531169908
14,14,5.333333333,1,S,cycling,0.19295832655086
15,15,8.533333333,1,S,cycling,0.17897356567170147
16,16,9.333333332999999,1,S,cycling,0.07380830490828985
17,17,16.26666667,1,G2,cycling,0.28774908392892734
18,18,18.13333333,1,G2,cycling,0.21194944853455933
19,19,4.8,1,G1,cycling,0.11826741020360933
20,20,3.4666666669999997,1,G1,cycling,0.1811783869597932
21,21,6.933333332999999,1,G1,cycling,0.16984375963900686
22,22,7.2,1,S,cycling,0.20599624355114635
23,23,16.8,1,S,cycling,0.08912047346560768
24,24,20.0,1,G2,cycling,0.22084410354121298
25,25,10.93333333,1,S,cycling,0.21057861126042646
26,26,4.8,1,G1,cycling,0.15903517179439255
27,27,8.0,1,S,cycling,0.22569348359685037
28,28,9.6,1,S,cycling,0.17965170095266134
29,29,5.6,1,S,cycling,0.13307499424618682
30,30,5.066666667,1,G1,cycling,0.11852733220875528
31,31,4.266666667,1,G1,cycling,0.10297921510166524
32,32,18.93333333,1,G0,arrested,0.17320279078650283
33,33,5.8666666670000005,1,G1,cycling,0.162635142576146
34,34,8.0,1,S,cycling,0.151015020255601
35,35,7.2,1,S,cycling,0.14765874833648962
36,36,10.93333333,1,S,cycling,0.16952559482180796
37,37,4.266666667,1,G1,cycling,0.11523163961754448
38,38,13.86666667,1,G2,cycling,0.2050132199518678
39,39,8.266666667,1,G0,arrested,0.11623783901914046
40,40,7.2,1,S,cycling,0.17440670583011292
41,41,18.4,1,G2,cycling,0.25074589458586555
42,42,9.6,1,S,cycling,0.17991831819240017
43,43,5.066666667,1,G1,cycling,0.180437237470515
44,44,3.2,1,G1,cycling,0.2712858597220215
45,45,1.333333333,1,G1,cycling,0.1561270099171718
46,46,4.266666667,1,G1,cycling,0.15255961428508283
