feature,trajectory_corr,age_corr,smoothness,variance,batch_eta2,phase_eta2,state_eta2,confound_score,final_score
Int_Med_cycA,0.5058412437306892,0.28653325024829934,0.8418573808465633,1.0000000000000093,5.931978003881254e-08,0.1545576072936747,0.009364423863988214,0.04824019662079007,0.5864226170805061
Int_Med_cycB1,0.5154733990300332,0.5493045847193913,0.7843102597117475,1.0000000000000004,1.40119315351368e-07,0.5382358986147293,0.08649900663723131,0.17877064097152273,0.5861162741097098
Int_Med_cycB1_cyto,0.506929802243187,0.560699121186191,0.7807339940198073,1.0000000000000042,1.251688005690433e-07,0.5499245262693274,0.08932169230687292,0.1828417589265731,0.5824104184263333
Int_Med_cycB1_ring,0.506929802243187,0.560699121186191,0.7807339940198073,1.0000000000000042,1.251688005690433e-07,0.5499245262693274,0.08932169230687292,0.1828417589265731,0.5824104184263333
Int_Med_cycA_ring,0.49170664351747345,0.2937574364225623,0.8003040455729404,0.9999999999999987,1.29103642307012e-07,0.28602126634470076,0.018917854424529614,0.0895900153401373,0.5587237806129153
Int_Med_cycA_cyto,0.49170664351747345,0.2937574364225623,0.8003040455729404,0.9999999999999987,1.29103642307012e-07,0.28602126634470076,0.018917854424529614,0.0895900153401373,0.5587237806129153
Int_Intg_DNA_nuc,0.39947515896694646,0.7359945236404305,0.7289314814630781,1.0,8.525483329548533e-07,0.6538225047242535,0.08230448820637916,0.21260807533271836,0.5483361961893762
AreaShape_Area_nuc,0.35262922179359435,0.7146348635615428,0.6185699268230547,1.0000000000000027,5.6485492155801835e-08,0.34965775897477597,0.031209055105532145,0.11113916695628528,0.536425399449337
Int_Med_cycA_nuc,0.34410183332238836,0.73238994282907,0.781480309637395,1.000000000000001,1.0422184923279849e-08,0.6623459435541006,0.09876986046101369,0.2184577603695254,0.531159659359034
Int_Med_pAKT_cyto,0.4040521120768613,0.24997320120585825,0.6550733635950137,1.0000000000000002,3.6689376606412286e-07,0.03248217616074605,0.0036639167280061516,0.010477619640708077,0.5091655965205142
Int_Med_pAKT_ring,0.4040521120768613,0.24997320120585825,0.6550733635950137,1.0000000000000002,3.6689376606412286e-07,0.03248217616074605,0.0036639167280061516,0.010477619640708077,0.5091655965205142
Int_Med_pAKT,0.3948505354525038,0.24059667631057924,0.6569569639047965,0.999999999999998,3.2905781778184654e-07,0.02725129679387361,0.0025702688472333288,0.00868960733651764,0.5041521064289204
Int_Med_Skp2,0.3675866542982807,0.11302957756603871,0.8349133100180701,0.9999999999999938,2.0915123504233535e-05,0.01248295698700272,0.0065201201299490185,0.005059368683842737,0.5032317929117022
Int_Med_DNA,0.35488834862309837,0.028943728751336665,0.9319465502469076,1.0000000000000075,1.0935383772060018e-07,0.0027529675101127327,0.0009232060917847796,0.001010586148309636,0.5015241075281348
Int_Med_S6,0.40050841816429905,0.09848727986970829,0.7676087985846213,1.0000000000000038,2.24197489505965e-07,0.02692446313990374,0.004568271150680261,0.008991105270851929,0.5003011170200024
Int_Med_ERK,0.409626243941286,0.08446699430615631,0.7424343865699579,1.0000000000000009,5.694284593511934e-06,0.03836835263975559,0.0007833829864653491,0.011670029531516503,0.49562757561277077
Int_Med_pp21_nuc,0.21121268373179555,0.4840634471442134,0.8283299851913207,1.0000000000000016,1.683789976856113e-08,0.1278887817898771,0.006924262387230723,0.03975149543335915,0.4936113707447391
Int_Med_CDK2_nuc,0.29554964781949705,0.6007035083485317,0.6580277754830903,0.9999999999999983,2.743927006450593e-07,0.37160866586852936,0.052558425629063404,0.12199442208272182,0.49204555055614524
Int_Med_ERK_ring,0.40043733414527627,0.07848939123929342,0.7345978353194326,0.9999999999999997,7.191651109973479e-06,0.031165730441399135,0.0015035038812052383,0.009654015734215775,0.4894353401701439
Int_Med_ERK_cyto,0.40043733414527627,0.07848939123929342,0.7345978353194326,0.9999999999999997,7.191651109973479e-06,0.031165730441399135,0.0015035038812052383,0.009654015734215775,0.4894353401701439
Int_Med_S6_ring,0.3881858464508702,0.07586815438434266,0.7598821623455424,1.00000000000001,2.54630230431295e-07,0.021417061048560393,0.004760830288522587,0.007377411687387851,0.48925160015828284
Int_Med_S6_cyto,0.3881858464508702,0.07586815438434266,0.7598821623455424,1.00000000000001,2.54630230431295e-07,0.021417061048560393,0.004760830288522587,0.007377411687387851,0.48925160015828284
Int_Med_pCHK1,0.3861264185816951,0.050714029650198375,0.7789683560222072,0.9999999999999939,1.4037210625159856e-07,0.006406985413804519,0.0013165902312760617,0.0021854838564496935,0.48892844614648556
Int_Med_YAP,0.42611700650359613,0.025633598053227194,0.7153960479232513,1.0,3.6760484485222036e-09,0.010545203925786213,0.0017558579664505726,0.0035147346090502025,0.4887284250087463
cycB1,0.38031689141753566,0.274448762228661,0.7066587616101232,0.9999999999999996,2.495341182761098e-07,0.2617780935601697,0.043272537491649804,0.08718806033344001,0.4868482847889439
Int_Med_pAKT_nuc,0.38440246520280086,0.14149436584683492,0.6819068465619436,1.0000000000000002,2.2037637727938083e-07,0.008304029041396462,0.000682139901263807,0.0026277468808603398,0.48674164041471507
Int_Med_Cdt1_nuc,0.2940528474954569,0.5046733847071078,0.6715096327240109,0.9999999999999989,1.0082404918481332e-09,0.3077230846086829,0.0009505117270460387,0.09250702823213433,0.4851829249779322
Int_Med_pH2AX_nuc,0.23971255590156057,0.5826144580301129,0.7107834865991307,1.0000000000000036,1.225868866615978e-08,0.3320422445493332,0.061986620773143146,0.11201000364877292,0.47734673780448045
Int_Med_YAP_ring,0.4027629821859529,0.017320961051890734,0.6928535852855096,0.9999999999999963,1.5437118668152178e-08,0.008180891568252453,0.0033028326731898454,0.003114841723673039,0.4721880566478727
Int_Med_YAP_cyto,0.4027629821859529,0.017320961051890734,0.6928535852855096,0.9999999999999963,1.5437118668152178e-08,0.008180891568252453,0.0033028326731898454,0.003114841723673039,0.4721880566478727
Int_Med_cJun,0.3007765574872901,0.07105082382683355,0.8465241722290823,1.0000000000000175,2.4213424372350015e-08,0.006242671201353993,0.0027960575225328254,0.002432024971624949,0.468013241340395
Int_Med_pS6,0.3455965713393135,0.13543170062563092,0.7147753918348176,0.9999999999999952,5.45660955838582e-08,0.08420995790985365,0.0007750416890262354,0.025418022993809134,0.4666635675469469
Int_Med_Fra1,0.27722968899939193,0.11327101455998687,0.8528844011568549,0.9999999999999944,9.335046588755904e-08,0.012662151543375863,0.0009167646235637917,0.003982045062958461,0.4665907274210584
Int_Med_pCHK1_ring,0.35283476549252035,0.01866619100179283,0.7681461070215435,1.0000000000000056,1.5716824871475623e-07,0.003854674137812811,0.0015000361006305089,0.0014564880455943023,0.4656283332603434
Int_Med_pCHK1_cyto,0.35283476549252035,0.01866619100179283,0.7681461070215435,1.0000000000000056,1.5716824871475623e-07,0.003854674137812811,0.0015000361006305089,0.0014564880455943023,0.4656283332603434
Int_Med_pS6_cyto,0.3503545949974403,0.10846889436826473,0.7104511036559502,1.000000000000001,8.908527781053134e-08,0.08111526007932877,0.0008068024096643028,0.024495983048370397,0.46286997328676155
Int_Med_pS6_ring,0.3503545949974403,0.10846889436826473,0.7104511036559502,1.000000000000001,8.908527781053134e-08,0.08111526007932877,0.0008068024096643028,0.024495983048370397,0.46286997328676155
Int_Med_p27,0.3167438155467559,0.024158415798324062,0.832827592745351,0.999999999999996,1.0562175344347585e-09,0.022013236144359915,0.003306055443390119,0.007265182460094765,0.4613891048437414
pAKT,0.30306454400839006,0.25311296386772736,0.6406713733495251,1.0000000000000029,1.0020896355710931e-08,0.03365861080919373,0.009272361096165709,0.011952060472439439,0.46095269108187226
Int_Med_pp65,0.31453173477017404,0.051860092169872266,0.8065278245528746,1.0000000000000047,8.873001267681318e-08,0.02459825242064325,0.0013853609324801066,0.007656592277695335,0.46053705669393435
Int_Med_pp53,0.33421765643810686,0.014484472811277701,0.7887777909898229,0.9999999999999759,7.591426655264156e-08,0.0036635722552779367,0.0018899511474232418,0.0014770998632013057,0.46053341320524416
Int_Med_Skp2_ring,0.3224502539612346,0.10010103323701743,0.7345085229827222,1.000000000000003,6.786932829171557e-05,0.02355855864631378,0.017021435471378958,0.010505789352315782,0.458347499253193
Int_Med_Skp2_cyto,0.3224502539612346,0.10010103323701743,0.7345085229827222,1.000000000000003,6.786932829171557e-05,0.02355855864631378,0.017021435471378958,0.010505789352315782,0.458347499253193
Int_Med_CDK4,0.3544504731218653,0.09828133808582998,0.6560525089870635,0.9999999999999993,2.7348279566883373e-05,0.018781055276122633,0.001005610759449879,0.005849112874510207,0.4583222928133394
Int_Med_pH2AX,0.2972129449796142,0.0657626283914205,0.800653978529615,1.0000000000000016,2.710423961217401e-07,0.005651799344911727,0.003452645296991655,0.00238620438406991,0.456193975090609
Int_Med_pRB,0.23615879924305513,0.05814899491813319,0.9290680545537627,1.0000000000000107,9.684169339061084e-08,0.003917606662061376,0.0006664576388487561,0.0013086219472348594,0.45325685187222176
Int_Med_p38,0.3387821621801332,0.015064807256720804,0.745553969391348,1.0000000000000062,1.0262112317329656e-06,0.01596416493029079,0.002182274589041898,0.005226217502511483,0.4527465521847947
Int_Med_p53,0.33731390606311173,0.009913395457826062,0.7335000473247708,1.0000000000000049,3.3486331369162164e-06,0.0006182996653599764,0.0008310030226632678,0.0003533648207091046,0.45035026859767147
Int_Med_CDK6,0.3312375389269756,0.024208970597518368,0.7363688972686386,1.0000000000000067,7.915634090953368e-08,0.00477106397640389,0.006845781044178052,0.0028005149799272323,0.4501922858473959
Int_Med_DNA_cyto,0.3187980264911541,0.04945690942483249,0.707524424934075,1.000000000000008,1.743032123581336e-06,0.00814455266990677,0.0008343792932649708,0.0026111131756868153,0.44394148918131043
