task,placeholder,llm,human,llm_str,human_str,comparable,mismatch,scores
"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,a system with two layers,,a system with two layers,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,momentum,real,momentum,real,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 2}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,second-quantized,single-particle,second-quantized,single-particle,True,True,"{'Haining': 0, 'Will': 0, 'Yasaman': 0}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,"valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer).","valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer).",True,True,"{'Haining': 1, 'Will': 1, 'Yasaman': 1}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,H_{\tau},,H_{\tau},,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,variables,,variables,,False,False,"{'Haining': 2, 'Will': '(?)', 'Yasaman': 0}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)",bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)",True,True,"{'Haining': 1, 'Will': 2, 'Yasaman': 1}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,False,,False,,False,False,"{'Haining': 2, 'Will': '(?)', 'Yasaman': 2}"
"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",,False,False,"{'Haining': 2, 'Will': 1, 'Yasaman': 2}"
Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,$H_{\tau}$,,$H_{\tau}$,,False,False,"{'Haining': 2, 'Will': 2, 'Yasaman': 2}"
