variable,count,mean,std,min,1%,5%,50%,95%,99%,max,missing
electricity_kw,105120.0,152.4904015924363,206.41912749891497,24.062064419019244,35.307365294887504,41.10334082326484,64.90167066243995,659.5915046867455,695.0284078246588,719.9462950473616,0
heat_mmbtu,105120.0,38.75758788122957,52.399644280003784,0.2444178054183048,5.692091316199152,7.917272481794194,16.78472503927275,162.2067064167403,173.33840563335886,187.13196227878103,0
cooling_ton,105120.0,70.61657834454371,95.28941811928014,3.410272421940705,10.459369040331396,14.560388741430053,30.813792300653084,292.54359938855737,305.8155899882935,330.8059650061211,0
pv_kw,105120.0,10.33308236425592,21.19948434180102,0.0,0.0,0.0,3.7973604760378623,75.71176303105223,80.64612552940142,86.72296869916829,0
ghg_ton,105120.0,96.82925164736781,130.94043425677327,16.08731179709554,21.971297191707173,25.919757894646203,41.39218668315483,408.289569930911,444.5466664363696,460.9347694841688,0
temperature_f,105120.0,74.99959869629491,11.592120153986862,48.00040592578927,52.852469141999066,56.8630763597392,75.07504020779619,92.9985498576177,96.92305554131896,103.47210558119411,0
dew_point_f,105120.0,64.9589632095087,11.879658881055768,33.15102723608064,41.483008530376026,46.21613852300506,65.10114197753529,83.86459381251098,88.51937067153146,96.052920342757,0
humidity_pct,105120.0,64.88136252030648,10.000930134051064,33.33806491728346,44.17696353025908,48.941431682079774,64.55547210030292,81.35400195027522,86.83868138957855,100.0,0
wind_speed_mph,105120.0,8.008635550501829,1.3095515544116005,3.2913172883243837,5.074307867181865,5.898300680300758,8.011855653263552,10.1979529253318,10.976636973863588,12.549672384932885,0
wind_gust_mph,105120.0,11.998618487903292,2.4190553790950524,4.889179636132738,7.066447310652334,8.23784877554907,11.857843386555134,16.208581077549187,17.87821705255477,20.94785045572698,0
pressure_in,105120.0,29.920070746095465,0.06560865355634128,29.6883168225418,29.772102838579308,29.81358490443138,29.91933706014283,30.0288188083435,30.06895618509091,30.14106892259067,0
precipitation_in,105120.0,0.0009252630881376253,0.006006871051750471,0.0,0.0,0.0,0.0,0.0,0.0333483077480841,0.1104960400871662,0
