entity,month,electricity_kw,heat_mmbtu,cooling_ton,pv_kw,ghg_ton
BN001,1,52.05941869583785,10.899863160304768,21.201239734291555,3.432452640973234,31.823689922382048
BN001,2,52.074242632076796,11.0134044327182,21.627503863718168,3.4740239044148944,31.929631466390045
BN001,3,51.91969284448866,11.16731372515221,21.77379779148275,3.431826347226992,31.94888692447305
BN001,4,52.26537340340926,10.897880818298026,21.419209855946974,3.463095839099536,31.954344998833665
BN001,5,51.813973297559585,10.99994152268542,21.40142498734187,3.4190599842627507,31.77772411092242
BN001,6,51.98137025890115,10.995835926489649,21.713440773552882,3.4631731038759135,31.90053751017009
BN001,7,52.2456506152655,10.973136123723146,21.42647215852896,3.422619639610535,31.988750756650216
BN001,8,51.70789783048125,11.066030522730138,21.556174332004662,3.3981650424949184,31.785910417213138
BN001,9,52.1838359789077,10.948064151834098,21.546879430583672,3.4709970257327996,31.950214608254413
BN001,10,52.03112945668576,10.907706588795499,21.385602948046564,3.4214165824622427,31.85428900335972
BN001,11,51.74964734222031,11.114762529006233,21.597318918187188,3.41619952189127,31.820616452503828
BN001,12,52.19196374783951,10.966619048301435,21.421400660366288,3.456286445296166,31.94210449783536
BN002,1,53.63336682101017,12.083758296224795,22.865626605336978,2.5248503741996364,33.752511033340106
BN002,2,54.014544694414134,12.009799213030893,22.936195989329036,2.5571692688153718,33.91886667457445
BN002,3,54.02630350539356,12.016677121626124,23.261782505511874,2.586519456075533,33.97725166224922
BN002,4,54.09944506732063,12.08932142826981,23.01075042639457,2.5660735046850958,33.99563229507763
BN002,5,53.734343728836784,11.906224566880471,22.842324126305577,2.517043550985474,33.748982284250914
BN002,6,54.16529201947059,12.042075104757222,23.195621576824863,2.5407039600889165,34.06404087648298
BN002,7,54.05661901321276,12.043698208414872,22.796361854445447,2.5962629124674934,33.90255988378618
BN002,8,53.73023413204768,11.921925954162402,23.039014667873758,2.51360522288976,33.79269517440243
